Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,8.10%,7.37%,4.45%,52.70%,0.00%
Other Revenues,16.32%,(19.55%),(23.49%),4.86%,0.00%
Total Revenues,8.31%,6.66%,3.90%,52.00%,0.00%
Cost Of Revenues,7.00%,3.65%,0.91%,49.10%,0.00%
Gross Profit,9.34%,9.00%,6.09%,54.03%,0.00%
Selling General & Admin Expenses,7.74%,5.76%,4.27%,27.32%,0.00%
Depreciation & Amortization,(2.57%),8.39%,2.00%,113.89%,0.00%
Total Operating Expenses,4.13%,6.62%,3.52%,55.76%,0.00%
Operating Income,36.05%,18.31%,15.20%,48.53%,0.00%
Interest Expense,-3.41%,-18.79%,-16.36%,(140.53%),0.00%
Interest And Investment Income,30.77%,11.76%,26.32%,20.83%,0.00%
Net Interest Expenses,-3.67%,-19.11%,-16.97%,(143.11%),0.00%
Other Non Operating Income (Expenses),"(1,116.67%)",,(83.82%),,0.00%
"EBT, Excl. Unusual Items",72.42%,44.74%,23.78%,27.66%,0.00%
"EBT, Incl. Unusual Items",35.84%,23.92%,17.51%,(23.31%),0.00%
Income Tax Expense,,,10.30%,(30.75%),0.00%
Earnings From Continuing Operations,210.68%,(36.33%),20.08%,(20.88%),0.00%
Earnings Of Discontinued Operations,,,,,0.00%
Net Income to Company,210.68%,(36.33%),20.08%,(11.65%),0.00%
Net Income,210.68%,(36.33%),20.08%,(11.65%),0.00%
Preferred Dividend and Other Adjustments,0.00%,,,,
NI to Common Incl Extra Items,218.93%,(35.55%),20.08%,(11.65%),0.00%
NI to Common Excl. Extra Items,218.93%,(35.55%),20.08%,(20.88%),0.00%
Revenue Per Share,7.09%,4.42%,3.36%,13.47%,0.00%
Basic EPS,215.02%,(36.94%),19.42%,(34.04%),0.00%
Basic EPS - Continuing Ops,215.02%,(36.94%),19.42%,(40.93%),0.00%
Basic Weighted Average Shares Outst.,1.14%,2.15%,0.52%,33.96%,0.00%
Diluted EPS,207.88%,(35.38%),19.64%,(34.15%),0.00%
Diluted EPS - Continuing Ops,207.88%,(35.38%),19.64%,(41.04%),0.00%
Diluted Weighted Average Shares Outst.,4.65%,(1.55%),0.60%,33.74%,0.00%
Normalized Basic EPS,70.42%,41.59%,23.33%,(4.81%),0.00%
Normalized Diluted EPS,65.17%,46.85%,23.20%,(4.43%),0.00%
Payout Ratio,(67.84%),,,,
EBITDA,11.24%,12.73%,8.06%,81.90%,0.00%
EBITA,32.31%,16.88%,14.12%,65.32%,0.00%
EBIT,36.05%,18.31%,15.20%,48.53%,0.00%
EBITDAR,(14.18%),12.17%,31.14%,79.81%,
Effective Tax Rate,,,(6.14%),(9.71%),0.00%
Normalized Net Income,72.42%,44.74%,23.78%,27.66%,0.00%
Interest Capitalized,(4.23%),166.18%,30.66%,(6.98%),
Interest on Long-Term Debt,53.30%,27.01%,8.94%,(20.25%),
R&D Expense From Footnotes,,,,,0.00%
