Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(1.00%),0.73%,(2.88%),(4.30%),(3.31%)
Other Revenues,0.35%,(6.76%),(12.32%),(19.19%),(20.38%)
Total Revenues,(0.98%),0.57%,(3.07%),(4.57%),(3.60%)
Cost Of Revenues,1.92%,1.09%,(4.68%),(6.42%),(5.59%)
Gross Profit,(4.09%),(0.02%),(1.21%),(2.50%),(1.40%)
Selling General & Admin Expenses,4.51%,(8.38%),5.25%,4.22%,(2.88%)
R&D Expenses,(2.38%),(3.77%),10.36%,6.69%,3.43%
Other Operating Expense/(Income),-8.60%,-30.01%,-40.16%,-4.89%,-2.23%
Total Operating Expenses,3.75%,(6.10%),8.37%,5.01%,(1.44%)
Operating Income,(17.56%),13.15%,(18.41%),(20.41%),(1.29%)
Interest Expense,-2.38%,(17.56%),(85.89%),-4.17%,-14.93%
Interest And Investment Income,,,,(69.91%),(68.18%)
Net Interest Expenses,(17.82%),(17.56%),(37.62%),(18.89%),(0.62%)
"EBT, Excl. Unusual Items",(15.08%),(0.51%),(2.94%),(37.17%),(14.50%)
"EBT, Incl. Unusual Items",(7.54%),(0.51%),(10.37%),(54.39%),(32.09%)
Income Tax Expense,"1,156.57%",(53.58%),(72.09%),,
Earnings From Continuing Operations,(51.54%),51.49%,8.16%,(41.70%),(41.44%)
Earnings Of Discontinued Operations,-44.44%,,,,
Net Income to Company,(51.54%),51.71%,8.05%,(40.73%),(40.43%)
Net Income,(51.54%),51.71%,8.05%,(40.73%),(40.43%)
NI to Common Incl Extra Items,(51.54%),51.71%,8.05%,(40.73%),(40.43%)
NI to Common Excl. Extra Items,(51.54%),51.49%,8.16%,(41.70%),(41.44%)
Revenue Per Share,1.42%,2.86%,(0.36%),(4.90%),(4.13%)
Basic EPS,(50.38%),55.10%,11.07%,(40.94%),(40.76%)
Basic EPS - Continuing Ops,(50.38%),55.01%,11.24%,(41.88%),(41.76%)
Basic Weighted Average Shares Outst.,(2.36%),(2.23%),(2.72%),0.35%,0.55%
Diluted EPS,(50.44%),55.04%,10.98%,(41.03%),(40.77%)
Diluted EPS - Continuing Ops,(50.44%),54.95%,11.15%,(41.97%),(41.77%)
Diluted Weighted Average Shares Outst.,(2.22%),(2.25%),(2.56%),0.42%,0.58%
Normalized Basic EPS,(13.01%),1.73%,(0.20%),(37.36%),(14.97%)
Normalized Diluted EPS,(13.13%),1.79%,(0.44%),(37.47%),(14.99%)
Dividend Per Share,7.27%,5.25%,3.54%,1.24%,0.62%
Payout Ratio,116.19%,(32.17%),(6.79%),71.38%,69.75%
EBITDA,(12.55%),9.09%,(4.83%),(9.29%),2.24%
EBITA,(15.99%),10.37%,(13.29%),(12.53%),1.45%
EBIT,(17.56%),13.15%,(18.41%),(20.41%),(1.29%)
EBITDAR,,,,(8.88%),
Effective Tax Rate,"1,259.65%",(53.34%),(68.86%),,
Normalized Net Income,(15.08%),(0.51%),(2.94%),(37.17%),(14.50%)
Interest Capitalized,150.00%,(40.00%),66.67%,20.00%,
R&D Expense From Footnotes,(2.38%),(3.77%),11.34%,5.74%,2.54%
Foreign Sales,(0.69%),2.29%,52.73%,(4.57%),
