Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5280.6,4946.2,4731.7,4837.4,5063.3,5063.3
Total Revenues,5280.6,4946.2,4731.7,4837.4,5063.3,5063.3
Cost Of Revenues,3228.8,2966.7,2900.2,3064.1,3248.1,3248.1
Gross Profit,2051.8,1979.5,1831.5,1773.3,1815.2,1815.2
Selling General & Admin Expenses,1205.9,1145.7,1123.8,1164.1,1166.8,1166.8
R&D Expenses,184.0,167.7,218.6,187.4,177.7,177.7
Other Operating Expense/(Income),,(26.4),6.7,5.6,(5.0),(5.0)
Total Operating Expenses,1389.9,1287.0,1349.1,1357.1,1339.5,1339.5
Operating Income,661.9,692.5,482.4,416.2,475.7,475.7
Interest Expense,(212.8),(166.1),(122.1),(128.3),(143.8),(143.8)
Net Interest Expenses,(212.8),(166.1),(122.1),(128.3),(143.8),(143.8)
Currency Exchange Gains (Loss),(5.2),4.2,3.9,(18.7),2.7,2.7
Other Non Operating Income (Expenses),3.4,2.8,(11.1),19.8,9.3,9.3
"EBT, Excl. Unusual Items",443.2,533.7,355.8,291.7,346.9,346.9
"EBT, Incl. Unusual Items","(4,848.3)",280.1,290.6,171.0,(149.4),(149.4)
Income Tax Expense,(835.5),160.5,159.6,24.9,13.2,13.2
Earnings From Continuing Operations,"(4,012.8)",119.6,131.0,146.1,(162.6),(162.6)
Net Income to Company,"(4,012.8)",119.6,131.0,146.1,(162.6),(162.6)
Net Income,"(4,012.8)",119.6,131.0,146.1,(162.6),(162.6)
NI to Common Incl Extra Items,"(4,012.8)",119.6,131.0,146.1,(162.6),(162.6)
NI to Common Excl. Extra Items,"(4,012.8)",119.6,131.0,146.1,(162.6),(162.6)
Revenue Per Share,$36.85,$34.76,$34.34,$35.57,$37.20,$37.20
Basic EPS,($28.00),$0.84,$0.95,$1.07,($1.19),($1.19)
Basic EPS - Continuing Ops,($28.00),$0.84,$0.95,$1.07,($1.19),($1.19)
Basic Weighted Average Shares Outst.,143.3,142.3,137.8,136.0,136.1,136.1
Diluted EPS,($28.01),$0.84,$0.95,$1.07,($1.19),($1.19)
Diluted EPS - Continuing Ops,($28.01),$0.84,$0.95,$1.07,($1.19),($1.19)
Diluted Weighted Average Shares Outst.,143.3,142.6,138.3,136.5,136.1,136.1
Normalized Basic EPS,$1.93,$2.34,$1.61,$1.34,$1.59,$1.59
Normalized Diluted EPS,$1.93,$2.34,$1.61,$1.34,$1.59,$1.59
Dividend Per Share,$0.58,$0.64,$0.76,$0.82,$0.90,$0.90
Payout Ratio,NM,76.17%,80.08%,76.93%,NM,NM
EBITDA,1118.9,1137.3,906.0,812.7,860.5,860.5
EBITA,1018.7,1042.1,816.0,721.7,770.4,770.4
EBIT,661.9,692.5,482.4,416.2,475.7,475.7
EBITDAR,1171.9,1188.2,957.2,861.5,908.7,908.7
Effective Tax Rate,NM,57.3%,54.9%,14.6%,NM,NM
Normalized Net Income,277.0,333.6,222.4,182.3,216.8,216.8
Interest on Long-Term Debt,,,,0.8,0.8,0.8
R&D Expense From Footnotes,187.5,180.4,227.3,193.2,177.7,177.7
Foreign Sales,5191.5,4915.8,4706.0,4814.0,5033.5,5033.5
