Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,8.28%,12.66%,12.46%,(1.47%),0.00%
Total Revenues,8.28%,12.66%,12.46%,(1.47%),0.00%
Cost Of Revenues,11.25%,13.30%,11.92%,(2.66%),0.00%
Gross Profit,0.47%,10.81%,14.07%,2.04%,0.00%
Selling General & Admin Expenses,8.19%,3.47%,9.67%,(1.04%),0.00%
Other Operating Expense/(Income),160.62%,(25.29%),(30.41%),2.01%,0.00%
Total Operating Expenses,12.29%,1.68%,7.83%,(0.95%),0.00%
Operating Income,(4.97%),15.78%,17.05%,3.35%,0.00%
Interest Expense,(120.41%),-53.31%,-5.67%,(4.46%),0.00%
Interest And Investment Income,449.81%,(87.51%),108.48%,35.67%,0.00%
Net Interest Expenses,(118.42%),-52.79%,-6.13%,(4.18%),0.00%
Other Non Operating Income (Expenses),"1,690.10%",16.19%,(42.94%),26.62%,0.00%
"EBT, Excl. Unusual Items",(32.31%),69.88%,20.32%,3.54%,0.00%
"EBT, Incl. Unusual Items",(33.98%),72.51%,21.56%,(1.83%),0.00%
Income Tax Expense,,,28.21%,15.24%,0.00%
Earnings From Continuing Operations,40.48%,(12.73%),20.21%,(5.54%),0.00%
Earnings Of Discontinued Operations,,,(137.77%),-27.39%,0.00%
Net Income to Company,43.31%,(14.20%),19.75%,(5.37%),0.00%
Net Income,43.31%,(14.20%),19.75%,(5.37%),0.00%
NI to Common Incl Extra Items,43.31%,(14.20%),19.75%,(5.37%),0.00%
NI to Common Excl. Extra Items,40.48%,(12.73%),20.21%,(5.54%),0.00%
Revenue Per Share,8.85%,12.76%,12.56%,(1.68%),0.00%
Basic EPS,44.03%,(14.18%),19.71%,(5.60%),0.00%
Basic EPS - Continuing Ops,41.26%,(12.69%),20.34%,(5.84%),0.00%
Basic Weighted Average Shares Outst.,(0.52%),(0.09%),(0.07%),0.21%,0.00%
Diluted EPS,44.26%,(13.57%),20.36%,(5.32%),0.00%
Diluted EPS - Continuing Ops,41.48%,(12.05%),20.67%,(5.57%),0.00%
Diluted Weighted Average Shares Outst.,(0.67%),(0.71%),(0.40%),(0.10%),0.00%
Normalized Basic EPS,(32.02%),70.07%,20.38%,3.41%,0.00%
Normalized Diluted EPS,(31.88%),71.07%,20.62%,3.77%,0.00%
Dividend Per Share,25.00%,12.00%,10.71%,9.68%,0.00%
Payout Ratio,(13.17%),30.46%,(7.53%),16.13%,0.00%
EBITDA,(1.31%),14.93%,11.17%,6.99%,0.00%
EBITA,(3.84%),16.51%,16.80%,3.97%,0.00%
EBIT,(4.97%),15.78%,17.05%,3.35%,0.00%
EBITDAR,(1.14%),15.33%,7.65%,6.19%,
Effective Tax Rate,,,5.46%,17.42%,0.00%
Normalized Net Income,(32.31%),69.88%,20.32%,3.54%,0.00%
Interest Capitalized,(30.68%),(29.03%),6.04%,(10.50%),
Interest on Long-Term Debt,,,,"2,450.00%",
Foreign Sales,34.46%,(1.36%),(8.14%),(32.04%),
