Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,91154.0,96571.0,110360.0,125843.0,143015.0,159969.0
Total Revenues,91154.0,96571.0,110360.0,125843.0,143015.0,159969.0
Cost Of Revenues,32780.0,34261.0,38353.0,42910.0,46078.0,50580.0
Gross Profit,58374.0,62310.0,72007.0,82933.0,96937.0,109389.0
Selling General & Admin Expenses,19198.0,19942.0,22223.0,23098.0,24709.0,24918.0
R&D Expenses,11988.0,13037.0,14726.0,16876.0,19269.0,20243.0
Total Operating Expenses,31186.0,32979.0,36949.0,39974.0,43978.0,45161.0
Operating Income,27188.0,29331.0,35058.0,42959.0,52959.0,64228.0
Interest Expense,"(1,243.0)","(2,222.0)","(2,733.0)","(2,686.0)","(2,591.0)","(2,591.0)"
Interest And Investment Income,903.0,1387.0,2214.0,2762.0,2680.0,2680.0
Net Interest Expenses,(340.0),(835.0),(519.0),76.0,89.0,89.0
Currency Exchange Gains (Loss),(497.0),(562.0),(148.0),(11.0),(171.0),(171.0)
Other Non Operating Income (Expenses),(239.0),(116.0),(396.0),16.0,127.0,941.0
"EBT, Excl. Unusual Items",26112.0,27818.0,33995.0,43040.0,53004.0,65087.0
"EBT, Incl. Unusual Items",25639.0,29901.0,36474.0,43688.0,53036.0,65119.0
Income Tax Expense,5100.0,4412.0,19903.0,4448.0,8755.0,9104.0
Earnings From Continuing Operations,20539.0,25489.0,16571.0,39240.0,44281.0,56015.0
Net Income to Company,20539.0,25489.0,16571.0,39240.0,44281.0,56015.0
Net Income,20539.0,25489.0,16571.0,39240.0,44281.0,56015.0
NI to Common Incl Extra Items,20539.0,25489.0,16571.0,39240.0,44281.0,56015.0
NI to Common Excl. Extra Items,20539.0,25489.0,16571.0,39240.0,44281.0,56015.0
Revenue Per Share,$11.50,$12.47,$14.33,$16.40,$18.79,$21.16
Basic EPS,$2.59,$3.29,$2.15,$5.11,$5.82,$7.41
Basic EPS - Continuing Ops,$2.59,$3.29,$2.15,$5.11,$5.82,$7.41
Basic Weighted Average Shares Outst.,7925.0,7746.0,7700.0,7673.0,7610.0,7561.3
Diluted EPS,$2.56,$3.25,$2.13,$5.06,$5.76,$7.34
Diluted EPS - Continuing Ops,$2.56,$3.25,$2.13,$5.06,$5.76,$7.34
Diluted Weighted Average Shares Outst.,8013.0,7832.0,7794.0,7753.0,7683.0,7626.0
Normalized Basic EPS,$2.06,$2.24,$2.76,$3.51,$4.35,$5.38
Normalized Diluted EPS,$2.04,$2.22,$2.73,$3.47,$4.31,$5.33
Dividend Per Share,$1.44,$1.56,$1.68,$1.84,$2.04,$2.04
Payout Ratio,53.59%,46.47%,76.63%,35.20%,34.18%,28.87%
EBITDA,33066.0,37131.0,44958.0,54559.0,65259.0,75578.0
EBITA,28166.0,31031.0,37258.0,44859.0,54559.0,65828.0
EBIT,27188.0,29331.0,35058.0,42959.0,52959.0,64228.0
EBITDAR,34002.0,38543.0,46543.0,56266.0,67302.0,
Effective Tax Rate,19.9%,14.8%,54.6%,10.2%,16.5%,14.0%
Normalized Net Income,16320.0,17386.3,21246.9,26900.0,33127.5,40679.4
Interest Capitalized,58.0,,,,,
Interest on Long-Term Debt,28.0,68.0,175.0,247.0,336.0,
R&D Expense From Footnotes,11988.0,13037.0,14726.0,16876.0,19269.0,20243.0
Foreign Sales,44738.0,45493.0,54434.0,61644.0,69855.0,
