Income Statement,Jul 2016,Jun 2017,Jun 2018,Jun 2019,Jul 2020,TTM
Revenues,12994.0,19093.0,20647.0,16569.0,16736.0,16327.0
Total Revenues,12994.0,19093.0,20647.0,16569.0,16736.0,16327.0
Cost Of Revenues,9559.0,13021.0,12942.0,12817.0,12955.0,12450.0
Gross Profit,3435.0,6072.0,7705.0,3752.0,3781.0,3877.0
Selling General & Admin Expenses,997.0,1445.0,1475.0,1348.0,1152.0,1070.0
R&D Expenses,1627.0,2441.0,2400.0,2182.0,2261.0,2199.0
Total Operating Expenses,2624.0,3886.0,3875.0,3530.0,3413.0,3269.0
Operating Income,811.0,2186.0,3830.0,222.0,368.0,608.0
Interest Expense,(266.0),(847.0),(676.0),(469.0),(413.0),(351.0)
Interest And Investment Income,26.0,26.0,60.0,57.0,28.0,12.0
Net Interest Expenses,(240.0),(821.0),(616.0),(412.0),(385.0),(339.0)
Other Non Operating Income (Expenses),(73.0),(364.0),(914.0),69.0,3.0,9.0
"EBT, Excl. Unusual Items",498.0,1001.0,2300.0,(121.0),(14.0),278.0
"EBT, Incl. Unusual Items",153.0,769.0,2085.0,(287.0),(46.0),313.0
Income Tax Expense,(89.0),372.0,1410.0,467.0,204.0,146.0
Earnings From Continuing Operations,242.0,397.0,675.0,(754.0),(250.0),167.0
Net Income to Company,242.0,397.0,675.0,(754.0),(250.0),167.0
Net Income,242.0,397.0,675.0,(754.0),(250.0),167.0
NI to Common Incl Extra Items,242.0,397.0,675.0,(754.0),(250.0),167.0
NI to Common Excl. Extra Items,242.0,397.0,675.0,(754.0),(250.0),167.0
Revenue Per Share,$54.37,$66.30,$69.52,$56.74,$56.16,$54.15
Basic EPS,$1.01,$1.38,$2.27,($2.58),($0.84),$0.55
Basic EPS - Continuing Ops,$1.01,$1.38,$2.27,($2.58),($0.84),$0.55
Basic Weighted Average Shares Outst.,239.0,288.0,297.0,292.0,298.0,301.5
Diluted EPS,$1.00,$1.34,$2.20,($2.58),($0.84),$0.55
Diluted EPS - Continuing Ops,$1.00,$1.34,$2.20,($2.58),($0.84),$0.55
Diluted Weighted Average Shares Outst.,242.0,296.0,307.0,292.0,298.0,302.0
Normalized Basic EPS,$1.30,$2.17,$4.84,($0.26),($0.03),$0.58
Normalized Diluted EPS,$1.29,$2.11,$4.68,($0.26),($0.03),$0.58
Dividend Per Share,$2.00,$2.00,$2.00,$2.00,$1.50,$0.50
Payout Ratio,191.74%,144.58%,87.85%,NM,NM,179.04%
EBITDA,1965.0,4314.0,5886.0,2034.0,1934.0,2079.0
EBITA,1077.0,3355.0,5015.0,1190.0,1137.0,1377.0
EBIT,811.0,2186.0,3830.0,222.0,368.0,608.0
EBITDAR,2024.0,4370.0,5935.0,2081.0,1989.0,
Effective Tax Rate,NM,48.4%,67.6%,NM,NM,46.6%
Normalized Net Income,311.3,625.6,1437.5,(75.6),(8.8),173.8
Interest on Long-Term Debt,266.0,847.0,676.0,469.0,413.0,
R&D Expense From Footnotes,1627.0,2441.0,2400.0,2182.0,2261.0,2199.0
Foreign Sales,9343.0,15212.0,16007.0,12967.0,12057.0,
