Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,(3.12%),32.17%,8.18%,(1.00%),4.91%
Total Revenues,(3.12%),32.17%,8.18%,(1.00%),4.91%
Cost Of Revenues,(5.61%),33.45%,10.08%,2.18%,4.83%
Gross Profit,(0.43%),30.85%,6.19%,(4.45%),4.99%
Selling General & Admin Expenses,(1.73%),36.44%,7.57%,(0.37%),(0.75%)
R&D Expenses,(7.00%),30.39%,2.79%,6.20%,6.99%
Total Operating Expenses,(2.90%),35.22%,6.64%,0.60%,0.44%
Operating Income,3.94%,23.58%,5.38%,(13.73%),13.59%
Interest Expense,(34.28%),(35.51%),-9.49%,-17.37%,-15.56%
Interest And Investment Income,162.07%,(14.47%),(81.54%),(41.67%),(38.46%)
Net Interest Expenses,(23.96%),(44.04%),-2.18%,-16.91%,-15.06%
Currency Exchange Gains (Loss),(266.67%),(27.27%),(64.29%),-26.09%,-26.09%
Other Non Operating Income (Expenses),(40.00%),"1,133.33%",100.00%,(63.51%),(61.39%)
"EBT, Excl. Unusual Items",(0.78%),20.54%,8.87%,(14.33%),17.95%
"EBT, Incl. Unusual Items",(9.04%),20.18%,0.26%,(16.24%),103.85%
Earnings From Continuing Operations,12.70%,(71.73%),296.46%,(29.12%),75.33%
Net Income to Company,12.70%,(71.73%),296.46%,(29.12%),75.33%
Net Income,12.70%,(71.73%),296.46%,(29.12%),75.33%
Preferred Dividend and Other Adjustments,,117.14%,0.00%,(29.61%),(39.47%)
NI to Common Incl Extra Items,5.53%,(84.56%),579.87%,(29.05%),98.29%
NI to Common Excl. Extra Items,5.53%,(84.56%),579.87%,(29.05%),98.29%
Revenue Per Share,(5.89%),12.01%,3.54%,(4.20%),(0.04%)
Basic EPS,2.49%,(86.91%),545.90%,(31.27%),88.94%
Basic EPS - Continuing Ops,2.49%,(86.91%),545.90%,(31.27%),88.94%
Basic Weighted Average Shares Outst.,2.93%,18.00%,4.49%,3.34%,4.95%
Diluted EPS,2.45%,(86.96%),556.67%,(31.22%),90.23%
Diluted EPS - Continuing Ops,2.45%,(86.96%),556.67%,(31.22%),90.23%
Diluted Weighted Average Shares Outst.,2.78%,18.35%,3.84%,2.78%,4.36%
Normalized Basic EPS,(3.57%),2.17%,4.21%,(17.11%),12.39%
Normalized Diluted EPS,(3.38%),1.75%,4.79%,(16.58%),13.02%
Dividend Per Share,10.61%,2.74%,2.67%,2.60%,3.23%
Payout Ratio,6.89%,384.27%,(73.23%),47.09%,(44.70%)
EBITDA,1.80%,42.60%,8.93%,(9.66%),6.86%
EBITA,3.17%,44.03%,9.71%,(11.63%),7.22%
EBIT,3.94%,23.58%,5.38%,(13.73%),13.59%
EBITDAR,1.68%,42.37%,9.06%,(10.07%),
Normalized Net Income,(0.78%),20.54%,8.87%,(14.33%),17.95%
Interest Capitalized,6.67%,31.25%,4.76%,(2.27%),
R&D Expense From Footnotes,(7.00%),30.39%,5.78%,3.20%,4.00%
Foreign Sales,(0.04%),29.09%,4.80%,(2.12%),
