Income Statement,Jan 2017,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,39403.0,42151.0,42879.0,43638.0,47262.0,47262.0
Total Revenues,39403.0,42151.0,42879.0,43638.0,47262.0,47262.0
Cost Of Revenues,29963.0,32275.0,32918.0,33590.0,36666.0,36666.0
Gross Profit,9440.0,9876.0,9961.0,10048.0,10596.0,10596.0
Selling General & Admin Expenses,7524.0,8023.0,7979.0,7923.0,7929.0,7929.0
Total Operating Expenses,7524.0,8023.0,8002.0,7995.0,8009.0,8009.0
Operating Income,1916.0,1853.0,1959.0,2053.0,2587.0,2587.0
Interest Expense,(72.0),(75.0),(73.0),(64.0),(52.0),(52.0)
Interest And Investment Income,31.0,48.0,49.0,47.0,37.0,37.0
Net Interest Expenses,(41.0),(27.0),(24.0),(17.0),(15.0),(15.0)
"EBT, Excl. Unusual Items",1875.0,1826.0,1935.0,2036.0,2572.0,2572.0
"EBT, Incl. Unusual Items",1816.0,1817.0,1888.0,1993.0,2377.0,2377.0
Income Tax Expense,609.0,818.0,424.0,452.0,579.0,579.0
Earnings From Continuing Operations,1207.0,999.0,1464.0,1541.0,1798.0,1798.0
Earnings Of Discontinued Operations,21.0,1.0,,,,
Net Income to Company,1228.0,1000.0,1464.0,1541.0,1798.0,1798.0
Net Income,1228.0,1000.0,1464.0,1541.0,1798.0,1798.0
NI to Common Incl Extra Items,1228.0,1000.0,1464.0,1541.0,1798.0,1798.0
NI to Common Excl. Extra Items,1207.0,999.0,1464.0,1541.0,1798.0,1798.0
Revenue Per Share,$123.71,$140.32,$155.13,$164.73,$182.06,$182.06
Basic EPS,$3.86,$3.33,$5.30,$5.82,$6.93,$6.93
Basic EPS - Continuing Ops,$3.79,$3.33,$5.30,$5.82,$6.93,$6.93
Basic Weighted Average Shares Outst.,318.5,300.4,276.4,264.9,259.6,259.6
Diluted EPS,$3.81,$3.26,$5.20,$5.75,$6.84,$6.84
Diluted EPS - Continuing Ops,$3.74,$3.26,$5.20,$5.75,$6.84,$6.84
Diluted Weighted Average Shares Outst.,322.6,307.1,281.4,268.1,263.0,263.0
Normalized Basic EPS,$3.68,$3.80,$4.38,$4.80,$6.19,$6.19
Normalized Diluted EPS,$3.63,$3.72,$4.30,$4.75,$6.11,$6.11
Dividend Per Share,$1.18,$1.47,$1.85,$2.05,$2.35,$2.35
Payout Ratio,29.34%,40.90%,33.95%,34.20%,31.59%,31.59%
EBITDA,2570.0,2536.0,2729.0,2865.0,3426.0,3426.0
EBITA,1916.0,1853.0,1982.0,2125.0,2667.0,2667.0
EBIT,1916.0,1853.0,1959.0,2053.0,2587.0,2587.0
EBITDAR,3344.0,,,3894.0,4436.0,4436.0
Effective Tax Rate,33.5%,45.0%,22.5%,22.7%,24.4%,24.4%
Normalized Net Income,1171.9,1141.3,1209.4,1272.5,1607.5,1607.5
Interest on Long-Term Debt,72.0,75.0,73.0,64.0,52.0,52.0
Foreign Sales,3155.0,3489.0,3575.0,3524.0,3969.0,3969.0
