Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5.65%,7.61%,11.25%,9.34%,7.98%
Total Revenues,5.65%,7.61%,11.25%,9.34%,7.98%
Cost Of Revenues,4.26%,6.43%,10.89%,10.25%,8.20%
Gross Profit,16.24%,15.68%,13.53%,3.75%,6.55%
Selling General & Admin Expenses,58.39%,4.16%,(21.75%),,
Other Operating Expense/(Income),(61.45%),,,(26.23%),15.38%
Total Operating Expenses,40.43%,(6.68%),(7.85%),,
Operating Income,13.52%,18.79%,15.86%,15.32%,15.57%
Interest Expense,-1.81%,(2.61%),-2.25%,-9.49%,-7.46%
Net Interest Expenses,-1.81%,(2.61%),-2.25%,-9.49%,-7.46%
Other Non Operating Income (Expenses),,-49.50%,-15.69%,(37.21%),(93.55%)
"EBT, Excl. Unusual Items",8.60%,18.23%,18.40%,17.24%,17.10%
"EBT, Incl. Unusual Items",10.35%,11.28%,24.03%,13.73%,14.88%
Income Tax Expense,207.04%,(76.40%),27.65%,33.23%,30.01%
Earnings From Continuing Operations,(48.37%),166.98%,23.46%,10.56%,12.25%
Earnings Of Discontinued Operations,(95.17%),,,,0.00%
Net Income to Company,(62.05%),157.06%,23.46%,9.68%,11.37%
Net Income,(62.05%),157.06%,23.46%,9.68%,11.37%
NI to Common Incl Extra Items,(62.05%),157.06%,23.46%,9.68%,11.37%
NI to Common Excl. Extra Items,(48.37%),166.98%,23.46%,10.56%,12.25%
Revenue Per Share,9.87%,8.86%,12.24%,10.12%,8.86%
Basic EPS,(60.53%),160.06%,24.53%,10.47%,12.28%
Basic EPS - Continuing Ops,(46.30%),169.96%,24.53%,11.36%,13.17%
Basic Weighted Average Shares Outst.,(3.84%),(1.15%),(0.88%),(0.71%),(0.81%)
Diluted EPS,(60.45%),160.59%,24.79%,10.73%,12.46%
Diluted EPS - Continuing Ops,(46.19%),170.62%,24.79%,11.62%,13.35%
Diluted Weighted Average Shares Outst.,(4.12%),(1.31%),(1.05%),(0.92%),(1.00%)
Normalized Basic EPS,12.93%,19.62%,19.43%,18.08%,18.05%
Normalized Diluted EPS,13.23%,19.85%,19.66%,18.32%,18.28%
Dividend Per Share,10.19%,9.92%,9.76%,8.89%,8.70%
Payout Ratio,178.32%,(57.79%),(11.79%),(1.41%),(3.37%)
EBITDA,11.87%,15.51%,13.99%,13.96%,14.29%
EBITA,13.32%,17.53%,15.01%,14.61%,14.87%
EBIT,13.52%,18.79%,15.86%,15.32%,15.57%
EBITDAR,10.94%,16.27%,13.45%,13.41%,
Effective Tax Rate,178.26%,(78.79%),2.89%,17.17%,13.17%
Normalized Net Income,8.60%,18.23%,18.40%,17.24%,17.10%
R&D Expense From Footnotes,21.46%,8.33%,0.00%,0.00%,0.00%
Foreign Sales,,5.73%,9.07%,(0.88%),
