Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,22.97%,32.43%,17.72%,(4.95%),(1.24%)
Total Interest Income,22.77%,34.45%,17.23%,(2.94%),1.17%
Interest On Deposits,54.62%,237.78%,506.26%,(66.11%),(82.23%)
Total Interest On Borrowings,(3.13%),29.15%,(24.63%),(28.54%),(9.13%)
Total Interest Expense,4.43%,69.58%,180.30%,(59.90%),(71.91%)
Net Interest Income,23.45%,33.34%,10.70%,2.85%,8.72%
Service Charges On Deposits,11.79%,29.60%,17.22%,1.27%,(2.10%)
Credit Card Fee,12.22%,22.90%,26.20%,(17.67%),(18.86%)
Gain (Loss) on Sale of Invest. & Securities,32.94%,48.74%,53.89%,141.31%,250.34%
Total Other Non Interest Income,21.89%,32.49%,88.58%,28.56%,42.13%
Total Non Interest Income,21.45%,34.35%,65.16%,47.11%,79.90%
Revenue Before Loan Losses,22.89%,33.63%,26.07%,19.22%,35.25%
Provision For Loan Losses,(13.48%),(4.80%),21.11%,106.28%,
Total Revenues,25.47%,35.51%,26.24%,16.34%,49.72%
Salaries And Other Employee Benefits,18.75%,19.49%,36.13%,33.74%,52.17%
Occupancy Expense,13.96%,10.42%,25.16%,19.31%,17.13%
Total Selling General & Admin Expenses,18.28%,26.08%,33.30%,4.40%,12.61%
Total Other Non Interest Expense,13.95%,2.50%,74.87%,24.64%,22.33%
Total Non Interest Expense,17.55%,17.57%,34.76%,25.22%,37.19%
"EBT, Excl. Unusual Items",36.11%,56.31%,18.82%,7.56%,64.30%
"EBT, Incl. Unusual Items",36.53%,55.82%,18.16%,8.16%,65.52%
Income Tax Expense,42.00%,(1.10%),21.08%,5.15%,59.29%
Earnings From Continuing Operations,33.03%,94.80%,17.14%,9.25%,67.75%
Net Income to Company,33.03%,94.80%,17.14%,9.25%,67.75%
Minority Interest,(278.21%),(30.82%),(27.60%),(79.53%),(162.39%)
Net Income,28.17%,98.54%,16.74%,6.29%,63.62%
Preferred Dividend and Other Adjustments,,,,,445.44%
Net Income to Common Incl Extra Items,28.17%,98.54%,16.74%,4.78%,62.30%
Net Income to Common Excl. Extra Items,28.17%,98.54%,16.74%,4.78%,62.30%
Revenue Per Share,23.87%,34.25%,29.08%,16.85%,49.21%
Basic EPS,26.56%,96.65%,19.34%,5.24%,61.74%
Basic EPS - Continuing Ops,26.56%,96.65%,19.34%,5.24%,61.74%
Basic Weighted Average Shares Outst.,1.30%,0.93%,(2.19%),(0.44%),0.35%
Diluted EPS,25.85%,96.85%,19.99%,5.25%,61.23%
Diluted EPS - Continuing Ops,25.85%,96.85%,19.99%,5.25%,61.23%
Diluted Weighted Average Shares Outst.,1.83%,0.87%,(2.72%),(0.43%),0.67%
Normalized Basic EPS,29.69%,56.23%,21.08%,4.47%,58.70%
Normalized Diluted EPS,29.13%,56.28%,21.75%,4.46%,58.19%
Effective Tax Rate,3.99%,(36.53%),2.49%,(2.78%),(3.77%)
Normalized Net Income,31.44%,57.73%,18.41%,3.99%,59.25%
Interest on Long-Term Debt,(1.72%),(9.89%),(1.54%),(30.90%),
