Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6680.0,7379.0,7253.0,9740.0,11497.0,11497.0
Total Revenues,6680.0,7379.0,7253.0,9740.0,11497.0,11497.0
Cost Of Revenues,3624.0,4056.0,3977.0,5363.0,5338.0,5338.0
Gross Profit,3056.0,3323.0,3276.0,4377.0,6159.0,6159.0
Selling General & Admin Expenses,258.0,250.0,244.0,293.0,361.0,361.0
R&D Expenses,134.0,143.0,153.0,150.0,122.0,122.0
Depreciation & Amortization,1082.0,1184.0,1111.0,1915.0,2190.0,2190.0
Total Operating Expenses,1622.0,1756.0,2071.0,2623.0,2860.0,2860.0
Operating Income,1434.0,1567.0,1205.0,1754.0,3299.0,3299.0
Interest Expense,(273.0),(241.0),(207.0),(301.0),(308.0),(308.0)
Interest And Investment Income,11.0,28.0,56.0,57.0,24.0,24.0
Net Interest Expenses,(262.0),(213.0),(151.0),(244.0),(284.0),(284.0)
Currency Exchange Gains (Loss),(9.0),(28.0),42.0,(7.0),(73.0),(73.0)
Other Non Operating Income (Expenses),23.0,15.0,5.0,(16.0),(46.0),(46.0)
"EBT, Excl. Unusual Items",1173.0,1325.0,1068.0,1582.0,3085.0,3085.0
"EBT, Incl. Unusual Items",(233.0),1056.0,705.0,3788.0,3332.0,3332.0
Income Tax Expense,579.0,1127.0,386.0,832.0,704.0,704.0
Earnings From Continuing Operations,(812.0),(71.0),319.0,2956.0,2628.0,2628.0
Earnings Of Discontinued Operations,(403.0),(38.0),61.0,(72.0),163.0,163.0
Net Income to Company,"(1,215.0)",(109.0),380.0,2884.0,2791.0,2791.0
Minority Interest,586.0,(5.0),(39.0),(79.0),38.0,38.0
Net Income,(629.0),(114.0),341.0,2805.0,2829.0,2829.0
NI to Common Incl Extra Items,(629.0),(114.0),341.0,2805.0,2829.0,2829.0
NI to Common Excl. Extra Items,(226.0),(76.0),280.0,2877.0,2666.0,2666.0
Revenue Per Share,$12.60,$13.84,$13.61,$13.25,$14.30,$14.30
Basic EPS,($1.19),($0.21),$0.64,$3.82,$3.52,$3.52
Basic EPS - Continuing Ops,($0.43),($0.14),$0.53,$3.91,$3.32,$3.32
Basic Weighted Average Shares Outst.,530.0,533.0,533.0,735.0,804.0,804.0
Diluted EPS,($1.19),($0.21),$0.64,$3.81,$3.51,$3.51
Diluted EPS - Continuing Ops,($0.43),($0.14),$0.53,$3.91,$3.31,$3.31
Diluted Weighted Average Shares Outst.,530.0,535.0,535.0,737.0,806.0,806.0
Normalized Basic EPS,$2.49,$1.54,$1.18,$1.24,$2.45,$2.45
Normalized Diluted EPS,$2.49,$1.54,$1.17,$1.23,$2.44,$2.44
Dividend Per Share,$0.13,$0.25,$0.56,$0.56,$1.45,$1.45
Payout Ratio,NM,NM,88.27%,14.94%,29.48%,29.48%
EBITDA,2583.0,2846.0,2784.0,3802.0,5628.0,5628.0
EBITA,1504.0,1664.0,1309.0,1892.0,3439.0,3439.0
EBIT,1434.0,1567.0,1205.0,1754.0,3299.0,3299.0
EBITDAR,2626.0,2889.0,2835.0,4220.0,6008.0,6008.0
Effective Tax Rate,NM,106.7%,54.8%,22.0%,21.1%,21.1%
Normalized Net Income,1319.1,823.1,628.5,909.8,1966.1,1966.1
Interest Capitalized,33.0,22.0,37.0,26.0,24.0,24.0
Interest on Long-Term Debt,66.0,41.0,,60.0,61.0,61.0
R&D Expense From Footnotes,134.0,143.0,153.0,150.0,122.0,122.0
Foreign Sales,6610.0,7288.0,7201.0,9662.0,11400.0,11400.0
