Income Statement,Sep 2017,Sep 2018,Sep 2019,Oct 2020,TTM
Revenues,(42.27%),67.13%,20.40%,6.51%,4.42%
Total Revenues,(42.27%),67.13%,20.40%,6.51%,4.42%
Cost Of Revenues,(44.87%),66.02%,21.84%,7.04%,5.32%
Gross Profit,(28.72%),71.62%,14.78%,4.31%,0.72%
Selling General & Admin Expenses,(36.14%),66.92%,12.90%,(0.04%),(9.95%)
Total Operating Expenses,(36.14%),66.92%,12.90%,(0.04%),(9.95%)
Operating Income,2.56%,83.97%,19.25%,14.13%,26.14%
Interest Expense,-21.13%,(537.81%),(9.23%),-25.81%,-11.78%
Interest And Investment Income,11.47%,2.70%,63.48%,47.27%,61.19%
Net Interest Expenses,-55.65%,"(1,961.94%)",(2.04%),-41.33%,-28.28%
Other Non Operating Income (Expenses),,292.27%,,-26.03%,-28.67%
"EBT, Excl. Unusual Items",5.92%,68.55%,9.82%,23.13%,35.25%
"EBT, Incl. Unusual Items",(15.20%),36.12%,6.04%,25.71%,5.50%
Income Tax Expense,1.24%,345.44%,(88.65%),49.70%,(10.68%)
Earnings From Continuing Operations,(20.73%),(96.85%),"5,770.35%",22.89%,8.61%
Earnings Of Discontinued Operations,,35.66%,232.32%,(75.23%),(89.50%)
Net Income to Company,36.87%,(41.09%),403.58%,(39.86%),(47.52%)
Minority Interest,,,(141.71%),(38.95%),(44.53%)
Net Income,39.56%,(44.36%),418.86%,(42.00%),(49.84%)
Preferred Dividend and Other Adjustments,,(73.74%),49.75%,(91.74%),
NI to Common Incl Extra Items,38.10%,(44.05%),420.69%,(41.93%),(49.78%)
NI to Common Excl. Extra Items,(20.61%),,,22.09%,6.71%
Revenue Per Share,(41.90%),45.06%,20.08%,11.68%,8.35%
Basic EPS,39.14%,(51.34%),420.35%,(39.10%),(47.89%)
Basic EPS - Continuing Ops,(20.01%),,,28.09%,10.73%
Basic Weighted Average Shares Outst.,(0.64%),15.22%,0.27%,(4.64%),(3.63%)
Diluted EPS,39.88%,(51.24%),416.22%,(39.09%),(47.80%)
Diluted EPS - Continuing Ops,(19.56%),,,27.75%,10.80%
Diluted Weighted Average Shares Outst.,(1.10%),14.47%,1.21%,(4.66%),(3.73%)
Normalized Basic EPS,9.12%,42.58%,5.81%,28.15%,39.72%
Normalized Diluted EPS,9.07%,43.37%,4.82%,27.92%,39.87%
Dividend Per Share,,33.33%,10.00%,12.12%,11.76%
Payout Ratio,,164.58%,(76.31%),133.22%,197.03%
EBITDA,0.26%,78.27%,11.19%,12.49%,21.84%
EBITA,1.85%,82.94%,16.87%,13.72%,24.25%
EBIT,2.56%,83.97%,19.25%,14.13%,26.14%
EBITDAR,(8.06%),,,,
Effective Tax Rate,19.40%,227.29%,(89.30%),19.07%,(15.34%)
Normalized Net Income,8.11%,64.08%,6.29%,22.17%,34.65%
Foreign Sales,(48.09%),49.92%,1.64%,(8.65%),
