Income Statement,Nov 2016,Nov 2017,Nov 2018,Nov 2019,Nov 2020,TTM
Revenues,10262.7,11754.4,19617.0,21434.8,21598.5,22373.3
Other Revenues,687.3,892.0,954.6,824.8,890.3,935.7
Total Revenues,10950.0,12646.4,20571.6,22259.6,22488.9,23309.0
Cost Of Revenues,8556.2,11021.5,18237.4,17742.1,17317.7,17648.7
Gross Profit,2393.8,1624.9,2334.2,4517.5,5171.2,5660.3
Selling General & Admin Expenses,1131.5,285.9,343.9,2056.3,2055.5,2114.8
Other Operating Expense/(Income),(41.9),(11.9),(188.1),22.7,17.0,(5.4)
Total Operating Expenses,1089.6,274.0,155.8,2079.0,2072.5,2109.4
Operating Income,1304.3,1350.9,2178.4,2438.5,3098.7,3550.9
Interest Expense,(4.6),(7.2),(11.3),(17.6),(22.4),(22.4)
Net Interest Expenses,(4.6),(7.2),(11.3),(17.6),(22.4),(22.4)
Other Non Operating Income (Expenses),,,,,,(8.1)
"EBT, Excl. Unusual Items",1354.8,1393.2,2152.3,2434.3,3062.4,3965.8
"EBT, Incl. Unusual Items",1330.5,1189.6,2262.7,2434.3,3123.8,4027.3
Income Tax Expense,417.4,417.9,545.2,592.2,656.2,934.0
Earnings From Continuing Operations,913.1,771.8,1717.5,1842.1,2467.6,3093.2
Net Income to Company,913.1,771.8,1717.5,1842.1,2467.6,3093.2
Minority Interest,(1.2),38.7,(21.7),6.9,(2.5),(25.3)
Net Income,911.8,810.5,1695.8,1849.1,2465.0,3068.0
Preferred Dividend and Other Adjustments,9.2,7.8,14.9,16.1,28.4,36.2
NI to Common Incl Extra Items,902.7,802.7,1681.0,1832.9,2436.6,3031.7
NI to Common Excl. Extra Items,902.7,802.7,1681.0,1832.9,2436.6,3031.7
Revenue Per Share,$49.09,$53.33,$66.80,$69.91,$72.68,$75.47
Basic EPS,$4.05,$3.38,$5.46,$5.76,$7.88,$9.82
Basic EPS - Continuing Ops,$4.05,$3.38,$5.46,$5.76,$7.88,$9.82
Basic Weighted Average Shares Outst.,223.1,237.2,308.0,318.4,309.4,308.9
Diluted EPS,$3.86,$3.38,$5.44,$5.74,$7.85,$9.78
Diluted EPS - Continuing Ops,$3.86,$3.38,$5.44,$5.74,$7.85,$9.78
Diluted Weighted Average Shares Outst.,235.4,237.2,308.6,318.4,309.4,308.9
Normalized Basic EPS,$3.79,$3.83,$4.30,$4.80,$6.18,$7.94
Normalized Diluted EPS,$3.59,$3.83,$4.29,$4.80,$6.18,$7.94
Dividend Per Share,$0.16,$0.16,$0.16,$0.16,$0.63,$0.75
Payout Ratio,3.87%,4.64%,2.90%,2.78%,7.91%,7.62%
EBITDA,1354.5,1417.2,2269.6,2530.7,3193.3,3647.4
EBITA,1304.3,1350.9,2178.4,2438.5,3098.7,3550.9
EBIT,1304.3,1350.9,2178.4,2438.5,3098.7,3550.9
EBITDAR,1417.7,1491.8,2368.0,2622.9,3275.4,
Effective Tax Rate,31.4%,35.1%,24.1%,24.3%,21.0%,23.2%
Normalized Net Income,845.5,909.5,1323.5,1528.4,1911.5,2453.4
Interest Capitalized,276.8,283.2,412.5,405.1,331.0,
