Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,11.53%,7.19%,(3.99%),(8.03%),0.00%
Total Revenues,11.53%,7.19%,(3.99%),(8.03%),0.00%
Cost Of Revenues,10.46%,5.09%,(1.85%),(5.86%),0.00%
Gross Profit,13.88%,11.67%,(8.30%),(12.68%),0.00%
Selling General & Admin Expenses,7.63%,5.55%,(14.30%),(6.57%),0.00%
Depreciation & Amortization,19.48%,(1.12%),(1.66%),(1.45%),0.00%
Other Operating Expense/(Income),9.74%,1.18%,(0.58%),0.59%,0.00%
Total Operating Expenses,10.59%,3.65%,(10.68%),(4.90%),0.00%
Operating Income,24.09%,33.84%,(3.20%),(28.05%),0.00%
Interest Expense,(9.06%),-3.17%,-3.81%,-15.01%,0.00%
Interest And Investment Income,6.29%,6.45%,8.59%,(27.44%),0.00%
Net Interest Expenses,(10.00%),-6.29%,-8.40%,-9.57%,0.00%
"EBT, Excl. Unusual Items",24.48%,56.52%,(5.29%),(37.06%),0.00%
"EBT, Incl. Unusual Items",3.22%,106.54%,(12.42%),(60.79%),0.00%
Income Tax Expense,,,42.47%,(61.36%),0.00%
Earnings From Continuing Operations,163.75%,(20.76%),(27.03%),(60.49%),0.00%
Earnings Of Discontinued Operations,(66.67%),914.71%,,,
Net Income to Company,137.69%,(5.92%),(39.51%),(60.49%),0.00%
Net Income,137.17%,(6.16%),(39.12%),(60.65%),0.00%
NI to Common Incl Extra Items,137.17%,(6.16%),(39.12%),(60.65%),0.00%
NI to Common Excl. Extra Items,163.09%,(21.00%),(26.51%),(60.65%),0.00%
Revenue Per Share,11.10%,8.14%,(0.64%),(7.50%),0.00%
Basic EPS,136.14%,(5.42%),(37.01%),(60.44%),0.00%
Basic EPS - Continuing Ops,162.19%,(20.26%),(23.86%),(60.44%),0.00%
Basic Weighted Average Shares Outst.,0.39%,(0.87%),(3.37%),(0.58%),0.00%
Diluted EPS,135.39%,(5.40%),(36.70%),(60.26%),0.00%
Diluted EPS - Continuing Ops,161.66%,(20.40%),(23.63%),(60.26%),0.00%
Diluted Weighted Average Shares Outst.,0.51%,(0.84%),(3.72%),(0.78%),0.00%
Normalized Basic EPS,23.98%,57.66%,(1.19%),(36.95%),0.00%
Normalized Diluted EPS,23.19%,57.15%,(0.91%),(36.82%),0.00%
Dividend Per Share,4.66%,3.49%,4.27%,1.99%,0.00%
Payout Ratio,(55.76%),9.32%,65.72%,157.34%,0.00%
EBITDA,22.11%,16.94%,(2.15%),(18.32%),0.00%
EBITA,24.09%,37.04%,(3.17%),(27.30%),0.00%
EBIT,24.09%,33.84%,(3.20%),(28.05%),0.00%
EBITDAR,,,,(17.17%),
Effective Tax Rate,,,62.68%,(1.46%),0.00%
Normalized Net Income,24.14%,55.97%,(4.60%),(37.29%),0.00%
Interest Capitalized,(10.71%),20.00%,(3.33%),6.90%,
Interest on Long-Term Debt,,,,5.88%,
R&D Expense From Footnotes,40.00%,,,,
Foreign Sales,7.09%,3.66%,(4.72%),(18.33%),
