Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,28.26%,7.35%,18.55%,33.88%,30.53%
Other Revenue,22.08%,13.19%,(1.77%),35.01%,25.32%
Total Revenues,4.65%,8.23%,13.80%,34.14%,29.59%
Property Expenses,3.91%,4.56%,21.28%,27.33%,26.50%
Selling General & Admin Exp.,4.05%,3.43%,11.60%,3.05%,6.18%
Depreciation & Amortization,(5.57%),7.74%,20.34%,37.03%,34.26%
Other Operating Expenses,(14.82%),11.10%,(3.03%),128.23%,(20.97%)
Total Operating Expenses,(0.95%),5.98%,19.48%,29.86%,27.63%
Operating Income,16.57%,12.32%,4.09%,42.53%,33.29%
Total Interest Expense,-9.45%,-16.52%,(4.72%),(31.07%),(21.58%)
Interest and Investment Income,69.50%,6.79%,65.13%,(95.69%),(93.74%)
Net Interest Expenses,-11.62%,-17.75%,(0.59%),(45.30%),(29.65%)
"EBT, Excl. Unusual Items",19.37%,49.49%,(10.80%),30.34%,9.36%
Gain (Loss) on Sale of Assets,90.46%,(28.91%),2.00%,(16.40%),(17.44%)
Other Unusual Items,,-96.22%,(523.59%),"(1,067.62%)",(486.46%)
"EBT, Incl. Unusual Items",34.78%,3.90%,(5.83%),(1.65%),(16.52%)
Income Tax Expense,0.08%,15.97%,17.66%,75.07%,36.28%
Earnings From Continuing Operations,36.24%,3.52%,(6.64%),(5.01%),(19.15%)
Net Income to Company,36.24%,3.52%,(6.64%),(5.01%),(19.15%)
Minority Interest,(31.51%),(59.80%),-25.76%,(4.60%),(2.45%)
Net Income,36.56%,(0.18%),(4.63%),(5.79%),(20.83%)
Pref. Dividends and Other Adj.,54.81%,(42.90%),1.25%,44.65%,39.77%
NI to Common Incl Extra Items,36.46%,0.09%,(4.65%),(5.99%),(21.05%)
NI to Common Excl. Extra Items,36.46%,0.09%,(4.65%),(5.99%),(21.05%)
Revenue Per Share,3.74%,1.27%,2.36%,16.12%,13.67%
Basic EPS,35.18%,(6.56%),(14.31%),(18.44%),(30.75%)
Basic EPS - Continuing Ops,35.18%,(6.56%),(14.31%),(18.44%),(30.75%)
Basic Weighted Average Shares Outst.,0.82%,6.97%,11.14%,15.50%,14.01%
Diluted EPS,34.66%,(6.25%),(14.13%),(18.36%),(30.66%)
Diluted EPS - Continuing Ops,34.66%,(6.25%),(14.13%),(18.36%),(30.66%)
Diluted Weighted Average Shares Outst.,1.03%,6.87%,10.96%,15.19%,13.74%
Normalized Basic EPS,15.04%,36.83%,(15.06%),19.49%,(2.67%)
Normalized Diluted EPS,14.72%,35.91%,(15.22%),18.65%,(2.43%)
Dividend Per Share,4.76%,9.09%,10.42%,9.43%,9.22%
Payout Ratio,(22.72%),19.36%,25.60%,35.92%,
FFO,,,,17.40%,2.15%
AFFO,,,,17.40%,
Funds Available for Distribution,,,,17.40%,
EBITDA,5.16%,10.20%,11.45%,39.84%,33.47%
EBITA,16.57%,12.32%,4.09%,42.53%,33.29%
EBIT,16.57%,12.32%,4.09%,42.53%,33.29%
Effective Tax Rate,(25.73%),11.54%,24.85%,78.21%,63.25%
Normalized Net Income,15.85%,46.09%,(5.41%),37.63%,10.97%
Interest Capitalized,(15.93%),(3.74%),(7.53%),(13.86%),
Interest on Long-Term Debt,,,2.22%,25.85%,
