Income Statement,Apr 2017,Apr 2018,Apr 2019,Apr 2020,TTM
Revenues,3.04%,0.82%,2.02%,(5.38%),(10.10%)
Total Revenues,3.04%,0.82%,2.02%,(5.38%),(10.10%)
Cost Of Revenues,3.81%,(2.24%),0.28%,2.26%,4.93%
Gross Profit,2.70%,2.20%,2.77%,(8.60%),(16.71%)
Selling General & Admin Expenses,2.60%,3.73%,18.64%,(2.36%),(2.84%)
R&D Expenses,(1.39%),2.87%,3.28%,0.04%,3.05%
Other Operating Expense/(Income),(20.07%),(54.29%),105.16%,(15.10%),(44.55%)
Total Operating Expenses,1.03%,0.10%,2.46%,(2.36%),(2.60%)
Operating Income,6.84%,7.12%,3.45%,(22.18%),(45.80%)
Interest Expense,-21.07%,(4.75%),-16.32%,-29.20%,-54.26%
Interest And Investment Income,(15.08%),,,12.36%,(32.01%)
Net Interest Expenses,-23.77%,(57.42%),-39.62%,-45.23%,-62.09%
Currency Exchange Gains (Loss),(48.17%),,,41.12%,(59.81%)
"EBT, Excl. Unusual Items",7.32%,(1.93%),15.73%,(13.24%),(40.53%)
"EBT, Incl. Unusual Items",6.13%,23.32%,(6.61%),(19.34%),(47.49%)
Income Tax Expense,(27.57%),346.37%,(78.41%),,(61.93%)
Earnings From Continuing Operations,13.74%,(23.09%),53.25%,4.91%,(43.53%)
Net Income to Company,13.74%,(23.09%),53.25%,4.91%,(43.53%)
Minority Interest,,125.00%,,-10.53%,-67.65%
Net Income,13.85%,(22.94%),52.19%,4.97%,(43.38%)
NI to Common Incl Extra Items,13.85%,(22.94%),52.19%,4.97%,(43.38%)
NI to Common Excl. Extra Items,13.85%,(22.94%),52.19%,4.97%,(43.38%)
Revenue Per Share,5.36%,2.45%,2.79%,(5.00%),(10.26%)
Basic EPS,16.38%,(21.65%),53.21%,5.38%,(43.48%)
Basic EPS - Continuing Ops,16.38%,(21.65%),53.21%,5.38%,(43.48%)
Basic Weighted Average Shares Outst.,(2.18%),(1.61%),(0.76%),(0.42%),0.18%
Diluted EPS,16.53%,(21.45%),53.30%,5.46%,(43.66%)
Diluted EPS - Continuing Ops,16.53%,(21.45%),53.30%,5.46%,(43.66%)
Diluted Weighted Average Shares Outst.,(2.42%),(1.67%),(0.78%),(0.47%),0.03%
Normalized Basic EPS,9.67%,(0.05%),15.69%,(12.97%),(40.41%)
Normalized Diluted EPS,10.12%,(0.10%),15.66%,(12.75%),(40.32%)
Dividend Per Share,13.16%,6.98%,8.70%,8.00%,7.55%
Payout Ratio,(2.44%),36.21%,(29.05%),2.37%,90.42%
EBITDA,5.71%,1.79%,2.62%,(17.96%),(34.94%)
EBITA,5.75%,3.44%,2.00%,(17.69%),(36.42%)
EBIT,6.84%,7.12%,3.45%,(22.18%),(45.80%)
EBITDAR,5.82%,2.01%,2.39%,(17.77%),
Effective Tax Rate,(31.74%),261.96%,(76.88%),,(208.40%)
Normalized Net Income,7.45%,(1.79%),14.87%,(13.25%),(40.30%)
R&D Expense From Footnotes,(1.39%),5.97%,2.75%,(1.34%),3.08%
Foreign Sales,3.08%,0.77%,2.00%,(5.38%),
