Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,1635.0,1872.0,2262.0,2439.0,1773.0,1642.0
Total Interest Income,1909.0,2182.0,2619.0,2807.0,2093.0,1943.0
Interest On Deposits,40.0,42.0,122.0,262.0,101.0,52.0
Total Interest On Borrowings,72.0,79.0,145.0,206.0,81.0,50.0
Total Interest Expense,112.0,121.0,267.0,468.0,182.0,102.0
Net Interest Income,1797.0,2061.0,2352.0,2339.0,1911.0,1841.0
Service Charges On Deposits,219.0,227.0,211.0,203.0,185.0,184.0
Trust Income,190.0,198.0,206.0,206.0,209.0,208.0
Gain (Loss) on Sale of Assets,,,,6.0,,
Gain (Loss) on Sale of Invest. & Securities,(1.0),2.0,(14.0),(5.0),1.0,2.0
Total Other Non Interest Income,643.0,680.0,573.0,600.0,606.0,640.0
Total Non Interest Income,1051.0,1107.0,976.0,1010.0,1001.0,1034.0
Revenue Before Loan Losses,2848.0,3168.0,3328.0,3349.0,2912.0,2875.0
Provision For Loan Losses,248.0,74.0,(1.0),74.0,537.0,(56.0)
Total Revenues,2600.0,3094.0,3329.0,3275.0,2375.0,2931.0
Salaries And Other Employee Benefits,955.0,922.0,961.0,981.0,995.0,1035.0
Occupancy Expense,157.0,,152.0,154.0,156.0,156.0
Total Selling General & Admin Expenses,563.0,758.0,506.0,504.0,504.0,514.0
Total Other Non Interest Expense,89.0,69.0,63.0,66.0,79.0,61.0
Total Non Interest Expense,1818.0,1800.0,1724.0,1728.0,1767.0,1797.0
"EBT, Excl. Unusual Items",782.0,1294.0,1605.0,1547.0,608.0,1134.0
Restructuring Charges,(93.0),(45.0),(53.0),,,
Legal Settlements,(19.0),(15.0),(17.0),(15.0),(17.0),(17.0)
"EBT, Incl. Unusual Items",670.0,1234.0,1535.0,1532.0,591.0,1117.0
Income Tax Expense,193.0,491.0,300.0,334.0,117.0,234.0
Earnings From Continuing Operations,477.0,743.0,1235.0,1198.0,474.0,883.0
Net Income to Company,477.0,743.0,1235.0,1198.0,474.0,883.0
Net Income,477.0,743.0,1235.0,1198.0,474.0,883.0
Preferred Dividend and Other Adjustments,4.0,5.0,8.0,7.0,15.0,22.0
Net Income to Common Incl Extra Items,473.0,738.0,1227.0,1191.0,459.0,861.0
Net Income to Common Excl. Extra Items,473.0,738.0,1227.0,1191.0,459.0,861.0
Revenue Per Share,$15.12,$17.78,$19.82,$21.83,$17.09,$21.13
Basic EPS,$2.75,$4.24,$7.30,$7.94,$3.30,$6.21
Basic EPS - Continuing Ops,$2.75,$4.24,$7.30,$7.94,$3.30,$6.21
Basic Weighted Average Shares Outst.,172.0,174.0,168.0,150.0,139.0,138.7
Diluted EPS,$2.68,$4.14,$7.20,$7.87,$3.27,$6.13
Diluted EPS - Continuing Ops,$2.68,$4.14,$7.20,$7.87,$3.27,$6.13
Diluted Weighted Average Shares Outst.,177.0,178.0,171.0,151.0,140.0,140.1
Normalized Basic EPS,$2.84,$4.65,$5.97,$6.45,$2.73,$5.11
Normalized Diluted EPS,$2.76,$4.54,$5.87,$6.40,$2.71,$5.06
Dividend Per Share,$0.89,$1.09,$1.84,$2.68,$2.72,$2.72
Payout Ratio,31.87%,24.23%,21.30%,33.56%,80.80%,
Effective Tax Rate,28.8%,39.8%,19.5%,21.8%,19.8%,20.9%
Normalized Net Income,488.8,808.8,1003.1,966.9,380.0,708.8
Interest on Long-Term Debt,72.0,76.0,144.0,197.0,80.0,
Foreign Sales,,703.0,715.0,746.0,779.0,
