Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,4641.0,5092.7,5107.7,5885.0,5935.6,5991.1
Other Revenues,93.4,67.6,206.4,232.4,210.0,215.3
Total Revenues,4734.4,5160.3,5314.1,6117.4,6145.6,6206.4
Cost Of Revenues,3079.8,3352.7,3508.7,4091.2,4265.3,4339.2
Gross Profit,1654.6,1807.6,1805.4,2026.2,1880.3,1867.2
Selling General & Admin Expenses,409.2,428.7,459.2,539.8,564.1,537.5
Total Operating Expenses,409.2,428.7,459.2,539.8,564.1,537.5
Operating Income,1245.4,1378.9,1346.2,1486.4,1316.2,1329.7
Interest Expense,(216.9),(250.1),(302.2),(364.2),(323.8),(311.3)
Interest And Investment Income,207.5,225.0,296.7,373.9,322.8,317.7
Net Interest Expenses,(9.4),(25.1),(5.5),9.7,(1.0),6.4
Currency Exchange Gains (Loss),16.0,(16.9),(1.9),(13.7),(2.3),(2.3)
Other Non Operating Income (Expenses),6.0,81.2,(55.0),,40.9,201.6
"EBT, Excl. Unusual Items",1267.3,1462.8,1317.6,1538.8,1426.5,1618.7
"EBT, Incl. Unusual Items",1206.6,1429.2,1138.1,972.9,1069.1,1369.8
Income Tax Expense,338.3,268.2,255.0,235.1,261.6,310.7
Earnings From Continuing Operations,868.3,1161.0,883.1,737.8,807.5,1059.1
Net Income to Company,868.3,1161.0,883.1,737.8,807.5,1059.1
Minority Interest,(14.1),(33.7),(0.3),(49.5),(45.9),(111.2)
Net Income,854.2,1127.3,882.8,688.3,761.6,947.9
Preferred Dividend and Other Adjustments,,,,123.6,236.8,236.8
NI to Common Incl Extra Items,854.2,1127.3,882.8,564.7,524.8,711.1
NI to Common Excl. Extra Items,854.2,1127.3,882.8,564.7,524.8,711.1
Revenue Per Share,$11.42,$12.60,$12.89,$13.97,$13.37,$13.46
Basic EPS,$2.06,$2.75,$2.14,$1.29,$1.14,$1.54
Basic EPS - Continuing Ops,$2.06,$2.75,$2.14,$1.29,$1.14,$1.54
Basic Weighted Average Shares Outst.,414.7,409.4,412.4,437.8,459.5,461.0
Diluted EPS,$2.06,$2.75,$2.14,$1.28,$1.13,$1.53
Diluted EPS - Continuing Ops,$2.06,$2.75,$2.14,$1.28,$1.13,$1.53
Diluted Weighted Average Shares Outst.,415.0,409.9,412.5,440.5,462.5,464.0
Normalized Basic EPS,$1.88,$2.15,$2.00,$2.08,$1.84,$1.95
Normalized Diluted EPS,$1.87,$2.15,$2.00,$2.07,$1.83,$1.94
Dividend Per Share,$1.12,$1.16,$1.20,$1.24,$0.62,$0.64
Payout Ratio,53.90%,41.83%,55.57%,94.83%,78.02%,76.47%
EBITDA,1346.6,1495.7,1488.3,1664.0,1519.7,1533.2
EBITA,1259.3,1396.3,1375.9,1539.1,1378.7,1392.2
EBIT,1245.4,1378.9,1346.2,1486.4,1316.2,1329.7
EBITDAR,1393.5,1550.0,1541.5,1760.2,1632.6,
Effective Tax Rate,28.0%,18.8%,22.4%,24.2%,24.5%,22.7%
Normalized Net Income,778.0,880.6,823.2,912.3,845.7,900.5
Interest on Long-Term Debt,93.4,94.8,111.5,135.7,129.3,
Foreign Sales,2190.2,,5314.1,6117.4,6145.6,
