Income Statement,Apr 2016,Apr 2017,Apr 2018,Apr 2019,Apr 2020,TTM
Revenues,3089.0,2994.0,3248.0,3324.0,3363.0,3358.0
Total Revenues,3089.0,2994.0,3248.0,3324.0,3363.0,3358.0
Cost Of Revenues,945.0,973.0,1046.0,1158.0,1236.0,1309.0
Gross Profit,2144.0,2021.0,2202.0,2166.0,2127.0,2049.0
Selling General & Admin Expenses,1105.0,1050.0,1179.0,1059.0,1030.0,986.0
Other Operating Expense/(Income),(14.0),(20.0),(7.0),(9.0),(16.0),(7.0)
Total Operating Expenses,1091.0,1030.0,1172.0,1050.0,1014.0,979.0
Operating Income,1053.0,991.0,1030.0,1116.0,1113.0,1070.0
Interest Expense,(46.0),(59.0),(68.0),(88.0),(82.0),(81.0)
Interest And Investment Income,2.0,3.0,6.0,8.0,5.0,2.0
Net Interest Expenses,(44.0),(56.0),(62.0),(80.0),(77.0),(79.0)
Currency Exchange Gains (Loss),(5.0),(2.0),9.0,6.0,(14.0),(5.0)
"EBT, Excl. Unusual Items",1004.0,933.0,977.0,1042.0,1022.0,986.0
"EBT, Incl. Unusual Items",1489.0,933.0,977.0,1042.0,1009.0,1100.0
Income Tax Expense,422.0,264.0,260.0,207.0,182.0,189.0
Earnings From Continuing Operations,1067.0,669.0,717.0,835.0,827.0,911.0
Net Income to Company,1067.0,669.0,717.0,835.0,827.0,911.0
Net Income,1067.0,669.0,717.0,835.0,827.0,911.0
NI to Common Incl Extra Items,1067.0,669.0,717.0,835.0,827.0,911.0
NI to Common Excl. Extra Items,1067.0,669.0,717.0,835.0,827.0,911.0
Revenue Per Share,$6.09,$6.18,$6.76,$6.94,$7.04,$7.02
Basic EPS,$2.10,$1.38,$1.49,$1.74,$1.73,$1.90
Basic EPS - Continuing Ops,$2.10,$1.38,$1.49,$1.74,$1.73,$1.90
Basic Weighted Average Shares Outst.,507.4,484.6,480.3,479.0,477.8,478.4
Diluted EPS,$2.09,$1.37,$1.48,$1.73,$1.72,$1.90
Diluted EPS - Continuing Ops,$2.09,$1.37,$1.48,$1.73,$1.72,$1.90
Diluted Weighted Average Shares Outst.,510.7,488.1,484.2,482.1,480.4,480.6
Normalized Basic EPS,$1.24,$1.20,$1.27,$1.36,$1.34,$1.29
Normalized Diluted EPS,$1.23,$1.19,$1.26,$1.35,$1.33,$1.28
Dividend Per Share,$0.52,$0.56,$0.61,$0.65,$0.68,$0.70
Payout Ratio,24.93%,40.96%,40.73%,37.13%,39.30%,36.88%
EBITDA,1109.0,1049.0,1094.0,1188.0,1187.0,1147.0
EBITA,1053.0,991.0,1030.0,1116.0,1113.0,1070.0
EBIT,1053.0,991.0,1030.0,1116.0,1113.0,1070.0
EBITDAR,1132.0,1072.0,1120.0,1216.0,1216.0,
Effective Tax Rate,28.3%,28.3%,26.6%,19.9%,18.0%,17.2%
Normalized Net Income,627.5,583.1,610.6,651.3,638.8,616.3
Foreign Sales,1598.0,1550.0,1719.0,1761.0,1673.0,
