Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,10.65%,5.08%,5.60%,(8.14%),(10.81%)
Total Revenues,10.65%,5.08%,5.60%,(8.14%),(10.81%)
Cost Of Revenues,8.65%,3.75%,1.94%,(15.74%),(15.44%)
Gross Profit,13.00%,6.57%,9.61%,(0.41%),(6.35%)
Depreciation & Amortization,5.21%,8.04%,1.15%,2.05%,2.53%
Other Operating Expense/(Income),-43.42%,-26.57%,,(7.94%),(12.31%)
Total Operating Expenses,14.27%,11.23%,13.10%,1.54%,1.75%
Operating Income,12.60%,5.08%,8.44%,(1.10%),(9.04%)
Interest Expense,(2.56%),(9.78%),(5.36%),(30.20%),(27.73%)
Net Interest Expenses,(2.56%),(9.78%),(5.36%),(30.20%),(27.73%)
Currency Exchange Gains (Loss),,(81.29%),119.23%,,
Other Non Operating Income (Expenses),-57.14%,,(58.33%),110.00%,
"EBT, Excl. Unusual Items",31.93%,(0.35%),9.42%,(9.91%),(6.76%)
"EBT, Incl. Unusual Items",31.93%,1.44%,(11.11%),4.41%,(1.23%)
Income Tax Expense,,,(3.84%),(17.57%),(15.77%)
Earnings From Continuing Operations,100.85%,(34.70%),(14.08%),14.48%,5.14%
Net Income to Company,100.85%,(34.70%),(14.08%),14.48%,5.14%
Minority Interest,(5.56%),(5.26%),-5.00%,(10.53%),0.00%
Net Income,101.21%,(34.78%),(14.11%),14.49%,5.15%
Preferred Dividend and Other Adjustments,0.00%,0.00%,0.00%,0.00%,(50.00%)
NI to Common Incl Extra Items,101.26%,(34.79%),(14.11%),14.50%,5.17%
NI to Common Excl. Extra Items,101.26%,(34.79%),(14.11%),14.50%,5.17%
Revenue Per Share,13.65%,8.06%,8.28%,(2.78%),(5.51%)
Basic EPS,106.84%,(32.92%),(11.95%),21.29%,11.43%
Basic EPS - Continuing Ops,106.84%,(32.92%),(11.95%),21.29%,11.43%
Basic Weighted Average Shares Outst.,(2.63%),(2.75%),(2.49%),(5.53%),(5.61%)
Diluted EPS,106.77%,(33.08%),(11.91%),21.11%,11.38%
Diluted EPS - Continuing Ops,106.77%,(33.08%),(11.91%),21.11%,11.38%
Diluted Weighted Average Shares Outst.,(2.53%),(2.64%),(2.47%),(5.45%),(5.55%)
Normalized Basic EPS,35.76%,2.43%,12.20%,(4.71%),(1.24%)
Normalized Diluted EPS,35.35%,2.41%,12.34%,(4.73%),(1.31%)
Dividend Per Share,4.55%,4.35%,2.78%,10.81%,17.11%
Payout Ratio,(50.41%),58.74%,13.89%,(7.83%),
EBITDA,10.59%,5.84%,6.52%,(0.31%),(6.27%)
EBITA,12.60%,5.08%,8.44%,(1.10%),(9.04%)
EBIT,12.60%,5.08%,8.44%,(1.10%),(9.04%)
EBITDAR,,,,(2.04%),
Effective Tax Rate,,,8.18%,(21.07%),(14.72%)
Normalized Net Income,32.05%,(0.37%),9.48%,(9.98%),(6.79%)
Interest on Long-Term Debt,,9.78%,6.36%,28.97%,
Foreign Sales,8.90%,5.38%,6.46%,(9.36%),
