Income Statement,Nov 2017,Nov 2018,Nov 2019,Nov 2020,TTM
Revenues,7.23%,12.10%,0.84%,4.75%,10.19%
Total Revenues,7.23%,12.10%,0.84%,4.75%,10.19%
Cost Of Revenues,13.02%,10.09%,(0.23%),3.09%,8.71%
Gross Profit,(0.93%),15.34%,2.48%,7.23%,12.38%
Selling General & Admin Expenses,(13.60%),12.39%,0.00%,11.20%,14.71%
R&D Expenses,8.36%,4.99%,(3.03%),1.93%,1.93%
Total Operating Expenses,(12.46%),11.92%,(0.18%),10.66%,13.97%
Operating Income,19.68%,19.81%,5.74%,3.27%,10.53%
Interest Expense,(70.89%),(82.45%),-5.38%,-17.92%,-14.86%
Interest And Investment Income,,24.56%,42.25%,(22.77%),(22.77%)
Net Interest Expenses,(60.71%),(86.11%),-7.40%,-17.60%,-14.31%
Currency Exchange Gains (Loss),(225.00%),-84.62%,(250.00%),(42.86%),-37.50%
Other Non Operating Income (Expenses),(93.44%),(25.00%),,,
"EBT, Excl. Unusual Items",13.46%,11.00%,8.62%,7.43%,15.01%
"EBT, Incl. Unusual Items",0.54%,23.45%,10.82%,7.23%,11.92%
Income Tax Expense,(1.11%),,,11.12%,22.97%
Earnings From Continuing Operations,1.08%,95.52%,(24.72%),6.36%,9.31%
Net Income to Company,1.08%,95.52%,(24.72%),6.36%,9.31%
Net Income,1.08%,95.52%,(24.72%),6.36%,9.31%
NI to Common Incl Extra Items,1.08%,95.52%,(24.72%),6.36%,9.31%
NI to Common Excl. Extra Items,1.08%,95.52%,(24.72%),6.36%,9.31%
Revenue Per Share,7.08%,8.07%,0.06%,4.20%,9.66%
Basic EPS,0.67%,88.71%,(25.33%),5.83%,8.79%
Basic EPS - Continuing Ops,0.67%,88.71%,(25.33%),5.83%,8.79%
Basic Weighted Average Shares Outst.,0.16%,3.75%,0.76%,0.53%,0.48%
Diluted EPS,0.54%,88.17%,(25.14%),6.11%,9.02%
Diluted EPS - Continuing Ops,0.54%,88.17%,(25.14%),6.11%,9.02%
Diluted Weighted Average Shares Outst.,0.31%,3.78%,0.60%,0.37%,0.38%
Normalized Basic EPS,13.04%,6.83%,7.97%,7.02%,14.46%
Normalized Diluted EPS,13.06%,7.26%,7.89%,7.02%,14.57%
Dividend Per Share,9.30%,10.64%,9.62%,8.77%,9.01%
Payout Ratio,7.94%,(41.15%),46.83%,2.69%,0.12%
EBITDA,19.82%,20.27%,5.79%,3.51%,10.23%
EBITA,20.10%,19.95%,5.59%,3.20%,10.31%
EBIT,19.68%,19.81%,5.74%,3.27%,10.53%
EBITDAR,19.40%,20.54%,4.58%,2.79%,
Effective Tax Rate,(1.65%),,,3.63%,9.88%
Normalized Net Income,13.46%,11.00%,8.62%,7.43%,15.01%
R&D Expense From Footnotes,8.36%,4.99%,(3.03%),1.93%,1.93%
Foreign Sales,7.33%,8.89%,(1.70%),1.62%,
