Income Statement,Jan 2017,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,8203.1,8914.8,9656.8,9909.0,7132.6,7132.6
Total Revenues,8203.1,8914.8,9656.8,9909.0,7132.6,7132.6
Cost Of Revenues,3832.8,4020.4,4348.5,4520.6,3355.8,3355.8
Gross Profit,4370.3,4894.4,5308.3,5388.4,3776.8,3776.8
Selling General & Admin Expenses,3596.8,4167.3,4397.2,4576.4,3814.2,3814.2
Total Operating Expenses,3596.8,4167.3,4397.2,4576.4,3814.2,3814.2
Operating Income,773.5,727.1,911.1,812.0,(37.4),(37.4)
Interest Expense,(120.9),(128.5),(120.8),(120.0),(125.5),(125.5)
Interest And Investment Income,5.9,6.3,4.7,5.3,4.2,4.2
Net Interest Expenses,(115.0),(122.2),(116.1),(114.7),(121.3),(121.3)
"EBT, Excl. Unusual Items",658.6,615.0,816.3,706.9,(163.3),(163.3)
"EBT, Incl. Unusual Items",674.2,510.2,775.6,444.0,"(1,193.0)","(1,193.0)"
Income Tax Expense,125.5,(25.9),31.0,28.9,(55.5),(55.5)
Earnings From Continuing Operations,548.7,536.1,744.6,415.1,"(1,137.5)","(1,137.5)"
Net Income to Company,548.7,536.1,744.6,415.1,"(1,137.5)","(1,137.5)"
Minority Interest,0.3,1.7,1.8,2.2,1.4,1.4
Net Income,549.0,537.8,746.4,417.3,"(1,136.1)","(1,136.1)"
NI to Common Incl Extra Items,549.0,537.8,746.4,417.3,"(1,136.1)","(1,136.1)"
NI to Common Excl. Extra Items,549.0,537.8,746.4,417.3,"(1,136.1)","(1,136.1)"
Revenue Per Share,$102.28,$114.88,$126.23,$133.54,$100.18,$100.18
Basic EPS,$6.85,$6.93,$9.76,$5.62,($15.96),($15.96)
Basic EPS - Continuing Ops,$6.85,$6.93,$9.76,$5.62,($15.96),($15.96)
Basic Weighted Average Shares Outst.,80.2,77.6,76.5,74.2,71.2,71.2
Diluted EPS,$6.79,$6.84,$9.65,$5.60,($15.96),($15.96)
Diluted EPS - Continuing Ops,$6.79,$6.84,$9.65,$5.60,($15.96),($15.96)
Diluted Weighted Average Shares Outst.,80.9,78.6,77.3,74.6,71.2,71.2
Normalized Basic EPS,$5.14,$4.98,$6.69,$5.98,($1.41),($1.41)
Normalized Diluted EPS,$5.09,$4.91,$6.62,$5.95,($1.41),($1.41)
Dividend Per Share,$0.15,$0.15,$0.15,$0.15,$0.04,$0.04
Payout Ratio,2.22%,2.21%,1.55%,2.71%,NM,NM
EBITDA,1095.3,1052.0,1245.9,1134.9,284.0,284.0
EBITA,820.6,753.9,911.1,851.7,(3.1),(3.1)
EBIT,773.5,727.1,911.1,812.0,(37.4),(37.4)
EBITDAR,1603.1,1608.4,1838.4,1763.7,861.1,861.1
Effective Tax Rate,18.6%,NM,4.0%,6.5%,NM,NM
Normalized Net Income,411.9,386.1,512.0,444.0,(100.7),(100.7)
Interest on Long-Term Debt,,,,2.2,0.4,0.4
Foreign Sales,3976.5,4624.7,5175.5,5634.0,4672.6,4672.6
