Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,7.40%,11.27%,6.67%,(10.52%),(11.43%)
Total Interest Income,6.98%,10.34%,6.11%,(14.08%),(14.34%)
Interest On Deposits,2.37%,39.11%,78.13%,(55.28%),(77.61%)
Total Interest On Borrowings,(18.65%),33.04%,3.95%,(58.57%),(52.45%)
Total Interest Expense,(9.21%),36.11%,42.35%,(56.44%),(69.53%)
Net Interest Income,8.97%,7.70%,1.42%,(6.39%),(4.59%)
Service Charges On Deposits,1.97%,0.46%,0.85%,(14.36%),(18.03%)
Trust Income,6.18%,7.22%,6.51%,5.11%,3.50%
Total Mortgage Banking Activities,(2.64%),(0.93%),27.00%,23.78%,17.77%
Income From Trading Activities,(14.16%),(7.80%),90.63%,(34.67%),(64.29%)
Gain (Loss) on Sale of Invest. & Securities,(29.80%),,(375.53%),-68.56%,-98.53%
Total Other Non Interest Income,1.91%,(4.70%),0.60%,(3.37%),(10.49%)
Total Non Interest Income,1.38%,0.26%,8.50%,3.71%,1.10%
Revenue Before Loan Losses,6.35%,5.26%,3.64%,(3.08%),(2.68%)
Provision For Loan Losses,(11.58%),(21.43%),33.33%,354.55%,29.95%
Total Revenues,7.02%,6.08%,2.96%,(13.63%),(5.00%)
Salaries And Other Employee Benefits,2.59%,6.20%,8.22%,2.52%,0.83%
Amort. of Goodwill & Intang. Assets,(26.39%),(21.82%),(20.52%),(23.71%),(25.51%)
Total Selling General & Admin Expenses,0.16%,6.08%,11.38%,(0.12%),(3.12%)
Total Other Non Interest Expense,15.18%,(10.97%),4.82%,(5.28%),2.62%
Total Non Interest Expense,4.27%,0.41%,6.90%,0.43%,0.46%
"EBT, Excl. Unusual Items",10.97%,13.74%,(1.74%),(31.87%),(12.98%)
Legal Settlements,,,-62.96%,,
"EBT, Incl. Unusual Items",12.90%,7.93%,1.56%,(30.53%),(11.06%)
Income Tax Expense,23.18%,(35.54%),4.74%,(32.64%),(12.16%)
Earnings From Continuing Operations,7.09%,36.20%,0.58%,(29.86%),(10.71%)
Net Income to Company,7.09%,36.20%,0.58%,(29.86%),(10.71%)
Net Income,7.09%,36.20%,0.58%,(29.86%),(10.71%)
Preferred Dividend and Other Adjustments,(11.84%),1.55%,(2.94%),(6.97%),(2.57%)
Net Income to Common Incl Extra Items,8.50%,38.31%,0.73%,(30.84%),(11.09%)
Net Income to Common Excl. Extra Items,8.50%,38.31%,0.73%,(30.84%),(11.09%)
Revenue Per Share,10.26%,12.10%,10.30%,(9.75%),(1.98%)
Basic EPS,11.85%,46.23%,7.91%,(27.74%),(8.26%)
Basic EPS - Continuing Ops,11.85%,46.23%,7.91%,(27.74%),(8.26%)
Basic Weighted Average Shares Outst.,(2.95%),(5.37%),(6.64%),(4.31%),(3.08%)
Diluted EPS,11.85%,46.40%,7.97%,(27.72%),(8.25%)
Diluted EPS - Continuing Ops,11.85%,46.40%,7.97%,(27.72%),(8.25%)
Diluted Weighted Average Shares Outst.,(3.02%),(5.51%),(6.72%),(4.28%),(3.04%)
Normalized Basic EPS,14.32%,20.14%,5.28%,(28.83%),(10.22%)
Normalized Diluted EPS,14.43%,20.38%,5.34%,(28.81%),(10.25%)
Dividend Per Share,7.14%,18.33%,15.49%,7.32%,4.76%
Payout Ratio,(5.37%),(19.26%),5.68%,46.42%,
Effective Tax Rate,9.11%,(40.28%),3.13%,(3.05%),(1.24%)
Normalized Net Income,10.97%,13.74%,(1.74%),(31.87%),(12.98%)
Interest on Long-Term Debt,(18.03%),31.25%,(3.75%),(54.30%),
