Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,2194.7,2295.6,2480.1,2314.3,2191.4,2458.0
Total Revenues,2194.7,2295.6,2480.1,2314.3,2191.4,2458.0
Cost Of Revenues,895.7,845.6,853.9,813.8,758.7,819.4
Gross Profit,1299.0,1450.0,1626.1,1500.5,1432.7,1638.7
Selling General & Admin Expenses,288.9,291.5,322.9,308.6,296.7,312.5
R&D Expenses,467.2,454.0,450.9,435.2,440.2,449.7
Other Operating Expense/(Income),8.6,(22.9),(1.6),0.1,0.9,19.6
Total Operating Expenses,776.8,731.7,776.7,747.0,740.9,785.4
Operating Income,522.2,718.2,849.4,753.5,691.8,853.3
Interest Expense,(32.7),(34.3),(50.2),(43.5),(35.8),(26.7)
Interest And Investment Income,2.9,11.6,38.3,47.8,30.2,5.4
Net Interest Expenses,(29.8),(22.7),(11.9),4.3,(5.6),(21.3)
Other Non Operating Income (Expenses),1.0,7.5,4.3,3.0,(1.4),(1.4)
"EBT, Excl. Unusual Items",493.4,703.1,841.7,760.8,684.8,830.6
"EBT, Incl. Unusual Items",285.1,679.6,824.9,754.4,678.1,821.6
Income Tax Expense,57.6,108.0,357.6,(73.1),23.4,40.8
Earnings From Continuing Operations,227.5,571.6,467.3,827.5,654.7,780.8
Net Income to Company,227.5,571.6,467.3,827.5,654.7,780.8
Net Income,227.5,571.6,467.3,827.5,654.7,780.8
NI to Common Incl Extra Items,227.5,571.6,467.3,827.5,654.7,780.8
NI to Common Excl. Extra Items,227.5,571.6,467.3,827.5,654.7,780.8
Revenue Per Share,$7.70,$8.11,$8.83,$8.42,$8.14,$9.20
Basic EPS,$0.80,$2.02,$1.66,$3.01,$2.43,$2.92
Basic EPS - Continuing Ops,$0.80,$2.02,$1.66,$3.01,$2.43,$2.92
Basic Weighted Average Shares Outst.,285.1,283.1,281.0,275.0,269.3,267.2
Diluted EPS,$0.79,$1.98,$1.64,$2.97,$2.41,$2.90
Diluted EPS - Continuing Ops,$0.79,$1.98,$1.64,$2.97,$2.41,$2.90
Diluted Weighted Average Shares Outst.,289.5,288.0,285.7,278.8,272.0,270.2
Normalized Basic EPS,$1.08,$1.55,$1.87,$1.73,$1.59,$1.94
Normalized Diluted EPS,$1.07,$1.53,$1.84,$1.71,$1.57,$1.92
Dividend Per Share,$1.23,$1.35,$1.66,$1.86,$1.92,$0.48
Payout Ratio,150.36%,65.42%,93.74%,61.10%,78.99%,32.81%
EBITDA,711.8,878.3,994.4,864.2,800.3,962.6
EBITA,589.4,773.9,899.9,778.2,707.7,868.2
EBIT,522.2,718.2,849.4,753.5,691.8,853.3
EBITDAR,721.8,890.3,1004.6,874.4,812.6,
Effective Tax Rate,20.2%,15.9%,43.3%,NM,3.5%,5.0%
Normalized Net Income,308.4,439.4,526.1,475.5,428.0,519.1
Interest on Long-Term Debt,32.7,34.4,52.4,43.5,37.0,
R&D Expense From Footnotes,467.2,454.0,450.9,435.2,440.2,449.7
Foreign Sales,1947.8,2008.9,2173.6,2057.0,1953.8,
