Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(5.33%),4.79%,7.20%,5.00%,0.00%
Total Revenues,(5.33%),4.79%,7.20%,5.00%,0.00%
Fuel & Purchased Power,(29.70%),3.34%,(9.31%),(9.24%),0.00%
Operations And Maintenance,(2.18%),6.96%,14.46%,13.68%,0.00%
Depreciation & Amortization,9.45%,3.83%,5.23%,6.18%,0.00%
Other Operating Expenses,0.67%,15.66%,12.50%,(5.25%),0.00%
Total Operating Expenses,(11.14%),6.14%,3.26%,3.66%,0.00%
Operating Income,25.22%,(0.25%),22.85%,9.46%,0.00%
"Interest Expense, Total",(12.05%),(42.38%),(21.53%),(0.37%),0.00%
Interest and Investment Income,(10.00%),222.22%,16.09%,8.91%,0.00%
Net Interest Expenses,(13.31%),(34.23%),(22.13%),-0.51%,0.00%
Allow. For Equity Funds Used For Const.,44.83%,(41.67%),(4.08%),36.17%,0.00%
Other Non-Operating Inc. (Exp.),580.00%,,,,0.00%
"EBT, Excl. Unusual Items",33.11%,(14.41%),53.17%,22.72%,0.00%
Gain (Loss) on Sale of Assets,(33.33%),"25,550.00%",(87.72%),,0.00%
"EBT, Incl. Unusual Items",(30.83%),(32.68%),160.47%,8.21%,0.00%
Income Tax Expense,141.13%,,,(20.95%),0.00%
Earnings From Continuing Operations,(74.90%),145.93%,113.23%,12.81%,0.00%
Earnings Of Discontinued Operations,,,93.09%,409.64%,0.00%
Net Income to Company,(76.94%),221.43%,109.87%,73.82%,0.00%
Minority Interest,-36.49%,-19.15%,(115.79%),(4.88%),0.00%
Net Income,(81.31%),309.77%,109.44%,78.97%,0.00%
Pref. Dividends and Other Adj.,,,13.60%,18.31%,0.00%
NI to Common Incl Extra Items,(81.31%),260.94%,122.40%,83.16%,0.00%
NI to Common Excl. Extra Items,(79.05%),156.45%,129.89%,13.12%,0.00%
Revenue Per Share,(5.84%),(1.66%),3.41%,0.24%,0.00%
Basic EPS,(81.43%),237.92%,114.34%,74.98%,0.00%
Basic EPS - Continuing Ops,(79.18%),140.84%,121.40%,7.97%,0.00%
Basic Weighted Average Shares Outst.,0.53%,6.57%,3.67%,4.74%,0.00%
Diluted EPS,(81.50%),238.61%,113.16%,76.68%,0.00%
Diluted EPS - Continuing Ops,(79.25%),141.00%,120.70%,9.16%,0.00%
Diluted Weighted Average Shares Outst.,0.46%,6.96%,4.51%,3.62%,0.00%
Normalized Basic EPS,47.66%,(19.23%),42.27%,19.28%,0.00%
Normalized Diluted EPS,47.76%,(19.56%),41.06%,20.65%,0.00%
Dividend Per Share,8.94%,8.81%,8.10%,8.01%,0.00%
Payout Ratio,489.02%,(68.78%),(43.90%),(34.47%),0.00%
EBITDA,16.47%,2.78%,15.35%,8.16%,0.00%
EBITA,25.47%,(0.34%),22.42%,9.42%,0.00%
EBIT,25.22%,(0.25%),22.85%,9.46%,0.00%
EBITDAR,17.05%,3.12%,,,
Effective Tax Rate,248.60%,,,(26.96%),0.00%
Normalized Net Income,48.40%,(13.96%),47.64%,25.03%,0.00%
Interest Capitalized,(34.17%),20.25%,(6.32%),(16.85%),
Interest on Long-Term Debt,,,,9.55%,
Foreign Sales,(49.84%),15.46%,(0.55%),(7.17%),
