Income Statement,Jan 2017,Jan 2018,Jan 2019,Jan 2020,Jan 2021,TTM
Revenues,8437.0,10540.0,13282.0,17098.0,21252.0,21252.0
Total Revenues,8437.0,10540.0,13282.0,17098.0,21252.0,21252.0
Cost Of Revenues,2234.0,2773.0,3451.0,4235.0,5438.0,5438.0
Gross Profit,6203.0,7767.0,9831.0,12863.0,15814.0,15814.0
Selling General & Admin Expenses,4777.0,5760.0,7410.0,9594.0,11761.0,11761.0
R&D Expenses,1208.0,1553.0,1886.0,2766.0,3598.0,3598.0
Total Operating Expenses,5985.0,7313.0,9296.0,12360.0,15359.0,15359.0
Operating Income,218.0,454.0,535.0,503.0,455.0,455.0
Interest Expense,(89.0),,,(131.0),(126.0),(126.0)
Interest And Investment Income,27.0,37.0,,,,
Net Interest Expenses,(62.0),37.0,,(131.0),(126.0),(126.0)
Currency Exchange Gains (Loss),(86.0),15.0,,,,
Other Non Operating Income (Expenses),78.0,(104.0),(94.0),113.0,62.0,62.0
"EBT, Excl. Unusual Items",148.0,402.0,441.0,485.0,391.0,391.0
"EBT, Incl. Unusual Items",179.0,420.0,983.0,706.0,2561.0,2561.0
Income Tax Expense,(144.0),60.0,(127.0),580.0,"(1,511.0)","(1,511.0)"
Earnings From Continuing Operations,323.0,360.0,1110.0,126.0,4072.0,4072.0
Net Income to Company,323.0,360.0,1110.0,126.0,4072.0,4072.0
Net Income,323.0,360.0,1110.0,126.0,4072.0,4072.0
NI to Common Incl Extra Items,323.0,360.0,1110.0,126.0,4072.0,4072.0
NI to Common Excl. Extra Items,323.0,360.0,1110.0,126.0,4072.0,4072.0
Revenue Per Share,$12.26,$14.74,$17.69,$20.62,$23.41,$23.41
Basic EPS,$0.47,$0.50,$1.48,$0.15,$4.48,$4.48
Basic EPS - Continuing Ops,$0.47,$0.50,$1.48,$0.15,$4.48,$4.48
Basic Weighted Average Shares Outst.,688.0,715.0,751.0,829.0,908.0,908.0
Diluted EPS,$0.46,$0.49,$1.43,$0.15,$4.38,$4.38
Diluted EPS - Continuing Ops,$0.46,$0.49,$1.43,$0.15,$4.38,$4.38
Diluted Weighted Average Shares Outst.,700.0,735.0,775.0,850.0,930.0,930.0
Normalized Basic EPS,$0.13,$0.35,$0.37,$0.37,$0.27,$0.27
Normalized Diluted EPS,$0.13,$0.34,$0.36,$0.36,$0.26,$0.26
EBITDA,850.0,1238.0,1517.0,2638.0,3123.0,3123.0
EBITA,444.0,741.0,982.0,1295.0,1377.0,1377.0
EBIT,218.0,454.0,535.0,503.0,455.0,455.0
EBITDAR,1076.0,1523.0,1882.0,3551.0,4331.0,4331.0
Effective Tax Rate,NM,14.3%,NM,82.2%,NM,NM
Normalized Net Income,92.5,251.3,275.6,303.1,244.4,244.4
Interest on Long-Term Debt,50.0,54.0,126.0,130.0,125.0,125.0
R&D Expense From Footnotes,1208.0,1553.0,1886.0,2766.0,3598.0,3598.0
Foreign Sales,2178.0,3223.8,,17098.0,21252.0,21252.0
