Income Statement,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,12.48%,14.54%,7.68%,9.66%,13.23%
Total Revenues,12.48%,14.54%,7.68%,9.66%,13.23%
Cost Of Revenues,31.13%,12.76%,6.36%,7.06%,8.76%
Gross Profit,8.33%,15.02%,8.03%,10.33%,14.40%
Selling General & Admin Expenses,10.50%,16.39%,2.43%,4.10%,6.48%
R&D Expenses,6.09%,19.36%,4.80%,12.50%,12.06%
Total Operating Expenses,6.07%,17.95%,2.33%,7.96%,8.95%
Operating Income,19.79%,1.89%,37.56%,19.50%,37.18%
Interest Expense,(93.66%),(113.71%),-25.30%,-55.91%,-50.90%
Interest And Investment Income,94.91%,(26.49%),28.86%,(48.08%),(64.66%)
Net Interest Expenses,(10.71%),"(16,487.10%)",-53.33%,-67.10%,-2.74%
Currency Exchange Gains (Loss),"2,050.00%",6.05%,0.87%,54.52%,25.36%
Other Non Operating Income (Expenses),178.78%,(70.06%),163.68%,(46.94%),(11.44%)
"EBT, Excl. Unusual Items",26.37%,(6.09%),42.71%,17.38%,34.12%
"EBT, Incl. Unusual Items",16.25%,(5.10%),50.05%,16.98%,43.71%
Income Tax Expense,293.06%,,,,
Earnings From Continuing Operations,(48.82%),216.72%,23.09%,24.62%,49.39%
Net Income to Company,(48.82%),216.72%,23.09%,24.62%,49.39%
Net Income,(48.82%),216.72%,23.09%,24.79%,49.64%
NI to Common Incl Extra Items,(48.82%),216.72%,23.09%,24.79%,49.64%
NI to Common Excl. Extra Items,(48.82%),216.72%,23.09%,24.79%,49.64%
Revenue Per Share,13.62%,15.64%,7.09%,8.76%,12.05%
Basic EPS,(48.43%),218.91%,22.49%,23.82%,48.07%
Basic EPS - Continuing Ops,(48.43%),218.91%,22.49%,23.82%,48.07%
Basic Weighted Average Shares Outst.,(1.03%),(0.94%),0.56%,0.84%,1.06%
Diluted EPS,(49.13%),220.45%,22.34%,23.77%,48.61%
Diluted EPS - Continuing Ops,(49.13%),220.45%,22.34%,23.77%,48.61%
Diluted Weighted Average Shares Outst.,0.10%,(0.96%),0.52%,0.98%,1.13%
Normalized Basic EPS,28.08%,(5.18%),41.74%,16.42%,33.06%
Normalized Diluted EPS,26.25%,(5.21%),41.97%,16.40%,32.96%
EBITDA,14.89%,2.87%,31.52%,17.75%,30.60%
EBITA,16.76%,2.87%,33.15%,17.80%,34.20%
EBIT,19.79%,1.89%,37.56%,19.50%,37.18%
EBITDAR,13.84%,,,,
Effective Tax Rate,238.17%,,,,
Normalized Net Income,26.37%,(6.09%),42.71%,17.63%,34.47%
R&D Expense From Footnotes,3.49%,19.26%,2.46%,11.26%,11.15%
Foreign Sales,12.40%,17.94%,4.44%,13.44%,
