Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,16.41%,18.24%,9.10%,(12.51%),(15.81%)
Total Interest Income,15.33%,17.03%,7.49%,(13.44%),(16.43%)
Interest On Deposits,63.33%,78.00%,47.13%,(55.93%),(69.68%)
Total Interest On Borrowings,28.57%,44.12%,(4.76%),(37.62%),(43.30%)
Total Interest Expense,47.05%,64.12%,28.47%,(51.05%),(62.78%)
Net Interest Income,11.04%,8.60%,1.81%,(0.61%),(1.54%)
Trust Income,8.22%,8.23%,18.13%,0.50%,0.00%
Total Mortgage Banking Activities,(3.57%),40.74%,98.68%,202.98%,120.33%
Gain (Loss) on Sale of Invest. & Securities,0.00%,300.00%,6.25%,(76.47%),(30.00%)
Total Other Non Interest Income,2.35%,(0.55%),7.40%,(11.33%),(6.69%)
Total Non Interest Income,2.47%,4.04%,17.61%,23.55%,21.48%
Revenue Before Loan Losses,8.60%,7.38%,5.92%,6.38%,5.29%
Provision For Loan Losses,(13.01%),1.56%,20.55%,311.20%,(3.52%)
Total Revenues,10.23%,7.72%,5.10%,(13.27%),6.71%
Salaries And Other Employee Benefits,1.60%,7.04%,7.18%,5.28%,3.18%
Occupancy Expense,3.91%,4.39%,0.00%,(0.60%),114.94%
Total Selling General & Admin Expenses,31.41%,8.10%,9.07%,7.38%,(6.69%)
Total Other Non Interest Expense,3.31%,(16.25%),(0.55%),(12.36%),(18.75%)
Total Non Interest Expense,3.64%,4.17%,6.30%,3.74%,2.01%
"EBT, Excl. Unusual Items",24.64%,14.17%,3.11%,(42.34%),17.34%
"EBT, Incl. Unusual Items",24.64%,14.17%,3.11%,(42.34%),17.57%
Income Tax Expense,(46.83%),77.69%,(0.43%),(47.61%),16.28%
Earnings From Continuing Operations,58.09%,4.18%,4.07%,(40.98%),17.89%
Net Income to Company,58.09%,4.18%,4.07%,(40.98%),17.89%
Net Income,58.09%,4.18%,4.07%,(40.98%),17.89%
Preferred Dividend and Other Adjustments,0.00%,107.14%,151.72%,46.58%,35.00%
Net Income to Common Incl Extra Items,58.87%,3.30%,1.54%,(44.70%),16.85%
Net Income to Common Excl. Extra Items,58.87%,3.30%,1.54%,(44.70%),16.85%
Revenue Per Share,14.59%,12.93%,11.87%,(8.67%),10.42%
Basic EPS,65.58%,8.39%,8.22%,(41.77%),20.92%
Basic EPS - Continuing Ops,65.58%,8.39%,8.22%,(41.77%),20.92%
Basic Weighted Average Shares Outst.,(3.82%),(4.65%),(6.08%),(5.04%),(3.37%)
Diluted EPS,64.97%,8.31%,8.24%,(41.73%),20.77%
Diluted EPS - Continuing Ops,64.97%,8.31%,8.24%,(41.73%),20.77%
Diluted Weighted Average Shares Outst.,(3.86%),(4.62%),(6.08%),(5.11%),(3.42%)
Normalized Basic EPS,29.33%,19.72%,9.76%,(39.31%),21.43%
Normalized Diluted EPS,29.65%,19.83%,9.79%,(39.27%),21.50%
Dividend Per Share,39.13%,53.12%,38.78%,14.71%,9.09%
Payout Ratio,(16.64%),38.55%,35.13%,91.30%,
Effective Tax Rate,(57.35%),55.61%,(3.42%),(9.16%),(1.10%)
Normalized Net Income,24.64%,14.17%,3.11%,(42.34%),17.34%
Interest on Long-Term Debt,45.92%,48.95%,(3.76%),(36.59%),
