Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,22.47%,23.70%,25.75%,48.36%,39.39%
Total Interest And Dividend Income,66.67%,33.16%,75.10%,(15.12%),(3.11%)
Other Revenues,3.99%,23.78%,4.24%,28.03%,22.17%
Total Revenues,21.53%,23.75%,24.91%,47.13%,38.44%
Policy Benefits,23.55%,21.68%,27.80%,46.55%,36.44%
Amort. of Goodwill and Intangibles,6.12%,35.26%,22.27%,178.68%,108.36%
Selling General & Admin Expenses,12.05%,44.87%,1.85%,66.92%,45.32%
Other Operating Expenses,40.67%,(0.56%),35.87%,(12.75%),6.43%
Total Operating Expenses,22.90%,23.03%,25.06%,46.67%,36.59%
Operating Income,(9.06%),45.53%,21.01%,59.30%,96.84%
"Interest Expense, Total",(17.51%),(34.51%),(20.12%),(76.70%),(45.64%)
"EBT, Excl. Unusual Items",(13.20%),47.85%,21.19%,56.00%,110.03%
Total Merger & Rel. Restruct. Charges,-91.45%,"(2,005.00%)",-79.81%,(582.35%),-8.82%
Impairment of Goodwill,,,,-96.53%,-96.53%
Gain (Loss) on Sale of Assets,,,,,(88.17%)
Asset Writedown,,,,(425.00%),
Other Unusual Items,,,,(103.33%),-14.86%
"EBT, Incl. Unusual Items",(2.24%),20.63%,30.26%,55.61%,191.78%
Income Tax Expense,(45.58%),45.40%,(0.21%),106.98%,190.31%
Earnings From Continuing Operations,44.03%,10.64%,46.42%,37.05%,192.46%
Net Income to Company,44.03%,10.64%,46.42%,37.05%,192.46%
Minority Interest,"1,900.00%",(70.00%),100.00%,16.67%,77.78%
Net Income,47.33%,8.70%,46.78%,36.87%,191.24%
NI to Common Incl Extra Items,47.33%,8.70%,46.78%,36.87%,191.24%
NI to Common Excl. Extra Items,47.33%,8.70%,46.78%,36.87%,191.24%
Revenue Per Share,12.47%,9.35%,17.89%,6.60%,6.53%
Basic EPS,36.42%,(3.91%),38.30%,(0.69%),124.11%
Basic EPS - Continuing Ops,36.42%,(3.91%),38.30%,(0.69%),124.11%
Basic Weighted Average Shares Outst.,8.06%,13.16%,5.95%,38.03%,29.96%
Diluted EPS,36.84%,(3.42%),38.94%,(0.64%),125.05%
Diluted EPS - Continuing Ops,36.84%,(3.42%),38.94%,(0.64%),125.05%
Diluted Weighted Average Shares Outst.,7.76%,12.76%,5.50%,37.76%,29.76%
Normalized Basic EPS,(17.55%),28.02%,14.79%,12.63%,61.43%
Normalized Diluted EPS,(17.43%),28.22%,15.30%,13.05%,61.67%
EBITDA,(3.34%),43.87%,22.69%,66.58%,90.70%
EBITA,(7.79%),44.54%,21.13%,70.16%,98.34%
EBIT,(9.06%),45.53%,21.01%,59.30%,96.84%
EBITDAR,,,,66.67%,
Effective Tax Rate,(44.33%),20.52%,(23.40%),33.02%,(0.50%)
Normalized Net Income,(11.01%),44.81%,21.61%,55.65%,109.79%
Interest on Long-Term Debt,17.51%,34.51%,20.12%,76.70%,
