Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,22.80%,23.42%,18.30%,12.77%,18.00%
Total Revenues,22.80%,23.42%,18.30%,12.77%,18.00%
Cost Of Revenues,29.73%,30.64%,20.73%,17.85%,20.02%
Gross Profit,18.39%,18.38%,16.42%,8.71%,16.36%
Selling General & Admin Expenses,12.95%,17.85%,18.08%,5.60%,0.20%
R&D Expenses,19.19%,28.84%,21.47%,5.98%,5.33%
Total Operating Expenses,15.72%,22.88%,19.71%,5.78%,2.67%
Operating Income,21.92%,12.73%,11.93%,13.00%,37.42%
Interest Expense,-12.10%,(4.59%),-12.28%,(35.00%),(56.98%)
Interest And Investment Income,7.54%,43.14%,29.23%,(23.16%),(25.13%)
Net Interest Expenses,9.76%,46.63%,31.92%,(25.66%),(28.07%)
Currency Exchange Gains (Loss),-74.53%,-33.88%,,,(561.54%)
Other Non Operating Income (Expenses),43.18%,,-72.85%,(53.57%),
"EBT, Excl. Unusual Items",23.32%,11.06%,15.65%,9.25%,45.40%
"EBT, Incl. Unusual Items",12.60%,28.39%,13.50%,21.34%,57.02%
Income Tax Expense,211.02%,(71.25%),26.45%,47.92%,117.33%
Earnings From Continuing Operations,(34.99%),142.74%,11.74%,17.26%,48.78%
Net Income to Company,(34.99%),142.74%,11.74%,17.26%,48.78%
Net Income,(34.99%),142.74%,11.74%,17.26%,48.78%
NI to Common Incl Extra Items,(34.99%),142.74%,11.74%,17.26%,48.78%
NI to Common Excl. Extra Items,(34.99%),142.74%,11.74%,17.26%,48.78%
Revenue Per Share,21.89%,23.02%,18.74%,14.72%,20.67%
Basic EPS,(35.47%),142.01%,12.13%,19.27%,52.15%
Basic EPS - Continuing Ops,(35.47%),142.01%,12.13%,19.27%,52.15%
Basic Weighted Average Shares Outst.,0.74%,0.32%,(0.37%),(1.70%),(2.21%)
Diluted EPS,(35.45%),142.80%,12.50%,19.23%,53.45%
Diluted EPS - Continuing Ops,(35.45%),142.80%,12.50%,19.23%,53.45%
Diluted Weighted Average Shares Outst.,0.70%,(0.04%),(0.67%),(1.65%),(3.04%)
Normalized Basic EPS,22.39%,10.70%,16.06%,11.15%,48.69%
Normalized Diluted EPS,22.46%,11.10%,16.43%,11.10%,49.96%
EBITDA,20.11%,16.23%,15.64%,14.07%,30.45%
EBITA,21.02%,12.62%,11.41%,12.66%,36.57%
EBIT,21.92%,12.73%,11.93%,13.00%,37.42%
EBITDAR,20.19%,,,14.45%,
Effective Tax Rate,176.16%,(77.61%),11.45%,21.90%,38.41%
Normalized Net Income,23.32%,11.06%,15.65%,9.25%,45.40%
Interest Capitalized,,91.67%,81.52%,30.54%,
R&D Expense From Footnotes,19.19%,28.84%,21.47%,5.98%,5.33%
Foreign Sales,23.34%,25.80%,17.47%,12.45%,
