Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,12274.0,12884.0,14435.0,14357.0,13066.0,13066.0
Total Revenues,12274.0,12884.0,14435.0,14357.0,13066.0,13066.0
Cost Of Revenues,9526.0,10261.0,11702.0,11594.0,11009.0,11009.0
Gross Profit,2748.0,2623.0,2733.0,2763.0,2057.0,2057.0
Selling General & Admin Expenses,942.0,984.0,1011.0,1217.0,1103.0,1103.0
Total Operating Expenses,1059.0,1101.0,1135.0,1355.0,1247.0,1247.0
Operating Income,1689.0,1522.0,1598.0,1408.0,810.0,810.0
Interest Expense,(155.0),(140.0),(141.0),(164.0),(164.0),(164.0)
Interest And Investment Income,1.0,7.0,21.0,13.0,8.0,8.0
Net Interest Expenses,(154.0),(133.0),(120.0),(151.0),(156.0),(156.0)
Other Non Operating Income (Expenses),9.0,8.0,36.0,20.0,6.0,6.0
"EBT, Excl. Unusual Items",1579.0,1428.0,1537.0,1292.0,577.0,577.0
"EBT, Incl. Unusual Items",1035.0,1286.0,1357.0,1141.0,1871.0,1871.0
Income Tax Expense,167.0,223.0,250.0,132.0,49.0,49.0
Earnings From Continuing Operations,868.0,1063.0,1107.0,1009.0,1822.0,1822.0
Earnings Of Discontinued Operations,458.0,365.0,,,,
Net Income to Company,1326.0,1428.0,1107.0,1009.0,1822.0,1822.0
Minority Interest,(69.0),(73.0),(40.0),(19.0),(18.0),(18.0)
Net Income,1257.0,1355.0,1067.0,990.0,1804.0,1804.0
Preferred Dividend and Other Adjustments,,,,,35.0,35.0
NI to Common Incl Extra Items,1257.0,1355.0,1067.0,990.0,1769.0,1769.0
NI to Common Excl. Extra Items,799.0,990.0,1067.0,990.0,1769.0,1769.0
Revenue Per Share,$44.96,$48.23,$54.59,$55.91,$49.60,$49.60
Basic EPS,$4.60,$5.07,$4.04,$3.85,$6.72,$6.72
Basic EPS - Continuing Ops,$2.93,$3.71,$4.04,$3.85,$6.72,$6.72
Basic Weighted Average Shares Outst.,273.0,267.2,264.4,256.8,263.4,263.4
Diluted EPS,$4.59,$5.06,$4.02,$3.85,$6.66,$6.66
Diluted EPS - Continuing Ops,$2.92,$3.70,$4.02,$3.85,$6.66,$6.66
Diluted Weighted Average Shares Outst.,273.7,268.0,265.2,257.4,270.7,270.7
Normalized Basic EPS,$3.36,$3.07,$3.48,$3.07,$1.30,$1.30
Normalized Diluted EPS,$3.35,$3.06,$3.47,$3.06,$1.27,$1.27
Dividend Per Share,$1.16,$1.16,$0.88,$0.88,$0.22,$0.22
Payout Ratio,25.22%,22.88%,21.84%,22.83%,4.88%,4.88%
EBITDA,2177.0,2059.0,2240.0,2114.0,1564.0,1564.0
EBITA,1806.0,1639.0,1722.0,1546.0,954.0,954.0
EBIT,1689.0,1522.0,1598.0,1408.0,810.0,810.0
EBITDAR,2262.0,,2352.0,2242.0,1684.0,1684.0
Effective Tax Rate,16.1%,17.3%,18.4%,11.6%,2.6%,2.6%
Normalized Net Income,917.9,819.5,920.6,788.5,342.6,342.6
Interest on Long-Term Debt,155.0,140.0,141.0,162.0,163.0,163.0
R&D Expense From Footnotes,969.0,1100.0,1443.0,1546.0,1327.0,1327.0
Foreign Sales,9313.0,12884.0,14435.0,14357.0,13066.0,13066.0
