Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,26.39%,17.02%,2.09%,2.57%,4.80%
Total Revenues,26.39%,17.02%,2.09%,2.57%,4.80%
Cost Of Revenues,39.27%,22.39%,(2.48%),(1.88%),1.53%
Gross Profit,13.47%,10.42%,8.32%,8.04%,8.72%
Selling General & Admin Expenses,17.36%,5.70%,5.02%,3.12%,2.75%
Other Operating Expense/(Income),(64.13%),"1,044.81%",(86.95%),61.30%,52.03%
Total Operating Expenses,20.79%,10.89%,1.72%,3.20%,2.85%
Operating Income,(3.58%),9.03%,27.93%,19.49%,22.01%
Interest Expense,(71.01%),(39.17%),-4.75%,-2.55%,-2.06%
Interest And Investment Income,69.94%,(41.36%),298.95%,(47.23%),(47.51%)
Net Interest Expenses,(71.08%),(44.44%),-12.82%,(2.89%),(3.59%)
Currency Exchange Gains (Loss),-93.18%,"(1,400.00%)",(162.67%),-63.45%,-77.43%
Other Non Operating Income (Expenses),34.71%,(59.60%),50.00%,(46.67%),
"EBT, Excl. Unusual Items",(9.61%),2.17%,36.97%,22.59%,24.76%
"EBT, Incl. Unusual Items",(7.89%),(7.46%),45.75%,27.12%,27.02%
Income Tax Expense,,,75.50%,10.96%,13.16%
Earnings From Continuing Operations,56.22%,(37.34%),39.02%,31.73%,30.94%
Net Income to Company,52.55%,(35.84%),39.02%,31.73%,30.94%
Net Income,52.55%,(35.84%),39.02%,31.73%,30.94%
NI to Common Incl Extra Items,52.55%,(35.84%),39.02%,31.73%,30.94%
NI to Common Excl. Extra Items,56.22%,(37.34%),39.02%,31.73%,30.94%
Revenue Per Share,24.93%,16.91%,3.42%,4.13%,6.87%
Basic EPS,50.83%,(35.90%),40.97%,33.65%,33.53%
Basic EPS - Continuing Ops,54.47%,(37.41%),40.97%,33.65%,33.53%
Basic Weighted Average Shares Outst.,1.17%,0.09%,(1.28%),(1.50%),(1.94%)
Diluted EPS,51.68%,(35.91%),41.30%,33.82%,33.84%
Diluted EPS - Continuing Ops,55.33%,(37.36%),41.30%,33.82%,33.84%
Diluted Weighted Average Shares Outst.,0.46%,0.06%,(1.62%),(1.61%),(2.11%)
Normalized Basic EPS,(10.74%),2.12%,38.75%,24.45%,27.23%
Normalized Diluted EPS,(9.97%),2.14%,39.19%,24.52%,27.45%
Dividend Per Share,1.19%,1.48%,31.02%,18.32%,19.87%
Payout Ratio,(32.99%),57.77%,(6.24%),(11.96%),
EBITDA,11.68%,11.75%,20.31%,15.93%,18.10%
EBITA,6.53%,13.85%,23.63%,17.26%,8.51%
EBIT,(3.58%),9.03%,27.93%,19.49%,22.01%
EBITDAR,14.25%,12.88%,14.45%,13.95%,
Effective Tax Rate,,,20.41%,(12.72%),(10.91%)
Normalized Net Income,(9.61%),2.17%,36.97%,22.59%,24.76%
Interest on Long-Term Debt,240.89%,33.29%,(6.35%),(0.25%),
R&D Expense From Footnotes,0.79%,(11.28%),98.65%,(5.82%),(5.82%)
