Income Statement,Oct 2017,Nov 2018,Nov 2019,Oct 2020,TTM
Revenues,53.34%,18.65%,(3.75%),(6.48%),1.81%
Total Revenues,53.34%,18.65%,(3.75%),(6.48%),1.81%
Cost Of Revenues,43.97%,14.82%,0.15%,(3.27%),2.02%
Gross Profit,58.36%,20.51%,(5.57%),(8.05%),1.71%
Selling General & Admin Expenses,39.65%,8.10%,(6.99%),(1.06%),(10.00%)
R&D Expenses,48.07%,20.34%,(2.98%),(7.06%),(1.68%)
Total Operating Expenses,61.12%,19.93%,(3.63%),(3.91%),(3.87%)
Operating Income,55.22%,21.20%,(7.83%),(13.12%),9.36%
Interest Expense,(182.61%),(1.10%),-9.67%,-15.61%,-14.69%
Interest And Investment Income,42.94%,(69.07%),9.02%,(57.91%),(72.85%)
Net Interest Expenses,(226.50%),(10.75%),-10.38%,-13.64%,-12.06%
Other Non Operating Income (Expenses),,,(62.65%),"1,004.88%",
"EBT, Excl. Unusual Items",42.89%,23.02%,(7.49%),(12.81%),12.80%
"EBT, Incl. Unusual Items",(2.32%),77.09%,(10.24%),(11.72%),16.01%
Income Tax Expense,35.81%,14.66%,(17.27%),(25.96%),16.47%
Earnings From Continuing Operations,(6.53%),87.11%,(9.55%),(10.44%),15.97%
Net Income to Company,(6.53%),87.11%,(9.55%),(10.44%),15.97%
Net Income,(6.53%),87.11%,(9.55%),(10.44%),15.97%
Preferred Dividend and Other Adjustments,,163.44%,(45.35%),,
NI to Common Incl Extra Items,(6.79%),86.90%,(9.41%),(10.22%),16.18%
NI to Common Excl. Extra Items,(6.79%),86.90%,(9.41%),(10.22%),16.18%
Revenue Per Share,36.70%,10.92%,(3.39%),(6.35%),1.85%
Basic EPS,(16.89%),74.67%,(9.04%),(10.01%),16.23%
Basic EPS - Continuing Ops,(16.89%),74.67%,(9.04%),(10.01%),16.23%
Basic Weighted Average Shares Outst.,12.19%,6.95%,(0.35%),(0.14%),(0.04%)
Diluted EPS,(17.03%),74.67%,(8.75%),(10.14%),16.00%
Diluted EPS - Continuing Ops,(17.03%),74.67%,(8.75%),(10.14%),16.00%
Diluted Weighted Average Shares Outst.,12.22%,6.98%,(0.55%),(0.24%),(0.17%)
Normalized Basic EPS,27.17%,14.93%,(7.29%),(12.73%),12.84%
Normalized Diluted EPS,27.61%,14.92%,(6.93%),(12.54%),12.99%
Dividend Per Share,7.14%,6.67%,12.50%,14.81%,13.84%
Payout Ratio,25.52%,(37.57%),22.22%,27.26%,(1.12%)
EBITDA,75.87%,25.34%,(5.12%),(9.07%),5.96%
EBITA,79.62%,26.11%,(6.06%),(9.69%),7.17%
EBIT,55.22%,21.20%,(7.83%),(13.12%),9.36%
EBITDAR,72.50%,,,,
Effective Tax Rate,39.09%,(35.25%),(7.82%),(16.14%),0.40%
Normalized Net Income,42.89%,23.02%,(7.49%),(12.81%),12.80%
Interest on Long-Term Debt,,,(9.67%),(15.61%),
R&D Expense From Footnotes,48.07%,20.34%,(1.76%),(8.22%),(2.93%)
Foreign Sales,47.79%,25.89%,0.57%,(6.41%),
