Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,14.93%,11.40%,2.05%,6.55%,0.00%
Other Revenue,34.99%,27.96%,(7.97%),(23.83%),0.00%
Total Revenues,15.18%,11.65%,1.88%,6.08%,0.00%
Property Expenses,14.87%,5.89%,1.79%,0.47%,0.00%
Selling General & Admin Exp.,17.22%,15.10%,(0.38%),6.61%,0.00%
Depreciation & Amortization,12.47%,3.93%,(0.27%),5.84%,0.00%
Other Operating Expenses,,(43.55%),(2.86%),0.00%,0.00%
Total Operating Expenses,14.60%,6.39%,0.66%,3.44%,0.00%
Operating Income,16.34%,21.98%,3.97%,10.47%,0.00%
Total Interest Expense,(4.36%),(10.14%),-1.38%,-2.54%,0.00%
Interest and Investment Income,22.55%,18.40%,(14.44%),(15.17%),0.00%
Net Interest Expenses,(3.35%),(9.60%),-0.45%,-1.77%,0.00%
Other Non Operating Income,308.33%,477.55%,(59.36%),,0.00%
"EBT, Excl. Unusual Items",30.89%,26.59%,5.33%,2.56%,0.00%
Gain (Loss) on Sale of Assets,(30.68%),(160.98%),-47.31%,-61.64%,0.00%
Asset Writedown,(641.75%),(241.30%),-86.94%,(136.52%),0.00%
Other Unusual Items,,-95.30%,(175.76%),(509.89%),0.00%
"EBT, Incl. Unusual Items",11.56%,(8.08%),65.98%,(4.97%),0.00%
Income Tax Expense,(80.26%),,-99.82%,,0.00%
Earnings From Continuing Operations,26.28%,3.21%,51.55%,(11.74%),0.00%
Net Income to Company,26.28%,3.21%,51.55%,(11.74%),0.00%
Minority Interest,,,(1.77%),-96.88%,0.00%
Net Income,29.54%,(0.20%),52.69%,(10.45%),0.00%
Pref. Dividends and Other Adj.,(18.39%),(89.24%),,,
NI to Common Incl Extra Items,35.58%,6.56%,53.85%,(10.45%),0.00%
NI to Common Excl. Extra Items,35.58%,6.56%,53.85%,(10.45%),0.00%
Revenue Per Share,14.35%,8.77%,1.29%,5.75%,0.00%
Basic EPS,34.46%,3.76%,52.97%,(10.76%),0.00%
Basic EPS - Continuing Ops,34.46%,3.76%,52.97%,(10.76%),0.00%
Basic Weighted Average Shares Outst.,0.71%,2.67%,0.62%,0.30%,0.00%
Diluted EPS,34.85%,3.75%,53.07%,(10.61%),0.00%
Diluted EPS - Continuing Ops,34.85%,3.75%,53.07%,(10.61%),0.00%
Diluted Weighted Average Shares Outst.,0.56%,2.61%,0.58%,0.13%,0.00%
Normalized Basic EPS,34.03%,18.98%,4.85%,4.63%,0.00%
Normalized Diluted EPS,34.49%,19.10%,4.85%,4.78%,0.00%
Dividend Per Share,20.74%,20.23%,20.00%,19.84%,0.00%
Payout Ratio,(9.50%),15.52%,(21.79%),34.32%,0.00%
FFO,23.24%,,,0.55%,0.00%
FFO Payout Ratio %,(1.74%),,,19.63%,0.00%
AFFO,16.52%,,,7.60%,
Funds Available for Distribution,16.52%,,,7.60%,
EBITDA,14.64%,14.16%,2.30%,8.69%,0.00%
EBITA,18.86%,16.43%,2.24%,10.30%,0.00%
EBIT,16.34%,21.98%,3.97%,10.47%,0.00%
EBITDAR,,,,6.52%,
Effective Tax Rate,(82.30%),,,,0.00%
Normalized Net Income,35.20%,22.05%,5.41%,4.79%,0.00%
Interest on Long-Term Debt,4.36%,10.13%,(1.37%),(2.54%),
Foreign Sales,26.34%,17.99%,(6.20%),4.91%,
