Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7.04%,10.77%,17.48%,34.86%,28.81%
Other Revenues,(7.30%),(6.91%),(13.39%),(12.36%),(11.79%)
Total Revenues,6.99%,10.71%,17.40%,34.77%,28.74%
Cost Of Revenues,7.43%,8.68%,18.72%,20.97%,18.34%
Gross Profit,6.79%,11.63%,16.82%,40.93%,33.28%
Selling General & Admin Expenses,13.40%,28.26%,13.19%,13.95%,11.19%
Depreciation & Amortization,8.05%,19.75%,16.36%,34.03%,37.67%
Total Operating Expenses,11.91%,25.97%,14.00%,19.21%,18.36%
Operating Income,5.07%,6.50%,18.02%,49.81%,38.95%
Interest Expense,,,,,(16.73%)
Interest And Investment Income,69.35%,68.89%,31.92%,(69.66%),(82.51%)
Net Interest Expenses,69.35%,68.89%,31.92%,(83.83%),
Other Non Operating Income (Expenses),(181.92%),-58.39%,(149.34%),(24.19%),-6.53%
"EBT, Excl. Unusual Items",5.31%,8.09%,18.04%,45.77%,35.83%
"EBT, Incl. Unusual Items",5.31%,8.09%,18.04%,45.43%,35.42%
Income Tax Expense,(17.96%),(15.73%),16.11%,42.76%,40.08%
Earnings From Continuing Operations,17.37%,16.72%,18.54%,46.11%,34.25%
Net Income to Company,17.37%,16.72%,18.54%,46.11%,34.25%
Net Income,17.37%,16.72%,18.54%,46.11%,34.25%
NI to Common Incl Extra Items,17.37%,16.72%,18.54%,46.11%,34.25%
NI to Common Excl. Extra Items,17.37%,16.72%,18.54%,46.11%,34.25%
Revenue Per Share,6.94%,10.45%,16.96%,33.76%,27.87%
Basic EPS,17.46%,16.34%,18.07%,44.91%,33.35%
Basic EPS - Continuing Ops,17.46%,16.34%,18.07%,44.91%,33.35%
Basic Weighted Average Shares Outst.,0.05%,0.25%,0.34%,0.74%,0.68%
Diluted EPS,16.47%,17.48%,18.16%,45.37%,33.98%
Diluted EPS - Continuing Ops,16.47%,17.48%,18.16%,45.37%,33.98%
Diluted Weighted Average Shares Outst.,0.79%,(0.48%),0.27%,0.50%,0.39%
Normalized Basic EPS,5.26%,7.84%,17.58%,44.65%,34.91%
Normalized Diluted EPS,4.58%,8.45%,17.75%,45.02%,35.31%
Dividend Per Share,26.92%,27.27%,21.43%,17.65%,15.49%
Payout Ratio,8.20%,9.42%,3.00%,(18.68%),
EBITDA,5.32%,7.66%,17.85%,46.48%,36.84%
EBITA,4.89%,6.48%,18.17%,50.88%,38.26%
EBIT,5.07%,6.50%,18.02%,49.81%,38.95%
EBITDAR,5.89%,11.03%,15.83%,45.24%,
Effective Tax Rate,(22.10%),(22.03%),(1.63%),(1.82%),3.44%
Normalized Net Income,5.31%,8.09%,18.04%,45.77%,35.83%
Foreign Sales,9.05%,620.66%,17.40%,34.77%,
