Income Statement,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6.17%,(1.62%),(6.19%),0.00%
Total Revenues,6.17%,(1.62%),(6.19%),0.00%
Cost Of Revenues,5.79%,(1.17%),(6.28%),0.00%
Gross Profit,7.11%,(2.68%),(5.98%),0.00%
Selling General & Admin Expenses,3.99%,(0.52%),10.84%,0.00%
R&D Expenses,9.89%,0.25%,4.49%,0.00%
Other Operating Expense/(Income),-12.10%,-23.19%,,0.00%
Total Operating Expenses,5.79%,0.73%,15.11%,0.00%
Operating Income,8.40%,(5.93%),(27.56%),0.00%
Interest Expense,-61.64%,-10.71%,(297.33%),0.00%
Interest And Investment Income,16.35%,(15.70%),(90.20%),0.00%
Net Interest Expenses,,(27.03%),,0.00%
"EBT, Excl. Unusual Items",13.69%,(5.25%),(36.74%),0.00%
"EBT, Incl. Unusual Items",25.80%,(30.45%),6.85%,0.00%
Income Tax Expense,(39.96%),(51.82%),64.22%,0.00%
Earnings From Continuing Operations,118.55%,(22.17%),(6.91%),0.00%
Net Income to Company,118.55%,(22.17%),(6.91%),0.00%
Minority Interest,-12.50%,(11.43%),-38.46%,0.00%
Net Income,122.82%,(22.60%),(6.33%),0.00%
NI to Common Incl Extra Items,122.82%,(22.60%),(6.33%),0.00%
NI to Common Excl. Extra Items,122.82%,(22.60%),(6.33%),0.00%
Revenue Per Share,,(1.64%),(6.21%),0.00%
Basic EPS,,(22.69%),(6.26%),0.00%
Basic EPS - Continuing Ops,,(22.69%),(6.26%),0.00%
Basic Weighted Average Shares Outst.,,0.00%,0.03%,0.00%
Diluted EPS,,(22.78%),(7.79%),0.00%
Diluted EPS - Continuing Ops,,(22.78%),(7.79%),0.00%
Diluted Weighted Average Shares Outst.,,0.00%,1.62%,0.00%
Normalized Basic EPS,,(5.43%),(36.72%),0.00%
Normalized Diluted EPS,,(5.43%),(37.70%),0.00%
Dividend Per Share,,,,75.00%
EBITDA,6.86%,(5.96%),(24.48%),0.00%
EBITA,7.60%,(6.33%),(26.92%),0.00%
EBIT,8.40%,(5.93%),(27.56%),0.00%
EBITDAR,6.60%,(4.51%),(23.20%),
Effective Tax Rate,(52.27%),(30.72%),53.68%,0.00%
Normalized Net Income,14.31%,(5.56%),(36.70%),0.00%
Interest on Long-Term Debt,(61.64%),(10.71%),297.33%,
R&D Expense From Footnotes,9.89%,0.25%,4.49%,0.00%
Foreign Sales,4.06%,(5.11%),(7.36%),
