Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,35.27%,24.30%,(1.29%),(36.04%),0.00%
Total Revenues,35.27%,24.30%,(1.29%),(36.04%),0.00%
Cost Of Revenues,33.29%,21.39%,(1.11%),(30.67%),0.00%
Gross Profit,53.34%,47.40%,(2.46%),(71.67%),0.00%
Selling General & Admin Expenses,114.26%,20.29%,15.40%,(5.88%),0.00%
Depreciation & Amortization,12.92%,6.68%,16.60%,2.15%,0.00%
Total Operating Expenses,36.46%,11.64%,16.13%,(0.98%),0.00%
Operating Income,67.40%,71.69%,(10.67%),,0.00%
Interest Expense,(62.89%),(11.71%),(9.10%),-11.72%,0.00%
Interest And Investment Income,49.98%,352.14%,31.06%,(65.52%),0.00%
Net Interest Expenses,(63.36%),(0.54%),(5.86%),-1.89%,0.00%
Currency Exchange Gains (Loss),,(85.06%),(12.07%),(59.61%),0.00%
Other Non Operating Income (Expenses),,,,124.25%,0.00%
"EBT, Excl. Unusual Items",76.75%,71.31%,(11.76%),,0.00%
"EBT, Incl. Unusual Items",,75.46%,(23.15%),,0.00%
Income Tax Expense,,,(13.85%),,0.00%
Earnings From Continuing Operations,,33.59%,(25.90%),,0.00%
Net Income to Company,,33.59%,(25.90%),,0.00%
Minority Interest,(9.12%),(4.51%),(26.12%),-13.42%,0.00%
Net Income,,36.33%,(29.65%),,0.00%
Preferred Dividend and Other Adjustments,403.19%,(26.41%),(72.16%),75.15%,0.00%
NI to Common Incl Extra Items,,36.72%,(29.51%),,0.00%
NI to Common Excl. Extra Items,,36.72%,(29.51%),,0.00%
Revenue Per Share,35.21%,25.13%,3.89%,(34.35%),0.00%
Basic EPS,,37.72%,(25.78%),,0.00%
Basic EPS - Continuing Ops,,37.72%,(25.78%),,0.00%
Basic Weighted Average Shares Outst.,0.04%,(0.66%),(4.98%),(2.59%),0.00%
Diluted EPS,,36.95%,(25.53%),,0.00%
Diluted EPS - Continuing Ops,,36.95%,(25.53%),,0.00%
Diluted Weighted Average Shares Outst.,0.62%,(0.30%),(5.25%),(3.23%),0.00%
Normalized Basic EPS,95.28%,83.30%,(10.66%),,0.00%
Normalized Diluted EPS,94.15%,82.26%,(10.53%),,0.00%
Dividend Per Share,0.00%,0.00%,1.52%,4.48%,0.00%
Payout Ratio,,(27.25%),37.06%,,0.00%
EBITDA,51.61%,57.48%,(6.76%),(89.92%),0.00%
EBITA,68.09%,71.79%,(9.52%),,0.00%
EBIT,67.40%,71.69%,(10.67%),,0.00%
EBITDAR,46.61%,,,(84.08%),
Effective Tax Rate,,,12.10%,21.67%,0.00%
Normalized Net Income,95.86%,81.83%,(15.18%),,0.00%
Interest Capitalized,(37.50%),(4.00%),(47.92%),64.00%,
Interest on Long-Term Debt,55.87%,8.93%,7.09%,(8.09%),
Foreign Sales,,10.09%,8.17%,(12.37%),
