Income Statement,Feb 2017,Feb 2018,Feb 2019,Feb 2020,Feb 2021,TTM
Revenues,15875.1,17120.2,18173.1,20320.0,18950.1,18950.1
Other Revenues,762.0,856.6,972.9,1104.1,1142.0,1142.0
Total Revenues,16637.1,17976.8,19146.0,21424.1,20092.1,20092.1
Cost Of Revenues,14084.8,15226.8,16226.7,18245.7,17150.2,17150.2
Gross Profit,2552.3,2750.0,2919.3,3178.4,2941.9,2941.9
Selling General & Admin Expenses,1488.5,1617.1,1730.3,1940.1,1898.8,1898.8
Other Operating Expense/(Income),,(0.1),(0.1),(0.1),(0.1),(0.1)
Total Operating Expenses,1488.5,1617.1,1730.3,1940.1,1898.8,1898.8
Operating Income,1063.8,1133.0,1189.0,1238.3,1043.2,1043.2
Interest Expense,(56.4),(70.7),(75.8),(83.0),(86.2),(86.2)
Net Interest Expenses,(56.4),(70.7),(75.8),(83.0),(86.2),(86.2)
Other Non Operating Income (Expenses),(1.0),1.4,(0.4),5.7,8.3,8.3
"EBT, Excl. Unusual Items",1006.4,1063.6,1112.8,1161.0,965.3,965.3
"EBT, Incl. Unusual Items",1006.4,1063.6,1112.8,1161.0,965.3,965.3
Income Tax Expense,379.4,399.5,270.4,272.6,218.3,218.3
Earnings From Continuing Operations,627.0,664.1,842.4,888.4,746.9,746.9
Net Income to Company,627.0,664.1,842.4,888.4,746.9,746.9
Net Income,627.0,664.1,842.4,888.4,746.9,746.9
NI to Common Incl Extra Items,627.0,664.1,842.4,888.4,746.9,746.9
NI to Common Excl. Extra Items,627.0,664.1,842.4,888.4,746.9,746.9
Revenue Per Share,$87.41,$98.42,$109.74,$129.97,$123.13,$123.13
Basic EPS,$3.29,$3.64,$4.83,$5.39,$4.58,$4.58
Basic EPS - Continuing Ops,$3.29,$3.64,$4.83,$5.39,$4.58,$4.58
Basic Weighted Average Shares Outst.,190.3,182.7,174.5,164.8,163.2,163.2
Diluted EPS,$3.26,$3.60,$4.79,$5.33,$4.52,$4.52
Diluted EPS - Continuing Ops,$3.26,$3.60,$4.79,$5.33,$4.52,$4.52
Diluted Weighted Average Shares Outst.,192.2,184.5,175.9,166.8,165.1,165.1
Normalized Basic EPS,$3.30,$3.64,$3.99,$4.40,$3.70,$3.70
Normalized Diluted EPS,$3.27,$3.60,$3.95,$4.35,$3.65,$3.65
EBITDA,1232.6,1312.9,1371.3,1454.1,1285.3,1285.3
EBITA,1063.8,1133.0,1189.0,1238.3,1043.2,1043.2
EBIT,1063.8,1133.0,1189.0,1238.3,1043.2,1043.2
EBITDAR,1533.4,1650.2,1730.4,1847.5,1684.4,1684.4
Effective Tax Rate,37.7%,37.6%,24.3%,23.5%,22.6%,22.6%
Normalized Net Income,629.0,664.8,695.5,725.6,603.3,603.3
Interest Capitalized,11.2,6.9,6.4,7.0,3.3,3.3
Interest on Long-Term Debt,,,6.4,14.7,14.0,14.0
