Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,121546.0,129976.0,136809.0,145534.0,152922.0,156452.0
Total Revenues,121546.0,129976.0,136809.0,145534.0,152922.0,156452.0
Cost Of Revenues,115003.0,123432.0,129628.0,138700.0,146054.0,149486.0
Gross Profit,6543.0,6544.0,7181.0,6834.0,6868.0,6966.0
Selling General & Admin Expenses,3648.0,3775.0,4596.0,4480.0,4572.0,4586.0
Total Operating Expenses,4123.0,4253.0,5196.0,5026.0,5089.0,5072.0
Operating Income,2420.0,2291.0,1985.0,1808.0,1779.0,1894.0
Interest Expense,(178.0),(201.0),(329.0),(294.0),(238.0),(200.0)
Net Interest Expenses,(178.0),(201.0),(329.0),(294.0),(238.0),(200.0)
Currency Exchange Gains (Loss),(17.0),(5.0),(5.0),(13.0),(11.0),(9.0)
Other Non Operating Income (Expenses),12.0,10.0,(18.0),(2.0),12.0,31.0
"EBT, Excl. Unusual Items",2237.0,2095.0,1633.0,1499.0,1542.0,1716.0
"EBT, Incl. Unusual Items",2276.0,1924.0,(228.0),1751.0,"(3,772.0)",1057.0
Income Tax Expense,845.0,630.0,(487.0),386.0,(79.0),(328.0)
Earnings From Continuing Operations,1431.0,1294.0,259.0,1365.0,"(3,693.0)",1385.0
Net Income to Company,1431.0,1294.0,259.0,1365.0,"(3,693.0)",1385.0
Minority Interest,(4.0),(6.0),(3.0),(2.0),(3.0),(3.0)
Net Income,1427.0,1288.0,256.0,1363.0,"(3,696.0)",1382.0
NI to Common Incl Extra Items,1427.0,1288.0,256.0,1363.0,"(3,696.0)",1382.0
NI to Common Excl. Extra Items,1427.0,1288.0,256.0,1363.0,"(3,696.0)",1382.0
Revenue Per Share,$371.70,$410.02,$437.09,$485.11,$521.92,$534.88
Basic EPS,$4.36,$4.06,$0.82,$4.54,($12.61),$4.72
Basic EPS - Continuing Ops,$4.36,$4.06,$0.82,$4.54,($12.61),$4.72
Basic Weighted Average Shares Outst.,327.0,317.0,313.0,300.0,293.0,292.5
Diluted EPS,$4.32,$4.03,$0.81,$4.53,($12.61),$4.71
Diluted EPS - Continuing Ops,$4.32,$4.03,$0.81,$4.53,($12.61),$4.71
Diluted Weighted Average Shares Outst.,330.0,320.0,315.0,301.0,293.0,293.5
Normalized Basic EPS,$4.26,$4.11,$3.25,$3.12,$3.28,$3.66
Normalized Diluted EPS,$4.22,$4.07,$3.23,$3.11,$3.28,$3.64
Dividend Per Share,$1.61,$1.81,$1.86,$1.91,$1.93,$1.94
Payout Ratio,35.88%,44.80%,226.95%,42.33%,NM,41.32%
EBITDA,3061.0,3008.0,3017.0,2808.0,2692.0,2747.0
EBITA,2775.0,2686.0,2559.0,2339.0,2291.0,2375.0
EBIT,2420.0,2291.0,1985.0,1808.0,1779.0,1894.0
EBITDAR,3187.0,3167.0,3189.0,2961.0,2843.0,
Effective Tax Rate,37.1%,32.7%,NM,22.0%,NM,NM
Normalized Net Income,1394.1,1303.4,1017.6,934.9,960.8,1069.5
Interest Capitalized,6.0,,,,,
Foreign Sales,4682.0,4970.0,4283.0,4071.0,4232.0,
