Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5.89%,53.54%,8.23%,(3.95%),0.00%
Other Revenues,3.82%,53.68%,(47.11%),(16.23%),0.00%
Total Revenues,5.79%,53.54%,5.60%,(4.24%),0.00%
Cost Of Revenues,10.86%,49.01%,(4.04%),1.60%,0.00%
Gross Profit,2.88%,56.34%,11.28%,(7.21%),0.00%
Selling General & Admin Expenses,(0.06%),48.61%,11.20%,(2.69%),0.00%
Depreciation & Amortization,2.48%,323.64%,(3.65%),0.89%,0.00%
Total Operating Expenses,0.55%,93.56%,5.89%,(1.52%),0.00%
Operating Income,5.09%,22.65%,18.98%,(14.44%),0.00%
Interest Expense,(29.75%),(62.23%),-3.10%,-4.03%,0.00%
Interest And Investment Income,,(28.57%),46.67%,(54.55%),0.00%
Net Interest Expenses,(23.80%),(66.59%),-4.12%,-2.44%,0.00%
Currency Exchange Gains (Loss),,-35.96%,-98.25%,"(4,900.00%)",0.00%
Other Non Operating Income (Expenses),,,,,0.00%
"EBT, Excl. Unusual Items",(17.24%),26.05%,35.65%,(23.78%),0.00%
"EBT, Incl. Unusual Items",,,124.46%,(24.67%),0.00%
Income Tax Expense,(61.15%),93.75%,(76.25%),360.49%,0.00%
Earnings From Continuing Operations,,,224.96%,(38.77%),0.00%
Net Income to Company,,,224.96%,(38.77%),0.00%
Minority Interest,0.00%,(262.50%),(65.52%),-5.56%,0.00%
Net Income,,,248.32%,(41.08%),0.00%
Preferred Dividend and Other Adjustments,,,244.62%,(42.86%),0.00%
NI to Common Incl Extra Items,,,248.77%,(40.87%),0.00%
NI to Common Excl. Extra Items,,,248.77%,(40.87%),0.00%
Revenue Per Share,13.47%,25.05%,0.54%,2.67%,0.00%
Basic EPS,,,232.51%,(36.61%),0.00%
Basic EPS - Continuing Ops,,,232.51%,(36.61%),0.00%
Basic Weighted Average Shares Outst.,(6.78%),22.79%,5.05%,(6.72%),0.00%
Diluted EPS,,,239.32%,(42.78%),0.00%
Diluted EPS - Continuing Ops,,,239.32%,(42.78%),0.00%
Diluted Weighted Average Shares Outst.,(32.91%),60.78%,2.86%,(7.06%),0.00%
Normalized Basic EPS,(11.77%),(2.56%),27.11%,(20.22%),0.00%
Normalized Diluted EPS,22.81%,(25.58%),29.99%,(19.71%),0.00%
EBITDA,4.75%,61.45%,11.32%,(9.95%),0.00%
EBITA,4.56%,63.28%,10.65%,(10.79%),0.00%
EBIT,5.09%,22.65%,18.98%,(14.44%),0.00%
EBITDAR,4.72%,61.44%,8.92%,(9.67%),
Effective Tax Rate,,,(89.42%),511.49%,0.00%
Normalized Net Income,(17.61%),19.81%,33.27%,(25.58%),0.00%
Interest on Long-Term Debt,34.56%,53.47%,(7.13%),(4.28%),
Foreign Sales,7.36%,24.90%,(3.53%),(8.67%),
