Income Statement,May 2016,May 2017,May 2018,May 2019,May 2020,TTM
Revenues,50365.0,60319.0,65450.0,69693.0,69217.0,78752.0
Total Revenues,50365.0,60319.0,65450.0,69693.0,69217.0,78752.0
Cost Of Revenues,35908.0,43535.0,47445.0,54764.0,52380.0,58851.0
Gross Profit,14457.0,16784.0,18005.0,14929.0,16837.0,19901.0
Selling General & Admin Expenses,417.0,458.0,442.0,468.0,427.0,427.0
Depreciation & Amortization,2631.0,2995.0,3095.0,3353.0,3615.0,3745.0
Other Operating Expense/(Income),6509.0,8233.0,9008.0,9527.0,10065.0,10888.0
Total Operating Expenses,9557.0,11686.0,12545.0,13348.0,14107.0,15060.0
Operating Income,4900.0,5098.0,5460.0,1581.0,2730.0,4841.0
Interest Expense,(336.0),(512.0),(558.0),(588.0),(672.0),(784.0)
Interest And Investment Income,21.0,33.0,48.0,59.0,55.0,55.0
Net Interest Expenses,(315.0),(479.0),(510.0),(529.0),(617.0),(729.0)
Other Non Operating Income (Expenses),"(1,520.0)",21.0,(7.0),(31.0),(9.0),9.0
"EBT, Excl. Unusual Items",3065.0,4640.0,4943.0,1021.0,2104.0,4121.0
"EBT, Incl. Unusual Items",2740.0,4579.0,4353.0,655.0,1669.0,3742.0
Income Tax Expense,920.0,1582.0,(219.0),115.0,383.0,713.0
Earnings From Continuing Operations,1820.0,2997.0,4572.0,540.0,1286.0,3029.0
Net Income to Company,1820.0,2997.0,4572.0,540.0,1286.0,3029.0
Net Income,1820.0,2997.0,4572.0,540.0,1286.0,3029.0
Preferred Dividend and Other Adjustments,2.0,4.0,6.0,1.0,2.0,6.0
NI to Common Incl Extra Items,1818.0,2993.0,4566.0,539.0,1284.0,3023.0
NI to Common Excl. Extra Items,1818.0,2993.0,4566.0,539.0,1284.0,3023.0
Revenue Per Share,$182.48,$226.76,$245.13,$266.00,$265.20,$300.01
Basic EPS,$6.59,$11.25,$17.10,$2.06,$4.92,$11.52
Basic EPS - Continuing Ops,$6.59,$11.25,$17.10,$2.06,$4.92,$11.52
Basic Weighted Average Shares Outst.,276.0,266.0,267.0,262.0,261.0,262.5
Diluted EPS,$6.51,$11.07,$16.79,$2.03,$4.90,$11.36
Diluted EPS - Continuing Ops,$6.51,$11.07,$16.79,$2.03,$4.90,$11.36
Diluted Weighted Average Shares Outst.,279.0,270.0,272.0,265.0,262.0,265.8
Normalized Basic EPS,$6.94,$10.90,$11.57,$2.44,$5.04,$9.81
Normalized Diluted EPS,$6.87,$10.74,$11.36,$2.41,$5.02,$9.69
Dividend Per Share,$1.15,$1.70,$2.15,$2.60,$2.60,$2.60
Payout Ratio,15.22%,14.21%,11.70%,126.48%,52.80%,22.55%
EBITDA,7531.0,8093.0,8555.0,4934.0,6345.0,8586.0
EBITA,4914.0,5189.0,5547.0,1663.0,2796.0,4907.0
EBIT,4900.0,5098.0,5460.0,1581.0,2730.0,4841.0
EBITDAR,10139.0,11085.0,11662.0,8031.0,10370.0,
Effective Tax Rate,33.6%,34.5%,NM,17.6%,22.9%,19.1%
Normalized Net Income,1915.6,2900.0,3089.4,638.1,1315.0,2575.6
Interest Capitalized,42.0,41.0,61.0,64.0,54.0,
Interest on Long-Term Debt,386.0,553.0,619.0,652.0,726.0,
Foreign Sales,12295.0,20050.0,21869.0,22109.0,20813.0,
