Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,14522.0,15264.0,17408.0,18372.0,16785.0,16795.0
Total Revenues,14522.0,15264.0,17408.0,18372.0,16785.0,16795.0
Cost Of Revenues,8260.0,8833.0,9976.0,10557.0,9756.0,9802.0
Gross Profit,6262.0,6431.0,7432.0,7815.0,7029.0,6993.0
Selling General & Admin Expenses,3464.0,3607.0,4269.0,4457.0,3986.0,3861.0
Other Operating Expense/(Income),192.0,207.0,257.0,296.0,195.0,187.0
Total Operating Expenses,3656.0,3814.0,4526.0,4753.0,4181.0,4048.0
Operating Income,2606.0,2617.0,2906.0,3062.0,2848.0,2945.0
Interest Expense,(215.0),(201.0),(202.0),(201.0),(175.0),(176.0)
Interest And Investment Income,27.0,36.0,43.0,27.0,19.0,15.0
Net Interest Expenses,(188.0),(165.0),(159.0),(174.0),(156.0),(161.0)
Currency Exchange Gains (Loss),(27.0),(39.0),(15.0),66.0,(40.0),(55.0)
"EBT, Excl. Unusual Items",2391.0,2413.0,2732.0,2954.0,2652.0,2729.0
"EBT, Incl. Unusual Items",2316.0,2335.0,2667.0,2859.0,2335.0,2475.0
Income Tax Expense,697.0,660.0,443.0,531.0,345.0,362.0
Earnings From Continuing Operations,1619.0,1675.0,2224.0,2328.0,1990.0,2113.0
Earnings Of Discontinued Operations,45.0,(125.0),,,,
Net Income to Company,1664.0,1550.0,2224.0,2328.0,1990.0,2113.0
Minority Interest,(29.0),(32.0),(21.0),(22.0),(25.0),(29.0)
Net Income,1635.0,1518.0,2203.0,2306.0,1965.0,2084.0
NI to Common Incl Extra Items,1635.0,1518.0,2203.0,2306.0,1965.0,2084.0
NI to Common Excl. Extra Items,1590.0,1643.0,2203.0,2306.0,1965.0,2084.0
Revenue Per Share,$22.55,$23.77,$27.54,$29.81,$27.84,$27.99
Basic EPS,$2.54,$2.36,$3.49,$3.74,$3.26,$3.47
Basic EPS - Continuing Ops,$2.47,$2.56,$3.49,$3.74,$3.26,$3.47
Basic Weighted Average Shares Outst.,644.0,642.1,632.0,616.2,602.9,600.0
Diluted EPS,$2.52,$2.35,$3.46,$3.71,$3.24,$3.46
Diluted EPS - Continuing Ops,$2.45,$2.54,$3.46,$3.71,$3.24,$3.46
Diluted Weighted Average Shares Outst.,646.8,643.4,635.3,620.6,606.6,603.6
Normalized Basic EPS,$2.28,$2.30,$2.67,$2.96,$2.71,$2.79
Normalized Diluted EPS,$2.27,$2.29,$2.65,$2.94,$2.69,$2.78
Dividend Per Share,$1.90,$1.92,$1.94,$1.96,$2.00,$2.01
Payout Ratio,75.05%,81.62%,55.79%,52.43%,61.53%,57.92%
EBITDA,3081.0,3167.0,3561.0,3763.0,3572.0,3702.0
EBITA,2690.0,2753.0,3117.0,3300.0,3087.0,3203.0
EBIT,2606.0,2617.0,2906.0,3062.0,2848.0,2945.0
EBITDAR,3354.0,3456.0,3840.0,4048.0,3811.0,
Effective Tax Rate,30.1%,28.3%,16.6%,18.6%,14.8%,14.6%
Normalized Net Income,1465.4,1476.1,1686.5,1824.3,1632.5,1676.6
R&D Expense From Footnotes,320.0,340.0,436.0,454.0,439.0,439.0
Foreign Sales,,8002.0,9484.0,9981.0,9378.0,
