Income Statement,Oct 2016,Oct 2017,Nov 2018,Nov 2019,Oct 2020,TTM
Revenues,3421.4,5246.4,6224.7,5991.1,5603.1,5857.9
Total Revenues,3421.4,5246.4,6224.7,5991.1,5603.1,5857.9
Cost Of Revenues,1194.2,1719.4,1974.3,1977.3,1912.6,1970.2
Gross Profit,2227.2,3527.0,4250.4,4013.8,3690.5,3887.7
Selling General & Admin Expenses,461.4,644.4,696.6,647.9,641.0,611.8
R&D Expenses,653.8,968.1,1165.0,1130.3,1050.5,1081.6
Total Operating Expenses,1185.4,1909.9,2290.5,2207.3,2121.0,2123.3
Operating Income,1041.8,1617.1,1959.9,1806.5,1569.5,1764.4
Interest Expense,(88.8),(250.8),(253.6),(229.1),(193.3),(187.0)
Interest And Investment Income,21.2,30.3,9.4,10.2,4.3,2.6
Net Interest Expenses,(67.5),(220.5),(244.2),(218.8),(189.0),(184.4)
Other Non Operating Income (Expenses),2.3,(1.1),1.0,0.4,4.1,3.2
"EBT, Excl. Unusual Items",976.6,1395.4,1716.6,1588.0,1384.6,1583.3
"EBT, Incl. Unusual Items",956.9,934.7,1655.3,1485.7,1311.6,1522.0
Income Tax Expense,95.3,129.4,148.3,122.7,90.9,116.6
Earnings From Continuing Operations,861.7,805.4,1507.0,1363.0,1220.8,1405.4
Net Income to Company,861.7,805.4,1507.0,1363.0,1220.8,1405.4
Net Income,861.7,805.4,1507.0,1363.0,1220.8,1405.4
Preferred Dividend and Other Adjustments,,2.2,5.9,3.2,,
NI to Common Incl Extra Items,861.7,803.1,1501.1,1359.8,1220.8,1405.4
NI to Common Excl. Extra Items,861.7,803.1,1501.1,1359.8,1220.8,1405.4
Revenue Per Share,$11.08,$15.15,$16.80,$16.23,$15.20,$15.88
Basic EPS,$2.79,$2.32,$4.05,$3.68,$3.31,$3.81
Basic EPS - Continuing Ops,$2.79,$2.32,$4.05,$3.68,$3.31,$3.81
Basic Weighted Average Shares Outst.,308.7,346.4,370.4,369.1,368.6,368.9
Diluted EPS,$2.76,$2.29,$4.00,$3.65,$3.28,$3.77
Diluted EPS - Continuing Ops,$2.76,$2.29,$4.00,$3.65,$3.28,$3.77
Diluted Weighted Average Shares Outst.,312.3,350.5,374.9,372.9,372.0,372.2
Normalized Basic EPS,$1.98,$2.52,$2.90,$2.69,$2.35,$2.68
Normalized Diluted EPS,$1.95,$2.49,$2.86,$2.66,$2.33,$2.66
Dividend Per Share,$1.68,$1.80,$1.92,$2.16,$2.48,$2.55
Payout Ratio,59.56%,74.76%,46.67%,57.04%,72.59%,65.19%
EBITDA,1251.6,2201.1,2758.9,2617.7,2380.4,2572.8
EBITA,1117.0,2006.5,2530.4,2377.0,2146.6,2342.5
EBIT,1041.8,1617.1,1959.9,1806.5,1569.5,1764.4
EBITDAR,1310.1,2259.9,,,2426.3,
Effective Tax Rate,10.0%,13.8%,9.0%,8.3%,6.9%,7.7%
Normalized Net Income,610.4,872.1,1072.9,992.5,865.3,989.5
Interest on Long-Term Debt,88.8,,253.6,229.1,193.3,
R&D Expense From Footnotes,653.8,968.1,1165.0,1144.5,1050.5,1081.6
Foreign Sales,2121.8,3135.8,3947.6,3970.2,3715.6,
