Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(4.82%),(0.30%),(7.78%),(11.43%),0.00%
Other Revenues,35.19%,15.36%,3.83%,(5.01%),0.00%
Total Revenues,(2.41%),1.00%,(6.67%),(10.75%),0.00%
Cost Of Revenues,(2.02%),4.39%,(7.54%),(12.04%),0.00%
Gross Profit,(5.05%),(22.42%),1.40%,0.17%,0.00%
Selling General & Admin Expenses,(6.02%),(3.26%),(5.34%),(21.38%),0.00%
Total Operating Expenses,(6.02%),(3.26%),(5.34%),(21.38%),0.00%
Operating Income,(4.25%),(38.00%),9.95%,23.70%,0.00%
Interest Expense,(2.13%),(13.91%),(19.39%),(40.41%),0.00%
Interest And Investment Income,46.15%,25.94%,28.06%,(43.82%),0.00%
Net Interest Expenses,-18.90%,(3.56%),(10.31%),(142.78%),0.00%
Currency Exchange Gains (Loss),-77.29%,(223.08%),,,0.00%
Other Non Operating Income (Expenses),(55.93%),195.91%,(84.58%),524.36%,0.00%
"EBT, Excl. Unusual Items",(4.71%),(30.44%),(5.55%),8.71%,0.00%
"EBT, Incl. Unusual Items",(1.21%),(27.94%),(13.02%),8.86%,0.00%
Income Tax Expense,321.07%,(95.89%),62.24%,130.69%,0.00%
Earnings From Continuing Operations,(96.44%),"2,346.97%",(17.44%),(5.19%),0.00%
Earnings Of Discontinued Operations,"(421,100.00%)",-98.34%,,,
Net Income to Company,,,(16.71%),(5.19%),0.00%
Minority Interest,(88.68%),(50.00%),622.22%,63.08%,0.00%
Net Income,,,(16.00%),(4.53%),0.00%
Preferred Dividend and Other Adjustments,,512.50%,54.08%,19.21%,0.00%
NI to Common Incl Extra Items,,,(16.86%),(5.08%),0.00%
NI to Common Excl. Extra Items,(96.48%),"2,305.42%",(17.59%),(5.08%),0.00%
Revenue Per Share,2.59%,4.87%,(7.53%),(11.31%),0.00%
Basic EPS,,,(17.62%),(5.64%),0.00%
Basic EPS - Continuing Ops,(96.30%),"2,360.79%",(18.35%),(5.64%),0.00%
Basic Weighted Average Shares Outst.,(4.87%),(3.69%),0.92%,0.63%,0.00%
Diluted EPS,,,(17.36%),(5.25%),0.00%
Diluted EPS - Continuing Ops,(96.33%),"2,436.36%",(18.10%),(5.25%),0.00%
Diluted Weighted Average Shares Outst.,(4.97%),(4.09%),0.56%,0.21%,0.00%
Normalized Basic EPS,(1.60%),(27.87%),(5.36%),8.82%,0.00%
Normalized Diluted EPS,(1.48%),(27.45%),(5.06%),9.08%,0.00%
Dividend Per Share,0.00%,0.00%,0.00%,(75.00%),0.00%
Payout Ratio,,,24.76%,(70.18%),0.00%
EBITDA,(0.93%),(23.28%),15.50%,3.07%,0.00%
EBITA,(4.55%),(37.28%),8.88%,22.22%,0.00%
EBIT,(4.25%),(38.00%),9.95%,23.70%,0.00%
EBITDAR,(0.83%),(22.74%),15.57%,2.72%,
Effective Tax Rate,326.21%,(94.30%),86.67%,111.94%,0.00%
Normalized Net Income,(6.38%),(30.49%),(4.46%),9.42%,0.00%
R&D Expense From Footnotes,10.61%,6.85%,(12.82%),(8.82%),0.00%
Foreign Sales,10.83%,(11.50%),(12.62%),(20.92%),
