Income Statement,Apr 2016,Apr 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,7405.2,6652.8,6182.3,6313.0,6159.8,4387.9
Total Revenues,7405.2,6652.8,6182.3,6313.0,6159.8,4387.9
Cost Of Revenues,3198.1,2803.8,2423.0,2419.8,2347.0,1553.6
Gross Profit,4207.1,3849.0,3759.3,3893.2,3812.8,2834.3
Selling General & Admin Expenses,3096.3,2857.3,3061.3,3144.4,3081.4,2646.4
Depreciation & Amortization,285.7,283.4,,,18.1,4.7
Other Operating Expense/(Income),,,,18.2,29.6,14.5
Total Operating Expenses,3412.5,3171.0,3095.5,3186.5,3210.7,2725.0
Operating Income,794.6,678.0,663.8,706.7,602.1,109.3
Interest Expense,(21.0),(12.4),(18.2),(20.7),(17.6),(39.4)
Interest And Investment Income,6.3,7.3,12.3,40.8,34.4,13.4
Net Interest Expenses,(14.7),(5.1),(5.9),20.1,16.8,(26.0)
Currency Exchange Gains (Loss),(3.8),1.1,4.5,(2.8),(1.1),(4.4)
Other Non Operating Income (Expenses),(1.6),(3.4),(3.1),0.5,0.7,12.4
"EBT, Excl. Unusual Items",763.6,665.4,654.8,727.4,618.6,91.4
"EBT, Incl. Unusual Items",551.8,(104.9),489.2,582.5,326.4,(326.7)
Income Tax Expense,155.4,(5.6),326.4,151.6,(57.9),(30.7)
Earnings From Continuing Operations,396.4,(99.3),162.8,430.9,384.3,(296.0)
Net Income to Company,396.4,(99.3),162.8,430.9,384.3,(296.0)
Net Income,396.4,(99.3),162.8,430.9,384.3,(296.0)
NI to Common Incl Extra Items,396.4,(99.3),162.8,430.9,384.3,(296.0)
NI to Common Excl. Extra Items,396.4,(99.3),162.8,430.9,384.3,(296.0)
Revenue Per Share,$86.92,$80.44,$75.67,$78.33,$81.26,$59.72
Basic EPS,$4.65,($1.20),$1.99,$5.35,$5.07,($4.03)
Basic EPS - Continuing Ops,$4.65,($1.20),$1.99,$5.35,$5.07,($4.03)
Basic Weighted Average Shares Outst.,85.2,82.7,81.7,80.6,75.8,73.5
Diluted EPS,$4.62,($1.20),$1.97,$5.27,$4.98,($4.03)
Diluted EPS - Continuing Ops,$4.62,($1.20),$1.97,$5.27,$4.98,($4.03)
Diluted Weighted Average Shares Outst.,85.9,82.7,82.5,81.7,77.2,73.5
Normalized Basic EPS,$5.60,$5.03,$5.01,$5.64,$5.10,$0.78
Normalized Diluted EPS,$5.56,$5.03,$4.96,$5.56,$5.01,$0.78
Dividend Per Share,$2.00,$2.00,$2.00,$2.50,$2.75,$0.69
Payout Ratio,42.96%,NM,99.75%,44.26%,53.06%,NM
EBITDA,1104.0,985.5,944.9,973.9,871.6,363.3
EBITA,818.3,702.1,687.8,730.2,625.0,132.2
EBIT,794.6,678.0,663.8,706.7,602.1,109.3
EBITDAR,1576.4,1446.0,1388.0,1423.2,1494.2,
Effective Tax Rate,28.2%,NM,66.7%,26.0%,NM,NM
Normalized Net Income,477.3,415.9,409.3,454.6,386.6,57.1
Foreign Sales,2717.2,2662.8,2755.3,2934.0,2851.8,
