Income Statement,Dec 2016,Dec 2017,Dec 2018,Jan 2020,Jan 2021,TTM
Revenues,13710.0,14129.0,13906.0,13564.0,11596.0,11596.0
Other Revenues,78.0,69.0,66.0,66.0,55.0,55.0
Total Revenues,13788.0,14198.0,13972.0,13630.0,11651.0,11651.0
Cost Of Revenues,11373.0,11856.0,11625.0,11431.0,10060.0,10060.0
Gross Profit,2415.0,2342.0,2347.0,2199.0,1591.0,1591.0
Selling General & Admin Expenses,1278.0,1305.0,1199.0,1039.0,962.0,962.0
Total Operating Expenses,1278.0,1305.0,1199.0,1039.0,962.0,962.0
Operating Income,1137.0,1037.0,1148.0,1160.0,629.0,629.0
Interest Expense,(138.0),(145.0),(135.0),(146.0),(145.0),(145.0)
Net Interest Expenses,(138.0),(145.0),(135.0),(146.0),(145.0),(145.0)
"EBT, Excl. Unusual Items",999.0,892.0,1013.0,1014.0,484.0,484.0
"EBT, Incl. Unusual Items",876.0,762.0,1384.0,942.0,282.0,282.0
Income Tax Expense,33.0,456.0,162.0,127.0,(27.0),(27.0)
Earnings From Continuing Operations,843.0,306.0,1222.0,815.0,309.0,309.0
Earnings Of Discontinued Operations,119.0,1.0,,,,
Net Income to Company,962.0,307.0,1222.0,815.0,309.0,309.0
Net Income,962.0,307.0,1222.0,815.0,309.0,309.0
NI to Common Incl Extra Items,962.0,307.0,1222.0,815.0,309.0,309.0
NI to Common Excl. Extra Items,843.0,306.0,1222.0,815.0,309.0,309.0
Revenue Per Share,$50.92,$53.30,$55.84,$58.92,$50.98,$50.98
Basic EPS,$3.55,$1.15,$4.88,$3.52,$1.35,$1.35
Basic EPS - Continuing Ops,$3.11,$1.15,$4.88,$3.52,$1.35,$1.35
Basic Weighted Average Shares Outst.,270.8,266.4,250.2,231.3,228.5,228.5
Diluted EPS,$3.53,$1.14,$4.83,$3.50,$1.35,$1.35
Diluted EPS - Continuing Ops,$3.09,$1.14,$4.83,$3.50,$1.35,$1.35
Diluted Weighted Average Shares Outst.,272.4,268.8,253.2,232.7,229.0,229.0
Normalized Basic EPS,$2.31,$2.09,$2.53,$2.74,$1.32,$1.32
Normalized Diluted EPS,$2.29,$2.07,$2.50,$2.72,$1.32,$1.32
Dividend Per Share,$0.08,$0.08,$0.08,$0.08,$0.08,$0.08
Payout Ratio,2.29%,6.84%,1.64%,2.21%,5.83%,5.83%
EBITDA,1586.0,1484.0,1585.0,1576.0,1020.0,1020.0
EBITA,1203.0,1106.0,1214.0,1219.0,683.0,683.0
EBIT,1137.0,1037.0,1148.0,1160.0,629.0,629.0
EBITDAR,1712.0,,,1640.0,1081.0,1081.0
Effective Tax Rate,3.8%,59.8%,11.7%,13.5%,NM,NM
Normalized Net Income,624.4,557.5,633.1,633.8,302.5,302.5
R&D Expense From Footnotes,677.0,634.0,643.0,647.0,549.0,549.0
Foreign Sales,5214.0,5412.0,5305.0,4667.0,3708.0,3708.0
