Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6399.0,6583.0,6873.0,6845.0,6680.0,6680.0
Total Revenues,6399.0,6583.0,6873.0,6845.0,6680.0,6680.0
Fuel & Purchased Power,2093.0,2094.0,2222.0,2064.0,1931.0,1931.0
Operations And Maintenance,1238.0,1236.0,1417.0,1448.0,1403.0,1403.0
Depreciation & Amortization,811.0,881.0,933.0,992.0,1048.0,1048.0
Other Operating Expenses,950.0,1010.0,1049.0,1011.0,818.0,818.0
Total Operating Expenses,5092.0,5221.0,5621.0,5515.0,5200.0,5200.0
Operating Income,1307.0,1362.0,1252.0,1330.0,1480.0,1480.0
"Interest Expense, Total",(440.0),(440.0),(461.0),(523.0),(563.0),(563.0)
Interest and Investment Income,6.0,12.0,11.0,7.0,11.0,11.0
Net Interest Expenses,(434.0),(428.0),(450.0),(516.0),(552.0),(552.0)
Allow. For Equity Funds Used For Const.,12.0,5.0,6.0,10.0,6.0,6.0
Allow. For Borrowed Funds Used For Const.,5.0,2.0,3.0,4.0,2.0,2.0
Other Non-Operating Inc. (Exp.),(44.0),(52.0),(46.0),(9.0),(40.0),(40.0)
"EBT, Excl. Unusual Items",859.0,904.0,774.0,829.0,901.0,901.0
Other Unusual Items,(18.0),(18.0),,,(16.0),(16.0)
"EBT, Incl. Unusual Items",826.0,886.0,774.0,829.0,885.0,885.0
Income Tax Expense,273.0,424.0,115.0,147.0,133.0,133.0
Earnings From Continuing Operations,553.0,462.0,659.0,682.0,752.0,752.0
Net Income to Company,553.0,462.0,659.0,682.0,752.0,752.0
Minority Interest,(2.0),(2.0),(2.0),(2.0),3.0,3.0
Net Income,551.0,460.0,657.0,680.0,755.0,755.0
NI to Common Incl Extra Items,551.0,460.0,657.0,680.0,755.0,755.0
NI to Common Excl. Extra Items,551.0,460.0,657.0,680.0,755.0,755.0
Revenue Per Share,$23.03,$23.51,$24.36,$24.19,$23.44,$23.44
Basic EPS,$1.98,$1.64,$2.33,$2.40,$2.65,$2.65
Basic EPS - Continuing Ops,$1.98,$1.64,$2.33,$2.40,$2.65,$2.65
Basic Weighted Average Shares Outst.,277.9,280.0,282.2,283.0,285.0,285.0
Diluted EPS,$1.98,$1.64,$2.32,$2.39,$2.64,$2.64
Diluted EPS - Continuing Ops,$1.98,$1.64,$2.32,$2.39,$2.64,$2.64
Diluted Weighted Average Shares Outst.,278.9,280.8,282.9,284.3,286.3,286.3
Normalized Basic EPS,$1.93,$2.01,$1.71,$1.82,$1.99,$1.99
Normalized Diluted EPS,$1.92,$2.00,$1.70,$1.82,$1.98,$1.98
Dividend Per Share,$1.24,$1.33,$1.43,$1.53,$1.63,$1.63
Payout Ratio,62.61%,81.52%,61.64%,63.82%,61.59%,61.59%
EBITDA,1997.0,2104.0,2033.0,2175.0,2386.0,2386.0
EBITA,1310.0,1365.0,1255.0,1333.0,1484.0,1484.0
EBIT,1307.0,1362.0,1252.0,1330.0,1480.0,1480.0
EBITDAR,2017.0,,,2297.0,2507.0,2507.0
Effective Tax Rate,33.1%,47.9%,14.9%,17.7%,15.0%,15.0%
Normalized Net Income,534.9,563.0,481.8,516.1,566.1,566.1
Interest Capitalized,5.0,2.0,3.0,4.0,2.0,2.0
Interest on Long-Term Debt,411.0,406.0,412.0,457.0,500.0,500.0
