Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2508.3,2725.1,2935.6,3008.7,3085.2,3085.2
Total Revenues,2508.3,2725.1,2935.6,3008.7,3085.2,3085.2
Cost Of Revenues,1070.5,1149.3,1251.2,1267.4,1284.1,1284.1
Gross Profit,1437.7,1575.8,1684.4,1741.2,1801.0,1801.0
Selling General & Admin Expenses,735.6,790.9,806.6,814.4,808.0,808.0
R&D Expenses,119.2,128.3,141.1,144.0,140.1,140.1
Total Operating Expenses,890.8,961.8,995.2,1008.0,1004.8,1004.8
Operating Income,546.9,613.9,689.2,733.2,796.2,796.2
Interest Expense,(28.0),(32.8),(34.5),(37.4),(38.6),(38.6)
Net Interest Expenses,(28.0),(32.8),(34.5),(37.4),(38.6),(38.6)
Currency Exchange Gains (Loss),,9.6,(2.0),(7.3),(9.0),(9.0)
Other Non Operating Income (Expenses),0.8,(5.4),1.9,8.7,10.6,10.6
"EBT, Excl. Unusual Items",519.7,585.3,654.6,697.2,759.3,759.3
"EBT, Incl. Unusual Items",504.2,574.2,651.9,681.4,748.7,748.7
Income Tax Expense,119.8,198.3,139.2,120.3,146.0,146.0
Earnings From Continuing Operations,384.4,376.0,512.6,561.1,602.7,602.7
Net Income to Company,384.4,376.0,512.6,561.1,602.7,602.7
Net Income,384.4,376.0,512.6,561.1,602.7,602.7
NI to Common Incl Extra Items,384.4,376.0,512.6,561.1,602.7,602.7
NI to Common Excl. Extra Items,384.4,376.0,512.6,561.1,602.7,602.7
Revenue Per Share,$94.59,$105.98,$116.42,$122.46,$129.18,$129.18
Basic EPS,$14.49,$14.62,$20.33,$22.84,$25.24,$25.24
Basic EPS - Continuing Ops,$14.49,$14.62,$20.33,$22.84,$25.24,$25.24
Basic Weighted Average Shares Outst.,26.5,25.7,25.2,24.6,23.9,23.9
Diluted EPS,$14.22,$14.24,$19.88,$22.47,$24.91,$24.91
Diluted EPS - Continuing Ops,$14.22,$14.24,$19.88,$22.47,$24.91,$24.91
Diluted Weighted Average Shares Outst.,27.0,26.4,25.8,25.0,24.2,24.2
Normalized Basic EPS,$12.25,$14.23,$16.23,$17.74,$19.87,$19.87
Normalized Diluted EPS,$12.02,$13.86,$15.87,$17.45,$19.61,$19.61
EBITDA,588.2,659.0,740.9,787.5,854.3,854.3
EBITA,555.5,625.6,703.7,748.5,812.2,812.2
EBIT,546.9,613.9,689.2,733.2,796.2,796.2
EBITDAR,623.1,695.9,779.8,826.7,894.0,894.0
Effective Tax Rate,23.8%,34.5%,21.4%,17.7%,19.5%,19.5%
Normalized Net Income,324.8,365.8,409.1,435.7,474.5,474.5
R&D Expense From Footnotes,119.2,128.3,141.1,144.0,140.1,140.1
Foreign Sales,1693.1,1836.8,2002.2,2024.1,2434.9,2434.9
