Income Statement,Jan 2017,Jan 2018,Jan 2019,Jan 2020,Jan 2021,TTM
Revenues,1546.2,1883.9,2437.4,3138.5,3662.2,3662.2
Other Revenues,484.8,172.7,132.4,135.8,128.2,128.2
Total Revenues,2031.0,2056.6,2569.8,3274.3,3790.4,3790.4
Cost Of Revenues,301.9,287.0,270.4,289.9,305.5,305.5
Gross Profit,1729.1,1769.6,2299.4,2984.4,3484.9,3484.9
Selling General & Admin Expenses,1311.5,1376.1,1507.8,1716.1,1867.6,1867.6
R&D Expenses,766.1,755.5,725.0,820.0,899.8,899.8
Total Operating Expenses,2149.4,2168.2,2266.3,2609.5,2835.8,2835.8
Operating Income,(420.3),(398.6),33.1,374.9,649.1,649.1
Interest Expense,(29.7),(34.5),(52.1),(54.0),(51.1),(51.1)
Net Interest Expenses,(29.7),(34.5),(52.1),(54.0),(51.1),(51.1)
Currency Exchange Gains (Loss),(3.3),(3.3),5.1,3.9,3.5,3.5
Other Non Operating Income (Expenses),9.7,6.0,6.6,(2.9),8.4,8.4
"EBT, Excl. Unusual Items",(443.6),(430.4),(7.3),321.9,609.9,609.9
"EBT, Incl. Unusual Items",(523.8),(557.3),(42.7),294.8,546.7,546.7
Income Tax Expense,58.3,9.6,38.1,80.3,(661.5),(661.5)
Earnings From Continuing Operations,(582.1),(566.9),(80.8),214.5,1208.2,1208.2
Net Income to Company,(582.1),(566.9),(80.8),214.5,1208.2,1208.2
Net Income,(582.1),(566.9),(80.8),214.5,1208.2,1208.2
NI to Common Incl Extra Items,(582.1),(566.9),(80.8),214.5,1208.2,1208.2
NI to Common Excl. Extra Items,(582.1),(566.9),(80.8),214.5,1208.2,1208.2
Revenue Per Share,$9.12,$9.37,$11.74,$14.90,$17.28,$17.28
Basic EPS,($2.61),($2.58),($0.37),$0.98,$5.51,$5.51
Basic EPS - Continuing Ops,($2.61),($2.58),($0.37),$0.98,$5.51,$5.51
Basic Weighted Average Shares Outst.,222.7,219.5,218.9,219.7,219.4,219.4
Diluted EPS,($2.61),($2.58),($0.37),$0.96,$5.44,$5.44
Diluted EPS - Continuing Ops,($2.61),($2.58),($0.37),$0.96,$5.44,$5.44
Diluted Weighted Average Shares Outst.,222.7,219.5,218.9,222.5,222.1,222.1
Normalized Basic EPS,($1.24),($1.23),($0.02),$0.92,$1.74,$1.74
Normalized Diluted EPS,($1.24),($1.23),($0.02),$0.90,$1.72,$1.72
EBITDA,(321.1),(306.6),112.8,467.7,742.0,742.0
EBITA,(388.1),(378.4),51.1,414.1,688.1,688.1
EBIT,(420.3),(398.6),33.1,374.9,649.1,649.1
EBITDAR,(255.8),(250.7),173.5,566.7,855.4,855.4
Effective Tax Rate,NM,NM,NM,27.2%,NM,NM
Normalized Net Income,(277.3),(269.0),(4.6),201.2,381.2,381.2
R&D Expense From Footnotes,806.1,771.9,740.5,885.6,963.4,963.4
Foreign Sales,1288.9,1316.2,1695.2,2165.4,2508.6,2508.6
