Income Statement,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,7.05%,185.70%,(4.51%),(5.67%),(9.40%)
Total Revenues,7.05%,185.70%,(4.51%),(5.67%),(9.40%)
Cost Of Revenues,7.02%,194.05%,(8.40%),(0.30%),(4.45%)
Gross Profit,7.13%,163.17%,7.22%,(19.48%),(23.97%)
Selling General & Admin Expenses,17.79%,9.78%,(0.36%),(21.95%),(23.97%)
Depreciation & Amortization,(1.67%),177.43%,9.64%,(1.32%),5.05%
Total Operating Expenses,10.37%,66.72%,5.29%,(9.81%),(7.24%)
Operating Income,(21.54%),"1,364.05%",9.96%,(32.60%),(55.87%)
Interest Expense,-4.88%,(173.50%),(4.38%),(14.67%),(1.61%)
Interest And Investment Income,(7.89%),154.29%,43.82%,28.91%,(33.13%)
Net Interest Expenses,-3.53%,(181.71%),-10.82%,(5.83%),(29.47%)
Currency Exchange Gains (Loss),700.00%,787.50%,,,
Other Non Operating Income (Expenses),0.00%,550.00%,"1,092.31%",(76.13%),428.57%
"EBT, Excl. Unusual Items",(28.32%),"2,483.95%",13.76%,(36.83%),(66.27%)
"EBT, Incl. Unusual Items",,,16.18%,,(61.20%)
Income Tax Expense,(19.35%),(227.03%),,(54.86%),165.69%
Earnings From Continuing Operations,,,(20.63%),,(79.26%)
Earnings Of Discontinued Operations,,,(85.17%),,
Net Income to Company,,,(29.18%),,(79.26%)
Minority Interest,(91.67%),(34.78%),-83.87%,(120.00%),-78.57%
Net Income,,,(28.21%),,(77.88%)
NI to Common Incl Extra Items,,,(28.21%),,(77.88%)
NI to Common Excl. Extra Items,,,(19.34%),,(77.88%)
Revenue Per Share,5.44%,40.78%,(1.96%),1.26%,(6.38%)
Basic EPS,,,(26.36%),,(83.80%)
Basic EPS - Continuing Ops,,,(17.24%),,(83.80%)
Basic Weighted Average Shares Outst.,1.53%,102.96%,(2.59%),(6.84%),(3.22%)
Diluted EPS,,,(25.92%),,(83.80%)
Diluted EPS - Continuing Ops,,,(16.83%),,(83.80%)
Diluted Weighted Average Shares Outst.,(0.67%),106.40%,(2.88%),(8.12%),(3.22%)
Normalized Basic EPS,(53.15%),"2,141.12%",19.28%,(32.72%),(64.97%)
Normalized Diluted EPS,(52.01%),"2,103.69%",19.50%,(31.82%),(64.97%)
Dividend Per Share,,,8.33%,(19.23%),(100.00%)
Payout Ratio,,,68.07%,,-71.89%
EBITDA,(16.06%),450.27%,4.97%,(21.00%),(22.86%)
EBITA,96.41%,709.40%,8.16%,(20.10%),1.77%
EBIT,(21.54%),"1,364.05%",9.96%,(32.60%),(55.87%)
EBITDAR,(14.26%),,,,
Effective Tax Rate,,,,,(64.82%)
Normalized Net Income,(52.88%),"4,523.08%",16.13%,(37.36%),(66.10%)
Foreign Sales,14.13%,196.86%,(4.68%),(5.54%),
