Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,9567.7,9373.8,9580.6,9709.0,10106.3,10106.3
Total Revenues,9567.7,9373.8,9580.6,9709.0,10106.3,10106.3
Cost Of Revenues,5311.8,5288.7,5361.1,5437.9,5621.5,5621.5
Gross Profit,4255.9,4085.0,4219.4,4271.1,4484.8,4484.8
Selling General & Admin Expenses,3465.5,3501.5,3601.7,3476.1,3657.5,3657.5
Total Operating Expenses,3465.5,3501.5,3601.7,3503.6,3684.9,3684.9
Operating Income,790.4,583.5,617.7,767.5,799.9,799.9
Interest Expense,(59.9),(58.8),(56.6),(39.9),(46.9),(46.9)
Net Interest Expenses,(59.9),(58.8),(56.6),(39.9),(46.9),(46.9)
Currency Exchange Gains (Loss),,(4.0),(5.0),(1.7),(6.9),(6.9)
Other Non Operating Income (Expenses),11.1,12.8,12.6,12.9,2.9,2.9
"EBT, Excl. Unusual Items",741.6,533.6,568.7,738.8,749.0,749.0
"EBT, Incl. Unusual Items",738.8,520.3,555.3,637.7,651.0,651.0
Income Tax Expense,279.2,44.8,131.4,150.9,158.0,158.0
Earnings From Continuing Operations,459.6,475.5,423.8,486.9,493.0,493.0
Net Income to Company,459.6,475.5,423.8,486.9,493.0,493.0
Net Income,459.6,475.5,423.8,486.9,493.0,493.0
NI to Common Incl Extra Items,459.6,475.5,423.8,486.9,493.0,493.0
NI to Common Excl. Extra Items,459.6,475.5,423.8,486.9,493.0,493.0
Revenue Per Share,$130.06,$126.94,$129.94,$137.00,$147.01,$147.01
Basic EPS,$6.25,$6.44,$5.75,$6.87,$7.17,$7.17
Basic EPS - Continuing Ops,$6.25,$6.44,$5.75,$6.87,$7.17,$7.17
Basic Weighted Average Shares Outst.,73.6,73.8,73.7,70.9,68.7,68.7
Diluted EPS,$6.20,$6.42,$5.73,$6.84,$7.14,$7.14
Diluted EPS - Continuing Ops,$6.20,$6.42,$5.73,$6.84,$7.14,$7.14
Diluted Weighted Average Shares Outst.,73.9,74.1,74.0,71.2,69.0,69.0
Normalized Basic EPS,$6.30,$4.52,$4.82,$6.52,$6.81,$6.81
Normalized Diluted EPS,$6.28,$4.50,$4.80,$6.49,$6.78,$6.78
Dividend Per Share,$0.24,$0.24,$0.24,$0.24,$1.00,$1.00
Payout Ratio,3.86%,3.75%,4.20%,3.53%,11.43%,11.43%
EBITDA,1048.8,832.8,855.9,1005.9,1050.0,1050.0
EBITA,838.4,630.9,658.4,799.2,831.5,831.5
EBIT,790.4,583.5,617.7,767.5,799.9,799.9
EBITDAR,1589.2,1366.3,,1684.7,1718.5,1718.5
Effective Tax Rate,37.8%,8.6%,23.7%,23.7%,24.3%,24.3%
Normalized Net Income,463.5,333.5,355.4,461.8,468.2,468.2
