Income Statement,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,329.5,445.3,593.7,769.4,840.9,812.9
Total Revenues,329.5,445.3,593.7,769.4,840.9,812.9
Cost Of Revenues,50.4,70.6,98.6,129.6,151.3,155.2
Gross Profit,279.1,374.7,495.2,639.9,689.6,657.7
Selling General & Admin Expenses,164.3,218.2,262.7,321.6,341.6,316.8
R&D Expenses,48.7,64.8,74.0,94.4,99.3,113.7
Total Operating Expenses,213.0,282.9,336.7,416.0,440.9,430.5
Operating Income,66.2,91.7,158.5,223.9,248.6,227.3
Interest And Investment Income,0.4,1.6,3.7,8.2,12.2,8.8
Net Interest Expenses,0.4,1.6,3.7,8.2,12.2,8.8
Currency Exchange Gains (Loss),,,,,0.8,2.0
Other Non Operating Income (Expenses),0.3,(0.3),(0.4),0.2,(0.2),24.4
"EBT, Excl. Unusual Items",66.9,92.9,161.8,232.3,261.4,262.5
"EBT, Incl. Unusual Items",65.8,91.3,160.4,263.4,256.8,254.0
Income Tax Expense,27.7,39.2,48.3,4.3,53.8,53.6
Earnings From Continuing Operations,38.1,52.1,112.2,259.0,203.0,200.5
Net Income to Company,38.1,52.1,112.2,259.0,203.0,200.5
Net Income,38.1,52.1,112.2,259.0,203.0,200.5
NI to Common Incl Extra Items,38.1,52.1,112.2,259.0,203.0,200.5
NI to Common Excl. Extra Items,38.1,52.1,112.2,259.0,203.0,200.5
Revenue Per Share,$7.81,$10.30,$13.45,$17.13,$18.61,$18.03
Basic EPS,$0.90,$1.21,$2.54,$5.77,$4.49,$4.45
Basic EPS - Continuing Ops,$0.90,$1.21,$2.54,$5.77,$4.49,$4.45
Basic Weighted Average Shares Outst.,42.2,43.2,44.2,44.9,45.2,45.1
Diluted EPS,$0.85,$1.17,$2.45,$5.61,$4.43,$4.39
Diluted EPS - Continuing Ops,$0.85,$1.17,$2.45,$5.61,$4.43,$4.39
Diluted Weighted Average Shares Outst.,44.9,44.7,45.8,46.2,45.8,45.6
Normalized Basic EPS,$0.99,$1.34,$2.29,$3.23,$3.62,$3.64
Normalized Diluted EPS,$0.93,$1.30,$2.21,$3.15,$3.57,$3.60
EBITDA,69.4,97.9,169.5,238.0,269.1,250.6
EBITA,66.2,91.7,158.5,224.1,248.8,227.5
EBIT,66.2,91.7,158.5,223.9,248.6,227.3
EBITDAR,,,,,272.8,
Effective Tax Rate,42.1%,42.9%,30.1%,1.6%,21.0%,21.1%
Normalized Net Income,41.8,58.1,101.1,145.2,163.4,164.1
R&D Expense From Footnotes,49.8,66.4,75.3,93.5,98.8,115.2
Foreign Sales,,39.5,67.1,104.4,135.5,
