Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,11571.7,8883.4,9417.6,9985.8,10119.1,10119.1
Total Revenues,11571.7,8883.4,9417.6,9985.8,10119.1,10119.1
Cost Of Revenues,8345.2,6136.8,6506.9,6894.9,7304.8,7304.8
Gross Profit,3226.5,2746.7,2910.7,3090.9,2814.3,2814.3
Selling General & Admin Expenses,2409.0,2071.6,2217.3,2357.9,2268.1,2268.1
Total Operating Expenses,2409.0,2071.6,2217.3,2357.9,2268.1,2268.1
Operating Income,817.5,675.1,693.5,733.0,546.2,546.2
Interest Expense,(31.9),(51.1),(76.0),(50.8),(41.4),(41.4)
Interest And Investment Income,13.3,12.4,15.5,15.8,9.8,9.8
Net Interest Expenses,(18.6),(38.6),(60.5),(35.0),(31.5),(31.5)
Other Non Operating Income (Expenses),2.9,(1.3),(3.3),(2.9),17.3,17.3
"EBT, Excl. Unusual Items",820.2,650.4,650.7,712.9,544.3,544.3
"EBT, Incl. Unusual Items",774.4,627.5,557.9,885.0,513.8,513.8
Income Tax Expense,218.0,309.0,107.4,159.5,95.4,95.4
Earnings From Continuing Operations,556.4,318.5,450.4,725.5,418.4,418.4
Earnings Of Discontinued Operations,,113.1,105.2,(6.0),1.0,1.0
Net Income to Company,556.4,431.6,555.6,719.5,419.4,419.4
Minority Interest,(49.6),(25.3),(19.7),(24.8),(15.6),(15.6)
Net Income,506.8,406.3,535.9,694.7,403.8,403.8
NI to Common Incl Extra Items,506.8,406.3,535.9,694.7,403.8,403.8
NI to Common Excl. Extra Items,506.8,293.2,430.7,700.7,402.8,402.8
Revenue Per Share,$71.59,$56.66,$61.69,$67.56,$71.01,$71.01
Basic EPS,$3.14,$2.59,$3.51,$4.70,$2.83,$2.83
Basic EPS - Continuing Ops,$3.14,$1.87,$2.82,$4.74,$2.83,$2.83
Basic Weighted Average Shares Outst.,161.6,156.8,152.7,147.8,142.5,142.5
Diluted EPS,$3.10,$2.57,$3.48,$4.65,$2.82,$2.82
Diluted EPS - Continuing Ops,$3.10,$1.85,$2.80,$4.69,$2.81,$2.81
Diluted Weighted Average Shares Outst.,163.7,158.2,153.7,149.3,143.4,143.4
Normalized Basic EPS,$2.86,$2.43,$2.53,$2.85,$2.28,$2.28
Normalized Diluted EPS,$2.83,$2.41,$2.52,$2.82,$2.26,$2.26
EBITDA,987.2,808.9,837.1,917.9,731.7,731.7
EBITA,915.7,745.4,768.8,841.3,652.1,652.1
EBIT,817.5,675.1,693.5,733.0,546.2,546.2
EBITDAR,1066.8,,,1005.6,817.9,817.9
Effective Tax Rate,28.1%,49.2%,19.3%,18.0%,18.6%,18.6%
Normalized Net Income,463.0,381.2,387.0,420.8,324.6,324.6
Interest on Long-Term Debt,,,,0.1,0.1,0.1
Foreign Sales,4034.8,2843.8,3006.0,3109.6,3028.9,3028.9
