Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,7.58%,17.25%,23.86%,(12.41%),(17.97%)
Total Interest Income,7.06%,15.46%,20.66%,(10.91%),(15.71%)
Interest On Deposits,35.12%,94.22%,65.80%,(63.90%),(79.23%)
Total Interest On Borrowings,10.99%,21.98%,11.88%,(17.17%),(19.45%)
Total Interest Expense,19.55%,50.94%,39.69%,(45.78%),(55.78%)
Net Interest Income,5.06%,9.00%,15.87%,(0.31%),(4.35%)
Service Charges On Deposits,(0.72%),(0.90%),2.91%,(1.06%),(4.64%)
Trust Income,3.71%,5.97%,9.68%,6.78%,3.73%
Total Mortgage Banking Activities,(19.42%),(5.36%),35.38%,11.50%,(18.80%)
Gain (Loss) on Sale of Assets,(85.71%),(71.43%),150.00%,,
Gain (Loss) on Sale of Invest. & Securities,"3,459.26%",(48.91%),1.43%,,
Total Other Non Interest Income,(0.74%),6.44%,51.14%,(12.48%),(12.24%)
Total Non Interest Income,33.40%,(13.52%),25.64%,(19.62%),(5.58%)
Revenue Before Loan Losses,16.54%,(1.44%),19.85%,(8.55%),(4.82%)
Provision For Loan Losses,(23.91%),(20.69%),127.54%,132.91%,(72.18%)
Total Revenues,18.96%,(0.70%),16.55%,(16.99%),4.94%
Salaries And Other Employee Benefits,1.68%,6.25%,10.46%,11.70%,11.99%
Occupancy Expense,(2.51%),50.52%,(38.36%),11.67%,1.02%
Total Selling General & Admin Expenses,3.85%,(12.79%),30.50%,(4.49%),(20.83%)
Total Other Non Interest Expense,(2.33%),8.14%,16.16%,1.99%,4.00%
Total Non Interest Expense,0.59%,4.65%,11.75%,5.90%,1.97%
"EBT, Excl. Unusual Items",53.98%,(7.37%),23.31%,(46.17%),10.56%
Asset Writedown,(31.11%),-16.95%,-34.69%,(40.63%),"(4,400.00%)"
Other Unusual Items,,,,,0.00%
"EBT, Incl. Unusual Items",34.92%,(7.18%),15.80%,(43.88%),15.62%
Income Tax Expense,20.15%,(28.41%),20.63%,(46.38%),13.31%
Earnings From Continuing Operations,41.28%,0.60%,14.55%,(43.19%),16.25%
Net Income to Company,41.28%,0.60%,14.55%,(43.19%),16.25%
Net Income,40.92%,0.60%,14.55%,(43.19%),16.25%
Preferred Dividend and Other Adjustments,8.89%,0.00%,16.33%,(3.51%),3.64%
Net Income to Common Incl Extra Items,42.90%,0.62%,14.46%,(45.08%),17.07%
Net Income to Common Excl. Extra Items,42.90%,0.62%,14.46%,(45.08%),17.07%
Revenue Per Share,23.70%,7.45%,10.44%,(17.49%),6.21%
Basic EPS,48.89%,8.79%,8.53%,(45.48%),18.48%
Basic EPS - Continuing Ops,48.89%,8.79%,8.53%,(45.48%),18.48%
Basic Weighted Average Shares Outst.,(3.85%),(7.54%),5.51%,0.60%,(1.19%)
Diluted EPS,47.12%,8.90%,8.82%,(45.05%),18.98%
Diluted EPS - Continuing Ops,47.12%,8.90%,8.82%,(45.05%),18.98%
Diluted Weighted Average Shares Outst.,(3.11%),(7.45%),5.04%,(0.05%),(1.64%)
Normalized Basic EPS,59.95%,0.07%,16.96%,(46.44%),11.89%
Normalized Diluted EPS,58.24%,0.22%,17.19%,(46.11%),12.40%
Dividend Per Share,13.21%,23.33%,27.03%,14.89%,9.09%
Payout Ratio,(21.07%),11.19%,16.37%,100.55%,
Effective Tax Rate,(10.95%),(22.87%),4.15%,(4.46%),(2.00%)
Normalized Net Income,53.48%,(7.37%),23.31%,(46.17%),10.56%
Interest on Long-Term Debt,4.71%,17.99%,13.90%,(11.02%),
