Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,4.29%,9.66%,6.94%,5.74%,6.86%
Total Revenues,4.29%,9.66%,6.94%,5.74%,6.86%
Cost Of Revenues,4.13%,9.94%,6.88%,5.79%,6.82%
Gross Profit,9.80%,0.70%,9.09%,3.92%,8.25%
Selling General & Admin Expenses,1.79%,15.58%,8.26%,2.48%,3.18%
Depreciation & Amortization,11.71%,19.77%,3.87%,(5.01%),(1.37%)
Total Operating Expenses,2.86%,15.80%,6.85%,(0.17%),0.87%
Operating Income,19.94%,(18.20%),13.06%,10.78%,20.64%
Interest Expense,(3.25%),(27.24%),(3.08%),-18.90%,-19.35%
Interest And Investment Income,(13.07%),287.37%,152.36%,(45.26%),(73.30%)
Net Interest Expenses,(3.77%),(20.33%),-9.69%,-12.60%,-4.17%
Other Non Operating Income (Expenses),,65.97%,,,
"EBT, Excl. Unusual Items",33.26%,(21.06%),15.35%,13.08%,23.88%
"EBT, Incl. Unusual Items",(34.01%),28.28%,(17.86%),,
Earnings From Continuing Operations,(74.47%),343.34%,(47.14%),,
Net Income to Company,(74.47%),343.34%,(47.14%),,
Minority Interest,,,(97.11%),,
Net Income,(74.47%),355.00%,(48.42%),,
NI to Common Incl Extra Items,(74.47%),355.00%,(48.42%),,
NI to Common Excl. Extra Items,(74.47%),355.00%,(48.42%),,
Revenue Per Share,1.34%,9.91%,10.86%,8.52%,9.05%
Basic EPS,(75.20%),355.80%,(46.52%),,
Basic EPS - Continuing Ops,(75.20%),355.80%,(46.52%),,
Basic Weighted Average Shares Outst.,2.91%,(0.23%),(3.54%),(2.56%),(2.01%)
Diluted EPS,(74.05%),359.15%,(46.35%),,
Diluted EPS - Continuing Ops,(74.05%),359.15%,(46.35%),,
Diluted Weighted Average Shares Outst.,(1.93%),(0.57%),(3.86%),(3.33%),(2.75%)
Normalized Basic EPS,29.37%,(17.26%),14.53%,14.93%,25.04%
Normalized Diluted EPS,36.00%,(16.95%),14.92%,15.84%,25.98%
Dividend Per Share,7.35%,4.11%,5.26%,3.75%,6.25%
Payout Ratio,335.00%,(77.15%),97.36%,,
EBITDA,18.16%,(11.91%),9.45%,4.77%,13.65%
EBITA,18.84%,(15.91%),10.95%,7.01%,16.26%
EBIT,19.94%,(18.20%),13.06%,10.78%,20.64%
EBITDAR,17.04%,(10.17%),8.71%,5.84%,
Effective Tax Rate,,,,206.36%,137.45%
Normalized Net Income,33.26%,(17.43%),10.41%,12.09%,22.52%
