Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(0.44%),3.39%,(1.46%),9.17%,4.94%
Other Revenues,(4.09%),15.18%,(4.61%),2.25%,6.24%
Total Revenues,(0.62%),3.93%,(1.62%),8.83%,5.00%
Cost Of Revenues,(2.23%),0.79%,6.22%,41.39%,27.46%
Gross Profit,(0.26%),4.61%,(3.26%),1.36%,(0.65%)
Selling General & Admin Expenses,(4.88%),9.49%,(3.41%),11.26%,6.70%
R&D Expenses,(7.24%),4.91%,10.14%,2.21%,0.79%
Other Operating Expense/(Income),(78.38%),225.00%,(26.92%),,0.00%
Total Operating Expenses,(6.19%),7.76%,2.09%,7.02%,3.96%
Operating Income,5.17%,2.04%,(7.87%),(4.04%),(5.23%)
Interest Expense,(3.49%),(6.83%),-7.40%,-19.47%,-24.38%
Interest And Investment Income,(67.52%),203.80%,(51.08%),,
Net Interest Expenses,"(2,011.63%)",-78.85%,(265.63%),(47.86%),(18.42%)
Currency Exchange Gains (Loss),,,,193.64%,"1,600.00%"
Other Non Operating Income (Expenses),0.00%,,,,-0.62%
"EBT, Excl. Unusual Items",7.07%,1.13%,(9.77%),(9.20%),(7.64%)
"EBT, Incl. Unusual Items",4.74%,(0.54%),(4.26%),(11.00%),(9.88%)
Income Tax Expense,428.66%,(84.89%),12.60%,(32.95%),(24.29%)
Earnings From Continuing Operations,(74.37%),324.15%,(6.58%),(7.37%),(7.69%)
Net Income to Company,(74.37%),324.15%,(6.58%),(7.37%),(7.69%)
Net Income,(74.37%),324.15%,(6.58%),(7.37%),(7.69%)
NI to Common Incl Extra Items,(74.37%),324.15%,(6.58%),(7.37%),(7.69%)
NI to Common Excl. Extra Items,(74.37%),324.15%,(6.58%),(7.37%),(7.69%)
Revenue Per Share,1.68%,14.93%,7.47%,12.37%,7.57%
Basic EPS,(73.77%),368.60%,2.06%,(4.35%),(5.43%)
Basic EPS - Continuing Ops,(73.77%),368.60%,2.06%,(4.35%),(5.43%)
Basic Weighted Average Shares Outst.,(2.27%),(9.58%),(8.47%),(3.14%),(2.39%)
Diluted EPS,(73.73%),369.14%,2.06%,(4.43%),(5.49%)
Diluted EPS - Continuing Ops,(73.73%),369.14%,2.06%,(4.43%),(5.49%)
Diluted Weighted Average Shares Outst.,(2.52%),(9.52%),(8.42%),(3.12%),(2.37%)
Normalized Basic EPS,9.53%,11.89%,(1.45%),(6.25%),(5.38%)
Normalized Diluted EPS,9.78%,11.74%,(1.48%),(6.29%),(5.39%)
Dividend Per Share,15.00%,14.78%,9.85%,10.34%,(19.33%)
Payout Ratio,338.01%,(75.43%),7.10%,15.52%,14.49%
EBITDA,2.57%,1.94%,(5.81%),8.61%,3.85%
EBITA,2.72%,1.81%,(6.16%),9.05%,4.42%
EBIT,5.17%,2.04%,(7.87%),(4.04%),(5.23%)
EBITDAR,2.75%,1.97%,(5.69%),8.64%,
Effective Tax Rate,404.63%,(84.81%),17.60%,(24.65%),(15.99%)
Normalized Net Income,7.07%,1.13%,(9.77%),(9.20%),(7.64%)
Interest on Long-Term Debt,3.49%,6.75%,(7.40%),(2.09%),
R&D Expense From Footnotes,(7.24%),4.91%,10.14%,2.21%,0.79%
Foreign Sales,3.32%,280.87%,(6.18%),7.39%,
