Income Statement,Jan 2017,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,4854.7,5884.5,6716.6,7398.1,6152.0,6152.0
Total Revenues,4854.7,5884.5,6716.6,7398.1,6152.0,6152.0
Cost Of Revenues,3107.5,3787.7,4307.3,4398.9,3817.5,3817.5
Gross Profit,1747.2,2096.8,2409.3,2999.1,2334.5,2334.5
Selling General & Admin Expenses,1073.8,1287.2,1535.5,2078.8,1915.9,1915.9
Total Operating Expenses,1092.4,1311.5,1555.2,2098.0,1930.9,1930.9
Operating Income,654.8,785.3,854.1,901.1,403.5,403.5
Interest Expense,,,,,(5.7),(5.7)
Interest And Investment Income,0.9,1.6,5.1,5.1,,
Net Interest Expenses,0.9,1.6,5.1,5.1,(5.7),(5.7)
"EBT, Excl. Unusual Items",655.7,786.9,859.1,906.2,397.8,397.8
"EBT, Incl. Unusual Items",655.7,786.9,859.1,906.2,231.1,231.1
Income Tax Expense,246.0,231.6,200.6,200.2,55.3,55.3
Earnings From Continuing Operations,409.8,555.2,658.6,705.9,175.8,175.8
Net Income to Company,409.8,555.2,658.6,705.9,175.8,175.8
Net Income,409.8,555.2,658.6,705.9,175.8,175.8
NI to Common Incl Extra Items,409.8,555.2,658.6,705.9,175.8,175.8
NI to Common Excl. Extra Items,409.8,555.2,658.6,705.9,175.8,175.8
Revenue Per Share,$77.65,$95.60,$112.20,$127.91,$109.17,$109.17
Basic EPS,$6.55,$9.02,$11.00,$12.21,$3.12,$3.12
Basic EPS - Continuing Ops,$6.55,$9.02,$11.00,$12.21,$3.12,$3.12
Basic Weighted Average Shares Outst.,62.5,61.6,59.9,57.8,56.4,56.4
Diluted EPS,$6.52,$8.96,$10.94,$12.15,$3.11,$3.11
Diluted EPS - Continuing Ops,$6.52,$8.96,$10.94,$12.15,$3.11,$3.11
Diluted Weighted Average Shares Outst.,62.9,62.0,60.2,58.1,56.6,56.6
Normalized Basic EPS,$6.56,$7.99,$8.97,$9.79,$4.41,$4.41
Normalized Diluted EPS,$6.52,$7.94,$8.92,$9.75,$4.40,$4.40
EBITDA,865.1,1038.0,1133.2,1195.8,700.4,700.4
EBITA,654.8,785.3,854.1,901.1,403.5,403.5
EBIT,654.8,785.3,854.1,901.1,403.5,403.5
EBITDAR,1068.1,,,1513.5,1085.4,1085.4
Effective Tax Rate,37.5%,29.4%,23.3%,22.1%,23.9%,23.9%
Normalized Net Income,409.8,491.8,537.0,566.3,248.6,248.6
R&D Expense From Footnotes,,,0.3,0.9,0.9,0.9
