Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6183.0,6547.0,10052.0,10879.0,10449.0,10449.0
Other Revenues,314.0,326.0,501.0,265.0,222.0,222.0
Total Revenues,6497.0,6873.0,10553.0,11144.0,10671.0,10671.0
Cost Of Revenues,2367.0,2624.0,3910.0,3752.0,3812.0,3812.0
Gross Profit,4130.0,4249.0,6643.0,7392.0,6859.0,6859.0
Selling General & Admin Expenses,1690.0,1689.0,2510.0,2791.0,2716.0,2716.0
Depreciation & Amortization,322.0,330.0,1398.0,1347.0,1359.0,1359.0
Other Operating Expense/(Income),(4.0),,,,,
Total Operating Expenses,2008.0,2019.0,3908.0,4138.0,4075.0,4075.0
Operating Income,2122.0,2230.0,2735.0,3254.0,2784.0,2784.0
Interest Expense,(353.0),(458.0),(743.0),(720.0),(691.0),(691.0)
Interest And Investment Income,,21.0,15.0,22.0,10.0,10.0
Net Interest Expenses,(353.0),(437.0),(728.0),(698.0),(681.0),(681.0)
Currency Exchange Gains (Loss),73.0,(89.0),(57.0),(1.0),(50.0),(50.0)
Other Non Operating Income (Expenses),,,(5.0),,(2.0),(2.0)
"EBT, Excl. Unusual Items",1804.0,1493.0,1882.0,2553.0,1946.0,1946.0
"EBT, Incl. Unusual Items",1671.0,(137.0),1022.0,2294.0,1728.0,1728.0
Income Tax Expense,453.0,176.0,341.0,81.0,373.0,373.0
Earnings From Continuing Operations,1218.0,(313.0),681.0,2213.0,1355.0,1355.0
Net Income to Company,1218.0,(313.0),681.0,2213.0,1355.0,1355.0
Minority Interest,(24.0),(24.0),(87.0),(144.0),(136.0),(136.0)
Net Income,1194.0,(337.0),594.0,2069.0,1219.0,1219.0
Preferred Dividend and Other Adjustments,139.0,(41.0),65.0,224.0,128.0,128.0
NI to Common Incl Extra Items,1055.0,(296.0),529.0,1845.0,1091.0,1091.0
NI to Common Excl. Extra Items,1055.0,(296.0),529.0,1845.0,1091.0,1091.0
Revenue Per Share,$12.11,$13.74,$17.18,$17.27,$17.73,$17.73
Basic EPS,$1.97,($0.59),$0.86,$2.86,$1.81,$1.81
Basic EPS - Continuing Ops,$1.97,($0.59),$0.86,$2.86,$1.81,$1.81
Basic Weighted Average Shares Outst.,536.6,500.2,614.2,645.2,601.8,601.8
Diluted EPS,$1.60,($0.59),$0.73,$2.48,$1.42,$1.42
Diluted EPS - Continuing Ops,$1.60,($0.59),$0.73,$2.48,$1.42,$1.42
Diluted Weighted Average Shares Outst.,745.6,500.2,804.2,827.2,768.8,768.8
Normalized Basic EPS,$2.06,$1.82,$1.77,$2.25,$1.79,$1.79
Normalized Diluted EPS,$1.48,$1.82,$1.35,$1.75,$1.41,$1.41
EBITDA,2444.0,2560.0,4133.0,4601.0,4143.0,4143.0
EBITA,2305.0,2410.0,3935.0,4354.0,3884.0,3884.0
EBIT,2122.0,2230.0,2735.0,3254.0,2784.0,2784.0
EBITDAR,2566.0,2687.0,4338.0,4725.0,4268.0,4268.0
Effective Tax Rate,27.1%,NM,33.4%,3.5%,21.6%,21.6%
Normalized Net Income,1103.5,909.1,1089.3,1451.6,1080.3,1080.3
Interest on Long-Term Debt,353.0,475.0,729.0,677.0,648.0,648.0
Foreign Sales,3086.0,3313.0,4138.0,3992.0,3646.0,3646.0
