Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3789.9,4607.5,5191.2,5366.8,5527.1,5705.0
Total Revenues,3789.9,4607.5,5191.2,5366.8,5527.1,5705.0
Cost Of Revenues,1457.5,1742.7,1911.7,1939.7,1984.1,2025.0
Gross Profit,2332.4,2864.8,3279.5,3427.1,3543.0,3680.0
Selling General & Admin Expenses,1269.3,1654.6,1506.2,1511.6,1665.8,1751.5
R&D Expenses,,,376.9,403.5,446.1,446.1
Total Operating Expenses,1269.3,1654.6,1883.1,1915.1,2111.9,2197.6
Operating Income,1063.1,1210.2,1396.4,1512.0,1431.1,1482.4
Interest Expense,(111.6),(180.6),(182.1),(186.6),(218.9),(234.1)
Net Interest Expenses,(111.6),(180.6),(182.1),(186.6),(218.9),(234.1)
Currency Exchange Gains (Loss),(2.9),(1.4),0.2,(3.7),(4.3),(4.3)
Other Non Operating Income (Expenses),1.4,(2.9),(0.2),(1.4),1.4,27.6
"EBT, Excl. Unusual Items",950.0,1025.3,1214.3,1320.3,1209.3,1271.6
"EBT, Incl. Unusual Items",940.6,1034.7,1198.4,2227.4,1209.3,1271.6
Income Tax Expense,282.0,62.9,254.0,459.5,259.6,273.2
Earnings From Continuing Operations,658.6,971.8,944.4,1767.9,949.7,998.4
Net Income to Company,658.6,971.8,944.4,1767.9,949.7,998.4
Net Income,658.6,971.8,944.4,1767.9,949.7,998.4
NI to Common Incl Extra Items,658.6,971.8,944.4,1767.9,949.7,998.4
NI to Common Excl. Extra Items,658.6,971.8,944.4,1767.9,949.7,998.4
Revenue Per Share,$37.41,$45.08,$50.30,$51.65,$52.84,$54.45
Basic EPS,$6.50,$9.51,$9.15,$17.02,$9.08,$9.53
Basic EPS - Continuing Ops,$6.50,$9.51,$9.15,$17.02,$9.08,$9.53
Basic Weighted Average Shares Outst.,101.3,102.2,103.2,103.9,104.6,104.8
Diluted EPS,$6.43,$9.39,$9.05,$16.82,$8.98,$9.43
Diluted EPS - Continuing Ops,$6.43,$9.39,$9.05,$16.82,$8.98,$9.43
Diluted Weighted Average Shares Outst.,102.5,103.5,104.4,105.1,105.7,105.9
Normalized Basic EPS,$5.86,$6.27,$7.35,$7.94,$7.23,$7.59
Normalized Diluted EPS,$5.79,$6.19,$7.27,$7.85,$7.15,$7.51
Dividend Per Share,$1.25,$1.46,$1.70,$1.90,$2.10,$1.59
Payout Ratio,18.39%,14.69%,18.01%,10.84%,22.54%,22.02%
EBITDA,1303.6,1555.2,1763.4,1928.0,1951.9,2049.9
EBITA,1266.3,1505.7,1713.9,1878.8,1898.5,1994.6
EBIT,1063.1,1210.2,1396.4,1512.0,1431.1,1482.4
EBITDAR,1348.5,1619.8,1830.3,1993.9,2020.4,
Effective Tax Rate,30.0%,6.1%,21.2%,20.6%,21.5%,21.5%
Normalized Net Income,593.8,640.8,758.9,825.2,755.8,794.8
R&D Expense From Footnotes,195.4,281.1,376.9,403.5,446.1,446.1
Foreign Sales,811.4,1116.1,1152.0,1163.5,1193.1,
