Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3.06%,7.38%,(2.56%),(11.34%),(10.51%)
Total Revenues,3.06%,7.38%,(2.56%),(11.34%),(10.51%)
Cost Of Revenues,(2.08%),(4.88%),(7.18%),(13.85%),(11.26%)
Gross Profit,10.19%,22.47%,1.87%,(9.16%),(9.87%)
Depreciation & Amortization,1.08%,1.22%,1.35%,2.52%,1.54%
Total Operating Expenses,1.08%,1.22%,1.35%,2.52%,1.54%
Operating Income,13.75%,29.83%,2.01%,(12.29%),(12.99%)
Interest Expense,-5.70%,(17.03%),(15.34%),(2.31%),(0.67%)
Interest And Investment Income,30.00%,146.15%,50.00%,(64.58%),(64.58%)
Net Interest Expenses,-6.33%,(13.88%),(13.51%),(6.97%),(5.16%)
Other Non Operating Income (Expenses),(77.78%),(50.00%),75.00%,14.29%,(85.71%)
"EBT, Excl. Unusual Items",22.27%,23.94%,0.46%,(15.29%),(16.06%)
"EBT, Incl. Unusual Items",14.63%,36.98%,0.28%,(15.96%),(16.74%)
Income Tax Expense,,,(1.01%),(12.49%),(14.83%)
Earnings From Continuing Operations,219.19%,(39.52%),0.66%,(16.99%),(17.32%)
Net Income to Company,219.19%,(39.52%),0.66%,(16.99%),(17.32%)
Net Income,219.19%,(39.52%),0.66%,(16.99%),(17.32%)
Preferred Dividend and Other Adjustments,0.00%,0.00%,,,
NI to Common Incl Extra Items,219.32%,(39.52%),0.70%,(16.99%),(17.32%)
NI to Common Excl. Extra Items,219.32%,(39.52%),0.70%,(16.99%),(17.32%)
Revenue Per Share,7.12%,14.17%,4.94%,(7.89%),(7.90%)
Basic EPS,231.73%,(35.67%),8.41%,(13.64%),(14.91%)
Basic EPS - Continuing Ops,231.73%,(35.67%),8.41%,(13.64%),(14.91%)
Basic Weighted Average Shares Outst.,(3.80%),(5.93%),(7.12%),(3.77%),(2.83%)
Diluted EPS,230.94%,(35.89%),8.59%,(13.67%),(15.00%)
Diluted EPS - Continuing Ops,230.94%,(35.89%),8.59%,(13.67%),(15.00%)
Diluted Weighted Average Shares Outst.,(3.59%),(5.80%),(7.32%),(3.76%),(2.76%)
Normalized Basic EPS,27.43%,31.51%,8.04%,(11.88%),(13.61%)
Normalized Diluted EPS,27.01%,31.45%,8.45%,(12.10%),(13.67%)
Dividend Per Share,8.33%,12.82%,9.09%,8.33%,8.16%
Payout Ratio,(67.38%),75.39%,0.91%,25.82%,27.25%
EBITDA,10.19%,22.47%,1.87%,(9.16%),(9.87%)
EBITA,13.75%,29.83%,2.01%,(12.29%),(12.99%)
EBIT,13.75%,29.83%,2.01%,(12.29%),(12.99%)
EBITDAR,1.68%,21.90%,2.13%,(9.07%),
Effective Tax Rate,,,(1.29%),4.15%,2.30%
Normalized Net Income,22.27%,23.94%,0.46%,(15.29%),(16.06%)
Interest on Long-Term Debt,0.00%,0.00%,0.00%,0.00%,
