Income Statement,Sep 2016,Aug 2017,Aug 2018,Aug 2019,Sep 2020,TTM
Revenues,12399.0,20322.0,30391.0,23406.0,21435.0,23503.0
Total Revenues,12399.0,20322.0,30391.0,23406.0,21435.0,23503.0
Cost Of Revenues,9894.0,11886.0,12500.0,12704.0,14883.0,16287.0
Gross Profit,2505.0,8436.0,17891.0,10702.0,6552.0,7216.0
Selling General & Admin Expenses,656.0,730.0,813.0,836.0,881.0,875.0
R&D Expenses,1617.0,1824.0,2141.0,2441.0,2600.0,2567.0
Other Operating Expense/(Income),(2.0),5.0,11.0,35.0,11.0,143.0
Total Operating Expenses,2271.0,2559.0,2965.0,3312.0,3492.0,3585.0
Operating Income,234.0,5877.0,14926.0,7390.0,3060.0,3631.0
Interest Expense,(437.0),(601.0),(342.0),(128.0),(194.0),(191.0)
Interest And Investment Income,42.0,41.0,120.0,205.0,114.0,56.0
Net Interest Expenses,(395.0),(560.0),(222.0),77.0,(80.0),(135.0)
Currency Exchange Gains (Loss),(24.0),(74.0),(75.0),(9.0),(8.0),(8.0)
Other Non Operating Income (Expenses),(26.0),(9.0),(5.0),,28.0,42.0
"EBT, Excl. Unusual Items",(186.0),5242.0,14623.0,7461.0,3007.0,3563.0
"EBT, Incl. Unusual Items",(256.0),5204.0,14306.0,7051.0,2990.0,3504.0
Income Tax Expense,19.0,114.0,168.0,693.0,280.0,303.0
Earnings From Continuing Operations,(275.0),5090.0,14138.0,6358.0,2710.0,3201.0
Net Income to Company,(275.0),5090.0,14138.0,6358.0,2710.0,3201.0
Minority Interest,(1.0),(1.0),(3.0),(45.0),(23.0),(4.0)
Net Income,(276.0),5089.0,14135.0,6313.0,2687.0,3197.0
NI to Common Incl Extra Items,(276.0),5089.0,14135.0,6313.0,2687.0,3197.0
NI to Common Excl. Extra Items,(276.0),5089.0,14135.0,6313.0,2687.0,3197.0
Revenue Per Share,$11.97,$18.66,$26.38,$21.01,$19.31,$21.09
Basic EPS,($0.27),$4.67,$12.27,$5.67,$2.42,$2.87
Basic EPS - Continuing Ops,($0.27),$4.67,$12.27,$5.67,$2.42,$2.87
Basic Weighted Average Shares Outst.,1036.0,1089.0,1152.0,1114.0,1110.0,1114.5
Diluted EPS,($0.27),$4.41,$11.51,$5.51,$2.37,$2.81
Diluted EPS - Continuing Ops,($0.27),$4.41,$11.51,$5.51,$2.37,$2.81
Diluted Weighted Average Shares Outst.,1036.0,1154.0,1229.0,1143.0,1131.0,1135.0
Normalized Basic EPS,($0.11),$3.01,$7.93,$4.15,$1.67,$1.99
Normalized Diluted EPS,($0.11),$2.84,$7.43,$4.04,$1.64,$1.96
EBITDA,3214.0,9738.0,19685.0,12814.0,8710.0,9656.0
EBITA,234.0,5877.0,14926.0,7390.0,3060.0,3631.0
EBIT,234.0,5877.0,14926.0,7390.0,3060.0,3631.0
EBITDAR,3260.0,9790.0,,,8812.0,
Effective Tax Rate,NM,2.2%,1.2%,9.8%,9.4%,8.6%
Normalized Net Income,(117.3),3275.3,9136.4,4618.1,1856.4,2222.9
Interest Capitalized,43.0,7.0,44.0,103.0,77.0,
Interest on Long-Term Debt,130.0,95.0,120.0,138.0,107.0,
R&D Expense From Footnotes,1822.0,2037.0,2342.0,2501.0,2600.0,2567.0
Foreign Sales,10474.0,8963.0,13275.0,10955.0,11054.0,
