Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,0.29%,0.95%,4.11%,4.49%,5.31%
Total Interest And Dividend Income,2.06%,17.10%,(4.24%),(9.57%),(14.27%)
Gain (Loss) on Sale of Investments,25.79%,(54.00%),(21.87%),(14.67%),
Non-Insurance Activities Revenues,(16.44%),14.35%,9.00%,(4.10%),(6.09%)
Other Revenues,(2.72%),(12.61%),(18.90%),(4.87%),(9.06%)
Total Revenues,0.40%,0.09%,2.74%,2.49%,8.61%
Policy Benefits,4.07%,(0.69%),3.94%,8.17%,5.49%
Selling General & Admin Expenses,,(13.50%),(3.65%),0.42%,1.15%
Other Operating Expenses,(1.61%),(0.18%),(0.67%),(0.49%),0.08%
Non-Insurance Activities Expenses,(13.32%),11.99%,10.49%,(4.52%),(7.68%)
Total Operating Expenses,1.82%,0.00%,2.62%,4.45%,2.90%
Operating Income,(8.79%),0.74%,3.55%,(11.43%),64.48%
"Interest Expense, Total",(4.54%),(6.71%),-2.40%,-1.87%,(0.69%)
Currency Exchange Gains,,,13.48%,,
"EBT, Excl. Unusual Items",(13.80%),5.09%,5.03%,(16.38%),65.21%
"EBT, Incl. Unusual Items",(13.80%),5.09%,5.03%,(17.37%),63.26%
Income Tax Expense,(25.10%),(25.70%),3.62%,1.71%,102.35%
Earnings From Continuing Operations,(8.31%),17.30%,5.38%,(22.08%),54.00%
Net Income to Company,(8.31%),17.30%,5.38%,(22.08%),54.00%
Minority Interest,(170.43%),(96.02%),-75.46%,(13.42%),(77.07%)
Net Income,(8.78%),16.69%,6.43%,(22.18%),53.91%
NI to Common Incl Extra Items,(8.78%),16.69%,6.43%,(22.18%),53.91%
NI to Common Excl. Extra Items,(8.78%),16.69%,6.43%,(22.18%),53.91%
Revenue Per Share,(1.35%),(1.38%),2.38%,4.58%,11.56%
Basic EPS,(10.33%),15.07%,6.10%,(20.70%),58.09%
Basic EPS - Continuing Ops,(10.33%),15.07%,6.10%,(20.70%),58.09%
Basic Weighted Average Shares Outst.,1.79%,1.49%,0.35%,(1.99%),(2.64%)
Diluted EPS,(8.97%),17.25%,5.71%,(20.17%),58.07%
Diluted EPS - Continuing Ops,(8.97%),17.25%,5.71%,(20.17%),58.07%
Diluted Weighted Average Shares Outst.,0.36%,(0.58%),0.59%,(2.46%),(2.61%)
Normalized Basic EPS,(15.91%),2.61%,5.87%,(14.66%),69.64%
Normalized Diluted EPS,(14.70%),5.06%,5.95%,(14.26%),69.57%
Dividend Per Share,5.88%,8.33%,10.26%,9.30%,9.09%
Payout Ratio,17.85%,(7.63%),3.00%,37.05%,
EBITDA,(5.69%),2.39%,1.46%,(8.25%),59.81%
EBITA,(8.79%),0.74%,3.55%,(11.43%),64.48%
EBIT,(8.79%),0.74%,3.55%,(11.43%),64.48%
EBITDAR,(4.98%),1.62%,1.25%,(7.91%),
Effective Tax Rate,(13.11%),(29.31%),(1.36%),23.06%,23.94%
Normalized Net Income,(14.31%),4.28%,6.37%,(16.49%),65.15%
