Income Statement,Jan 2017,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,2398.0,2752.0,3333.0,3543.0,3239.0,3473.0
Total Revenues,2398.0,2752.0,3333.0,3543.0,3239.0,3473.0
Cost Of Revenues,689.0,869.0,998.0,1042.0,1008.0,1098.0
Gross Profit,1709.0,1883.0,2335.0,2501.0,2231.0,2375.0
Selling General & Admin Expenses,630.0,720.0,849.0,864.0,949.0,1049.0
R&D Expenses,458.0,500.0,568.0,575.0,609.0,650.0
Total Operating Expenses,1131.0,1259.0,1452.0,1473.0,1586.0,1726.0
Operating Income,578.0,624.0,883.0,1028.0,645.0,649.0
Interest Expense,(33.0),(37.0),(57.0),(52.0),(49.0),(49.0)
Interest And Investment Income,10.0,19.0,44.0,75.0,41.0,41.0
Net Interest Expenses,(23.0),(18.0),(13.0),23.0,(8.0),(8.0)
Other Non Operating Income (Expenses),(3.0),2.0,3.0,4.0,32.0,19.0
"EBT, Excl. Unusual Items",552.0,608.0,873.0,1055.0,669.0,660.0
"EBT, Incl. Unusual Items",561.0,1043.0,894.0,1118.0,856.0,847.0
Income Tax Expense,133.0,365.0,112.0,128.0,200.0,217.0
Earnings From Continuing Operations,428.0,678.0,782.0,990.0,656.0,630.0
Net Income to Company,428.0,678.0,782.0,990.0,656.0,630.0
Minority Interest,35.0,48.0,44.0,12.0,,
Net Income,463.0,726.0,826.0,1002.0,656.0,630.0
Preferred Dividend and Other Adjustments,9.0,1.0,,,,
NI to Common Incl Extra Items,454.0,725.0,826.0,1002.0,656.0,630.0
NI to Common Excl. Extra Items,454.0,725.0,826.0,1002.0,656.0,630.0
Revenue Per Share,$16.31,$18.85,$22.67,$24.10,$22.03,$23.67
Basic EPS,$3.09,$4.97,$5.62,$6.82,$4.46,$4.29
Basic EPS - Continuing Ops,$3.09,$4.97,$5.62,$6.82,$4.46,$4.29
Basic Weighted Average Shares Outst.,147.0,146.0,147.0,147.0,147.0,146.8
Diluted EPS,$3.07,$4.92,$5.56,$6.74,$4.45,$4.28
Diluted EPS - Continuing Ops,$3.07,$4.92,$5.56,$6.74,$4.45,$4.28
Diluted Weighted Average Shares Outst.,148.0,148.0,149.0,149.0,148.0,147.8
Normalized Basic EPS,$2.59,$2.93,$4.01,$4.57,$2.84,$2.81
Normalized Diluted EPS,$2.57,$2.89,$3.96,$4.51,$2.83,$2.79
EBITDA,719.0,780.0,1062.0,1216.0,832.0,835.0
EBITA,629.0,670.0,922.0,1065.0,676.0,679.0
EBIT,578.0,624.0,883.0,1028.0,645.0,649.0
EBITDAR,765.0,826.0,1117.0,1288.0,905.0,
Effective Tax Rate,23.7%,35.0%,12.5%,11.4%,23.4%,25.6%
Normalized Net Income,380.0,428.0,589.6,671.4,418.1,412.5
Interest on Long-Term Debt,33.0,37.0,57.0,52.0,49.0,
R&D Expense From Footnotes,504.0,551.0,623.0,647.0,682.0,723.0
Foreign Sales,1104.0,1241.0,1554.0,1684.0,1584.0,
