Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,11360.8,12029.3,14302.4,14320.3,13695.5,13505.5
Total Revenues,11360.8,12029.3,14302.4,14320.3,13695.5,13505.5
Cost Of Revenues,8747.2,9083.1,10692.8,10688.8,10157.5,9934.9
Gross Profit,2613.6,2946.2,3609.6,3631.5,3538.0,3570.6
Selling General & Admin Expenses,1338.3,1504.7,1643.0,1553.8,1548.3,1500.5
Total Operating Expenses,1338.3,1504.7,1643.0,1553.8,1548.3,1500.5
Operating Income,1275.3,1441.6,1966.6,2077.7,1989.7,2070.1
Interest Expense,(136.5),(162.4),(213.9),(190.1),(308.2),(284.3)
Interest And Investment Income,,,,18.0,31.0,8.0
Net Interest Expenses,(136.5),(162.4),(213.9),(172.1),(277.2),(276.3)
Other Non Operating Income (Expenses),36.6,61.9,26.8,(9.8),10.1,9.9
"EBT, Excl. Unusual Items",1200.9,1341.0,1779.6,1988.8,1797.6,1853.7
"EBT, Incl. Unusual Items",1114.7,1328.6,1702.3,1933.4,1512.6,1816.5
Income Tax Expense,307.5,344.8,641.0,420.5,305.9,384.3
Earnings From Continuing Operations,807.2,983.8,1061.3,1512.9,1206.7,1432.3
Net Income to Company,807.2,983.8,1061.3,1512.9,1206.7,1432.3
Minority Interest,(0.4),(0.4),(0.5),(0.6),(0.4),(0.6)
Net Income,806.8,983.4,1060.8,1512.4,1206.3,1431.7
NI to Common Incl Extra Items,806.8,983.4,1060.8,1512.4,1206.3,1431.7
NI to Common Excl. Extra Items,806.8,983.4,1060.8,1512.4,1206.3,1431.7
Revenue Per Share,$83.93,$90.19,$107.53,$110.16,$106.65,$104.99
Basic EPS,$5.96,$7.37,$7.98,$11.63,$9.39,$11.13
Basic EPS - Continuing Ops,$5.96,$7.37,$7.98,$11.63,$9.39,$11.13
Basic Weighted Average Shares Outst.,135.4,133.4,133.0,130.0,128.4,128.6
Diluted EPS,$5.89,$7.25,$7.83,$11.48,$9.29,$11.02
Diluted EPS - Continuing Ops,$5.89,$7.25,$7.83,$11.48,$9.29,$11.02
Diluted Weighted Average Shares Outst.,136.9,135.6,135.4,131.8,129.8,130.0
Normalized Basic EPS,$5.54,$6.28,$8.36,$9.56,$8.75,$9.00
Normalized Diluted EPS,$5.48,$6.18,$8.21,$9.43,$8.65,$8.91
Dividend Per Share,$2.52,$2.58,$2.74,$3.16,$3.52,$3.52
Payout Ratio,42.38%,35.09%,34.42%,27.27%,37.57%,31.70%
EBITDA,1582.1,1796.8,2432.7,2513.9,2527.2,2652.6
EBITA,1391.8,1593.9,2194.9,2288.2,2274.3,2384.2
EBIT,1275.3,1441.6,1966.6,2077.7,1989.7,2070.1
EBITDAR,1701.1,1915.5,2559.6,2640.7,2591.1,
Effective Tax Rate,27.6%,26.0%,37.7%,21.7%,20.2%,21.2%
Normalized Net Income,750.2,837.7,1111.7,1242.5,1123.1,1158.0
R&D Expense From Footnotes,359.8,336.7,327.9,294.9,293.8,293.8
Foreign Sales,4216.3,4443.6,14302.4,14320.3,13695.5,
